Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
GlycA,1.37 [1.27-1.49],3.083e-09,***,Glycoprotein Acetyls
L-LDL-TG%,1.36 [1.27-1.47],8.394e-11,***,Triglycerides to Total-Lipids in Large LDL percentage
XS-VLDL-PL%,1.36 [1.25-1.47],2.943e-08,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
IDL-TG%,1.33 [1.23-1.43],3.275e-08,***,Triglycerides to Total-Lipids in IDL percentage
M-LDL-TG%,1.32 [1.23-1.42],2.238e-08,***,Triglycerides to Total-Lipids in Medium LDL percentage
M-HDL-PL%,1.29 [1.19-1.40],5.169e-05,***,Phospholipids to Total-Lipids in Medium HDL percentage
MUFA%,1.29 [1.19-1.40],2.670e-04,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
XS-VLDL-TG%,1.24 [1.15-1.35],0.020,*,Triglycerides to Total-Lipids in Very Small VLDL percentage
S-VLDL-FC%,0.82 [0.76-0.88],0.035,*,Free Cholesterol to Total-Lipids in Small VLDL percentage
L-LDL-FC%,0.81 [0.76-0.87],0.002,**,Free Cholesterol to Total-Lipids in Large LDL percentage
S-VLDL-PL%,0.81 [0.75-0.88],0.029,*,Phospholipids to Total-Lipids in Small VLDL percentage
M-HDL-C%,0.81 [0.75-0.87],0.008,**,Cholesterol to Total-Lipids in Medium HDL percentage
XS-VLDL-C%,0.80 [0.75-0.86],3.737e-04,***,Cholesterol to Total-Lipids in Very Small VLDL percentage
XS-VLDL-CE%,0.80 [0.74-0.86],1.128e-04,***,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
PUFA%,0.80 [0.74-0.86],2.129e-04,***,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
LA%,0.79 [0.73-0.85],1.474e-04,***,Linoleic Acid to Total-Fatty Acids percentage
IDL-CE%,0.79 [0.74-0.85],6.813e-06,***,Cholesteryl Esters to Total-Lipids in IDL percentage
Albumin,0.79 [0.73-0.85],4.359e-05,***,Albumin
IDL-C%,0.78 [0.73-0.84],1.979e-07,***,Cholesterol to Total-Lipids in IDL percentage
M-LDL-C%,0.78 [0.73-0.84],9.114e-08,***,Cholesterol to Total-Lipids in Medium LDL percentage
PUFA/MUFA,0.77 [0.71-0.83],2.576e-05,***,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
Unsaturation,0.76 [0.70-0.82],3.150e-06,***,Degree of Unsaturation
L-LDL-C%,0.76 [0.70-0.81],1.350e-09,***,Cholesterol to Total-Lipids in Large LDL percentage
S-LDL-C%,0.75 [0.70-0.81],5.281e-10,***,Cholesterol to Total-Lipids in Small LDL percentage
