Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
Creatinine,2.77 [2.59-2.96],3.425e-189,***,Creatinine
IDL-TG%,1.65 [1.51-1.81],1.104e-21,***,Triglycerides to Total-Lipids in IDL percentage
L-LDL-TG%,1.62 [1.48-1.78],3.681e-20,***,Triglycerides to Total-Lipids in Large LDL percentage
XS-VLDL-TG%,1.58 [1.43-1.74],2.350e-14,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
M-LDL-TG%,1.57 [1.44-1.72],2.958e-18,***,Triglycerides to Total-Lipids in Medium LDL percentage
XS-VLDL-PL%,1.57 [1.42-1.73],6.673e-14,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
IDL-PL%,1.53 [1.39-1.68],8.366e-13,***,Phospholipids to Total-Lipids in IDL percentage
GlycA,1.51 [1.37-1.67],1.413e-10,***,Glycoprotein Acetyls
S-VLDL-TG%,1.51 [1.36-1.67],7.084e-09,***,Triglycerides to Total-Lipids in Small VLDL percentage
M-VLDL-TG%,1.43 [1.29-1.59],1.636e-06,***,Triglycerides to Total-Lipids in Medium VLDL percentage
XXL-VLDL-PL%,1.43 [1.29-1.59],1.995e-05,***,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
S-LDL-TG%,1.39 [1.27-1.52],8.429e-07,***,Triglycerides to Total-Lipids in Small LDL percentage
L-HDL-PL%,1.32 [1.21-1.44],4.492e-04,***,Phospholipids to Total-Lipids in Large HDL percentage
Citrate,1.30 [1.18-1.43],0.039,*,Citrate
L-HDL-CE%,0.80 [0.74-0.87],0.011,*,Cholesteryl Esters to Total-Lipids in Large HDL percentage
XS-VLDL-FC%,0.80 [0.74-0.86],0.013,*,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
M-VLDL-CE%,0.78 [0.73-0.84],4.236e-06,***,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
L-HDL-C%,0.77 [0.71-0.84],5.227e-05,***,Cholesterol to Total-Lipids in Large HDL percentage
XL-HDL-CE%,0.77 [0.71-0.84],0.001,**,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
Total-FA,0.77 [0.70-0.85],0.031,*,Total-Fatty Acids
L-HDL-FC%,0.77 [0.71-0.83],1.069e-06,***,Free Cholesterol to Total-Lipids in Large HDL percentage
S-VLDL-PL,0.76 [0.69-0.84],0.041,*,Phospholipids in Small VLDL
S-LDL-CE%,0.76 [0.69-0.84],0.003,**,Cholesteryl Esters to Total-Lipids in Small LDL percentage
S-VLDL-C,0.76 [0.69-0.84],0.022,*,Cholesterol in Small VLDL
XS-VLDL-FC,0.76 [0.68-0.84],0.027,*,Free Cholesterol in Very Small VLDL
S-HDL-L,0.76 [0.68-0.84],0.011,*,Total-Lipids in Small HDL
M-VLDL-C%,0.75 [0.70-0.82],1.232e-06,***,Cholesterol to Total-Lipids in Medium VLDL percentage
M-VLDL-L,0.75 [0.68-0.82],0.002,**,Total-Lipids in Medium VLDL
M-VLDL-FC%,0.75 [0.68-0.81],2.324e-06,***,Free Cholesterol to Total-Lipids in Medium VLDL percentage
M-VLDL-PL%,0.74 [0.68-0.80],1.316e-07,***,Phospholipids to Total-Lipids in Medium VLDL percentage
M-HDL-CE,0.73 [0.66-0.82],0.009,**,Cholesteryl Esters in Medium HDL
M-HDL-P,0.73 [0.65-0.82],0.022,*,Concentration of Medium HDL Particles
S-VLDL-C%,0.73 [0.67-0.80],4.435e-07,***,Cholesterol to Total-Lipids in Small VLDL percentage
VLDL-C,0.73 [0.66-0.81],7.772e-05,***,VLDL Cholesterol
S-HDL-FC,0.73 [0.66-0.81],3.690e-04,***,Free Cholesterol in Small HDL
HDL-PL,0.73 [0.65-0.81],0.007,**,Phospholipids in HDL
M-HDL-C,0.73 [0.65-0.81],0.004,**,Cholesterol in Medium HDL
M-VLDL-P,0.72 [0.65-0.80],1.218e-04,***,Concentration of Medium VLDL Particles
M-VLDL-PL,0.71 [0.64-0.79],1.145e-05,***,Phospholipids in Medium VLDL
S-VLDL-FC,0.71 [0.64-0.78],1.219e-05,***,Free Cholesterol in Small VLDL
VLDL-CE,0.71 [0.64-0.78],1.742e-06,***,Cholesteryl Esters in VLDL
L-LDL-FC%,0.71 [0.65-0.77],1.433e-11,***,Free Cholesterol to Total-Lipids in Large LDL percentage
S-HDL-CE,0.70 [0.64-0.78],2.938e-06,***,Cholesteryl Esters in Small HDL
M-HDL-FC,0.70 [0.63-0.79],7.334e-04,***,Free Cholesterol in Medium HDL
ApoA1,0.70 [0.63-0.78],1.051e-04,***,Apolipoprotein A1
S-HDL-P,0.70 [0.63-0.78],4.006e-06,***,Concentration of Small HDL Particles
