Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
XS-VLDL-PL%,1.25 [1.20-1.31],1.063e-19,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
S-HDL-TG%,1.21 [1.15-1.26],1.710e-11,***,Triglycerides to Total-Lipids in Small HDL percentage
GlycA,1.20 [1.15-1.25],1.162e-10,***,Glycoprotein Acetyls
M-HDL-PL%,1.20 [1.15-1.25],1.799e-11,***,Phospholipids to Total-Lipids in Medium HDL percentage
M-HDL-TG%,1.18 [1.13-1.24],1.406e-08,***,Triglycerides to Total-Lipids in Medium HDL percentage
IDL-TG%,1.18 [1.13-1.23],1.281e-10,***,Triglycerides to Total-Lipids in IDL percentage
L-HDL-TG%,1.18 [1.13-1.23],1.422e-08,***,Triglycerides to Total-Lipids in Large HDL percentage
TG/PG,1.17 [1.12-1.23],5.919e-08,***,Triglycerides to Phosphoglycerides ratio
MUFA%,1.17 [1.12-1.22],8.235e-07,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
L-LDL-TG%,1.16 [1.12-1.21],5.681e-08,***,Triglycerides to Total-Lipids in Large LDL percentage
XL-HDL-FC%,1.16 [1.11-1.21],4.596e-05,***,Free Cholesterol to Total-Lipids in Very Large HDL percentage
L-VLDL-PL%,1.15 [1.09-1.21],0.018,*,Phospholipids to Total-Lipids in Large VLDL percentage
IDL-PL%,1.15 [1.10-1.20],6.633e-06,***,Phospholipids to Total-Lipids in IDL percentage
XS-VLDL-TG%,1.14 [1.09-1.19],2.101e-04,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
ApoB/ApoA1,1.13 [1.09-1.18],2.021e-04,***,Apolipoprotein B to Apolipoprotein A1 ratio
M-LDL-TG%,1.13 [1.09-1.18],2.594e-04,***,Triglycerides to Total-Lipids in Medium LDL percentage
S-VLDL-TG,1.13 [1.09-1.18],4.180e-04,***,Triglycerides in Small VLDL
XS-VLDL-TG,1.13 [1.09-1.18],1.810e-04,***,Triglycerides in Very Small VLDL
XL-HDL-TG%,1.13 [1.08-1.18],0.004,**,Triglycerides to Total-Lipids in Very Large HDL percentage
L-LDL-TG,1.13 [1.08-1.17],6.116e-04,***,Triglycerides in Large LDL
S-VLDL-P,1.13 [1.08-1.17],0.001,**,Concentration of Small VLDL Particles
LDL-TG,1.12 [1.08-1.17],8.944e-04,***,Triglycerides in LDL
M-LDL-TG,1.12 [1.08-1.17],9.189e-04,***,Triglycerides in Medium LDL
IDL-TG,1.12 [1.08-1.17],0.002,**,Triglycerides in IDL
L-VLDL-FC,1.12 [1.08-1.17],0.013,*,Free Cholesterol in Large VLDL
L-VLDL-PL,1.12 [1.07-1.16],0.015,*,Phospholipids in Large VLDL
S-HDL-TG,1.12 [1.07-1.16],0.032,*,Triglycerides in Small HDL
L-VLDL-C,1.12 [1.07-1.16],0.039,*,Cholesterol in Large VLDL
L-VLDL-P,1.11 [1.07-1.16],0.043,*,Concentration of Large VLDL Particles
M-VLDL-CE%,0.91 [0.87-0.94],0.026,*,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
L-LDL-C%,0.89 [0.86-0.93],0.007,**,Cholesterol to Total-Lipids in Large LDL percentage
L-HDL-C%,0.89 [0.86-0.92],1.022e-04,***,Cholesterol to Total-Lipids in Large HDL percentage
S-LDL-C%,0.89 [0.85-0.92],5.462e-04,***,Cholesterol to Total-Lipids in Small LDL percentage
L-HDL-CE%,0.88 [0.85-0.92],1.111e-05,***,Cholesteryl Esters to Total-Lipids in Large HDL percentage
PUFA/MUFA,0.88 [0.84-0.92],0.001,**,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
M-LDL-C%,0.88 [0.85-0.91],5.570e-06,***,Cholesterol to Total-Lipids in Medium LDL percentage
XL-HDL-C,0.87 [0.82-0.91],0.020,*,Cholesterol in Very Large HDL
XL-HDL-PL,0.86 [0.82-0.91],0.028,*,Phospholipids in Very Large HDL
M-HDL-CE%,0.86 [0.83-0.90],8.330e-08,***,Cholesteryl Esters to Total-Lipids in Medium HDL percentage
XS-VLDL-C%,0.86 [0.83-0.90],5.675e-09,***,Cholesterol to Total-Lipids in Very Small VLDL percentage
L-LDL-FC%,0.86 [0.83-0.89],3.560e-09,***,Free Cholesterol to Total-Lipids in Large LDL percentage
Total-P,0.86 [0.82-0.90],4.421e-06,***,Total-Concentration of Lipoprotein Particles
XS-VLDL-CE%,0.85 [0.82-0.88],2.419e-11,***,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
IDL-C%,0.85 [0.82-0.88],1.360e-12,***,Cholesterol to Total-Lipids in IDL percentage
M-HDL-PL,0.85 [0.81-0.89],1.633e-07,***,Phospholipids in Medium HDL
XL-HDL-CE,0.85 [0.80-0.90],5.431e-04,***,Cholesteryl Esters in Very Large HDL
M-HDL-FC%,0.85 [0.81-0.89],2.011e-08,***,Free Cholesterol to Total-Lipids in Medium HDL percentage
IDL-CE%,0.85 [0.81-0.88],3.546e-13,***,Cholesteryl Esters to Total-Lipids in IDL percentage
M-HDL-C%,0.84 [0.81-0.88],4.154e-11,***,Cholesterol to Total-Lipids in Medium HDL percentage
HDL-P,0.84 [0.80-0.88],1.596e-08,***,Concentration of HDL Particles
M-HDL-L,0.83 [0.80-0.87],4.483e-10,***,Total-Lipids in Medium HDL
HDL-PL,0.83 [0.79-0.87],3.475e-10,***,Phospholipids in HDL
M-HDL-FC,0.82 [0.79-0.86],5.454e-10,***,Free Cholesterol in Medium HDL
ApoA1,0.82 [0.78-0.86],2.241e-11,***,Apolipoprotein A1
HDL-FC,0.82 [0.78-0.86],2.655e-09,***,Free Cholesterol in HDL
M-HDL-P,0.82 [0.78-0.86],1.597e-11,***,Concentration of Medium HDL Particles
HDL-L,0.81 [0.78-0.85],2.007e-12,***,Total-Lipids in HDL
M-HDL-C,0.81 [0.77-0.84],2.767e-14,***,Cholesterol in Medium HDL
M-HDL-CE,0.80 [0.77-0.84],6.663e-15,***,Cholesteryl Esters in Medium HDL
HDL-size,0.80 [0.76-0.84],1.461e-11,***,Average Diameter for HDL Particles
L-HDL-FC,0.80 [0.75-0.84],2.266e-10,***,Free Cholesterol in Large HDL
