Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
XS-VLDL-PL%,1.29 [1.23-1.35],1.120e-19,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
IDL-TG%,1.25 [1.19-1.31],2.552e-17,***,Triglycerides to Total-Lipids in IDL percentage
L-LDL-TG%,1.23 [1.18-1.29],1.677e-14,***,Triglycerides to Total-Lipids in Large LDL percentage
XS-VLDL-TG%,1.22 [1.16-1.28],2.457e-11,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
M-HDL-PL%,1.21 [1.15-1.27],6.128e-10,***,Phospholipids to Total-Lipids in Medium HDL percentage
S-HDL-TG%,1.21 [1.15-1.27],1.919e-08,***,Triglycerides to Total-Lipids in Small HDL percentage
L-VLDL-PL%,1.19 [1.12-1.26],0.001,**,Phospholipids to Total-Lipids in Large VLDL percentage
M-LDL-TG%,1.19 [1.14-1.24],2.600e-09,***,Triglycerides to Total-Lipids in Medium LDL percentage
XL-HDL-FC%,1.19 [1.13-1.25],5.342e-06,***,Free Cholesterol to Total-Lipids in Very Large HDL percentage
L-HDL-TG%,1.17 [1.12-1.23],5.237e-06,***,Triglycerides to Total-Lipids in Large HDL percentage
IDL-PL%,1.17 [1.12-1.23],1.267e-06,***,Phospholipids to Total-Lipids in IDL percentage
MUFA%,1.17 [1.12-1.23],4.087e-05,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
M-VLDL-TG%,1.17 [1.11-1.23],5.203e-05,***,Triglycerides to Total-Lipids in Medium VLDL percentage
M-HDL-TG%,1.17 [1.11-1.23],8.270e-05,***,Triglycerides to Total-Lipids in Medium HDL percentage
TG/PG,1.16 [1.11-1.22],1.883e-04,***,Triglycerides to Phosphoglycerides ratio
XXL-VLDL-PL%,1.16 [1.10-1.22],0.004,**,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
S-VLDL-TG%,1.15 [1.09-1.20],0.005,**,Triglycerides to Total-Lipids in Small VLDL percentage
S-LDL-TG%,1.14 [1.09-1.19],0.003,**,Triglycerides to Total-Lipids in Small LDL percentage
L-HDL-PL%,1.14 [1.09-1.19],0.004,**,Phospholipids to Total-Lipids in Large HDL percentage
XL-HDL-TG%,1.14 [1.09-1.19],0.020,*,Triglycerides to Total-Lipids in Very Large HDL percentage
M-LDL-FC%,0.89 [0.85-0.93],0.025,*,Free Cholesterol to Total-Lipids in Medium LDL percentage
Clinical LDL-C,0.89 [0.85-0.93],0.023,*,Clinical LDL Cholesterol
L-LDL-C,0.88 [0.85-0.93],0.038,*,Cholesterol in Large LDL
M-VLDL-PL%,0.88 [0.84-0.92],0.003,**,Phospholipids to Total-Lipids in Medium VLDL percentage
LDL-FC,0.88 [0.84-0.92],0.018,*,Free Cholesterol in LDL
M-HDL-CE%,0.88 [0.84-0.92],0.005,**,Cholesteryl Esters to Total-Lipids in Medium HDL percentage
PUFA/MUFA,0.88 [0.84-0.92],0.025,*,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
M-VLDL-FC%,0.88 [0.84-0.92],7.420e-04,***,Free Cholesterol to Total-Lipids in Medium VLDL percentage
L-HDL-CE%,0.88 [0.84-0.91],3.406e-05,***,Cholesteryl Esters to Total-Lipids in Large HDL percentage
M-VLDL-CE%,0.87 [0.84-0.91],4.459e-06,***,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
LA,0.87 [0.83-0.91],7.033e-04,***,Linoleic Acid
Total-FC,0.87 [0.83-0.91],6.317e-04,***,Total-Free Cholesterol
L-LDL-FC,0.87 [0.83-0.91],6.709e-04,***,Free Cholesterol in Large LDL
M-VLDL-C%,0.87 [0.83-0.90],8.535e-06,***,Cholesterol to Total-Lipids in Medium VLDL percentage
L-HDL-C%,0.87 [0.83-0.90],2.485e-06,***,Cholesterol to Total-Lipids in Large HDL percentage
IDL-L,0.86 [0.83-0.90],9.465e-05,***,Total-Lipids in IDL
IDL-FC,0.86 [0.82-0.90],9.429e-05,***,Free Cholesterol in IDL
XL-HDL-FC,0.86 [0.81-0.90],0.009,**,Free Cholesterol in Very Large HDL
Phosphoglyc,0.85 [0.81-0.90],2.758e-05,***,Phosphoglycerides
Total-PL,0.85 [0.81-0.89],4.111e-06,***,Total-Phospholipids in Lipoprotein Particles
LA%,0.85 [0.81-0.89],3.044e-07,***,Linoleic Acid to Total-Fatty Acids percentage
Total-C,0.85 [0.81-0.89],3.125e-07,***,Total-Cholesterol
S-VLDL-FC%,0.85 [0.81-0.89],4.562e-08,***,Free Cholesterol to Total-Lipids in Small VLDL percentage
IDL-C,0.85 [0.81-0.89],3.263e-07,***,Cholesterol in IDL
M-HDL-C%,0.85 [0.81-0.89],1.179e-07,***,Cholesterol to Total-Lipids in Medium HDL percentage
M-LDL-C%,0.85 [0.81-0.88],3.093e-10,***,Cholesterol to Total-Lipids in Medium LDL percentage
SM,0.85 [0.81-0.89],5.785e-06,***,Sphingomyelins
IDL-CE,0.84 [0.81-0.88],2.189e-07,***,Cholesteryl Esters in IDL
S-VLDL-PL%,0.84 [0.81-0.88],1.041e-07,***,Phospholipids to Total-Lipids in Small VLDL percentage
S-LDL-C%,0.84 [0.81-0.88],7.748e-09,***,Cholesterol to Total-Lipids in Small LDL percentage
PC,0.84 [0.80-0.88],8.325e-07,***,Phosphatidylcholines
Total-CE,0.84 [0.81-0.88],3.819e-08,***,Total-Esterified Cholesterol
L-LDL-FC%,0.84 [0.80-0.87],5.665e-11,***,Free Cholesterol to Total-Lipids in Large LDL percentage
M-HDL-PL,0.84 [0.80-0.88],1.091e-06,***,Phospholipids in Medium HDL
Cholines,0.84 [0.80-0.88],9.797e-08,***,Total-Cholines
L-LDL-C%,0.83 [0.79-0.86],9.839e-13,***,Cholesterol to Total-Lipids in Large LDL percentage
M-HDL-L,0.82 [0.78-0.86],3.714e-09,***,Total-Lipids in Medium HDL
XS-VLDL-C%,0.82 [0.78-0.85],2.571e-15,***,Cholesterol to Total-Lipids in Very Small VLDL percentage
IDL-C%,0.82 [0.78-0.85],6.910e-18,***,Cholesterol to Total-Lipids in IDL percentage
XL-HDL-PL,0.81 [0.76-0.86],3.832e-06,***,Phospholipids in Very Large HDL
XS-VLDL-CE%,0.81 [0.78-0.84],1.508e-17,***,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
IDL-CE%,0.81 [0.78-0.84],2.254e-18,***,Cholesteryl Esters to Total-Lipids in IDL percentage
Total-P,0.81 [0.77-0.85],4.213e-11,***,Total-Concentration of Lipoprotein Particles
HDL-P,0.81 [0.77-0.85],4.944e-11,***,Concentration of HDL Particles
XL-HDL-L,0.80 [0.76-0.85],3.591e-07,***,Total-Lipids in Very Large HDL
M-HDL-P,0.80 [0.76-0.85],1.399e-10,***,Concentration of Medium HDL Particles
HDL-PL,0.80 [0.76-0.84],1.905e-11,***,Phospholipids in HDL
M-HDL-CE,0.80 [0.76-0.84],4.443e-12,***,Cholesteryl Esters in Medium HDL
XL-HDL-P,0.80 [0.75-0.85],9.671e-08,***,Concentration of Very Large HDL Particles
M-HDL-C,0.80 [0.76-0.84],2.280e-12,***,Cholesterol in Medium HDL
M-HDL-FC,0.80 [0.75-0.84],1.907e-11,***,Free Cholesterol in Medium HDL
ApoA1,0.80 [0.76-0.84],9.758e-13,***,Apolipoprotein A1
XL-HDL-C,0.79 [0.75-0.84],8.936e-09,***,Cholesterol in Very Large HDL
M-HDL-FC%,0.79 [0.75-0.83],1.261e-17,***,Free Cholesterol to Total-Lipids in Medium HDL percentage
HDL-L,0.78 [0.74-0.82],2.389e-14,***,Total-Lipids in HDL
HDL-size,0.78 [0.73-0.83],4.536e-11,***,Average Diameter for HDL Particles
