Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
GlycA,1.27 [1.21-1.32],1.431e-20,***,Glycoprotein Acetyls
L-LDL-TG%,1.27 [1.21-1.32],2.234e-23,***,Triglycerides to Total-Lipids in Large LDL percentage
M-LDL-TG%,1.24 [1.19-1.30],1.426e-20,***,Triglycerides to Total-Lipids in Medium LDL percentage
XS-VLDL-PL%,1.24 [1.19-1.30],2.769e-16,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
MUFA%,1.24 [1.18-1.29],1.609e-15,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
Omega-6/Omega-3,1.23 [1.18-1.28],8.318e-16,***,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
IDL-TG%,1.22 [1.17-1.27],2.547e-15,***,Triglycerides to Total-Lipids in IDL percentage
S-HDL-PL%,1.18 [1.13-1.24],1.468e-08,***,Phospholipids to Total-Lipids in Small HDL percentage
M-HDL-PL%,1.18 [1.13-1.23],6.327e-08,***,Phospholipids to Total-Lipids in Medium HDL percentage
S-LDL-PL%,1.16 [1.11-1.21],1.023e-05,***,Phospholipids to Total-Lipids in Small LDL percentage
S-LDL-TG%,1.16 [1.11-1.21],8.737e-07,***,Triglycerides to Total-Lipids in Small LDL percentage
S-VLDL-TG%,1.16 [1.11-1.21],2.767e-05,***,Triglycerides to Total-Lipids in Small VLDL percentage
IDL-PL%,1.16 [1.11-1.21],5.730e-06,***,Phospholipids to Total-Lipids in IDL percentage
XS-VLDL-TG%,1.15 [1.10-1.20],5.079e-05,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
M-VLDL-TG%,1.14 [1.09-1.19],0.002,**,Triglycerides to Total-Lipids in Medium VLDL percentage
L-HDL-PL%,1.14 [1.09-1.19],6.291e-04,***,Phospholipids to Total-Lipids in Large HDL percentage
Lactate,1.13 [1.09-1.18],0.004,**,Lactate
SFA%,1.12 [1.08-1.17],0.022,*,Saturated Fatty Acids to Total-Fatty Acids percentage
M-VLDL-CE%,0.89 [0.86-0.93],0.002,**,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
ApoB/ApoA1,0.89 [0.86-0.93],0.026,*,Apolipoprotein B to Apolipoprotein A1 ratio
L-LDL-FC%,0.89 [0.85-0.92],0.003,**,Free Cholesterol to Total-Lipids in Large LDL percentage
XL-VLDL-CE,0.89 [0.85-0.93],0.021,*,Cholesteryl Esters in Very Large VLDL
L-VLDL-CE,0.89 [0.85-0.92],0.010,**,Cholesteryl Esters in Large VLDL
VLDL-P,0.88 [0.85-0.92],0.007,**,Concentration of VLDL Particles
S-VLDL-L,0.88 [0.85-0.92],0.006,**,Total-Lipids in Small VLDL
XL-VLDL-CE%,0.88 [0.85-0.93],0.028,*,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
S-VLDL-C%,0.88 [0.85-0.92],6.598e-04,***,Cholesterol to Total-Lipids in Small VLDL percentage
M-VLDL-C%,0.88 [0.85-0.92],3.195e-04,***,Cholesterol to Total-Lipids in Medium VLDL percentage
S-HDL-CE%,0.88 [0.85-0.92],6.796e-04,***,Cholesteryl Esters to Total-Lipids in Small HDL percentage
Acetate,0.88 [0.84-0.92],0.008,**,Acetate
VLDL-FC,0.88 [0.84-0.92],0.001,**,Free Cholesterol in VLDL
S-HDL-L,0.88 [0.84-0.92],0.002,**,Total-Lipids in Small HDL
M-VLDL-PL%,0.88 [0.84-0.92],1.016e-04,***,Phospholipids to Total-Lipids in Medium VLDL percentage
M-VLDL-FC%,0.88 [0.84-0.91],9.625e-05,***,Free Cholesterol to Total-Lipids in Medium VLDL percentage
Val,0.88 [0.84-0.92],0.018,*,Valine
XS-VLDL-C,0.87 [0.84-0.91],1.893e-04,***,Cholesterol in Very Small VLDL
S-LDL-CE%,0.87 [0.84-0.91],6.988e-05,***,Cholesteryl Esters to Total-Lipids in Small LDL percentage
S-VLDL-CE,0.87 [0.83-0.91],5.004e-05,***,Cholesteryl Esters in Small VLDL
VLDL-C,0.86 [0.83-0.90],2.782e-06,***,VLDL Cholesterol
XS-VLDL-CE,0.86 [0.83-0.90],1.110e-05,***,Cholesteryl Esters in Very Small VLDL
M-HDL-FC%,0.86 [0.83-0.90],4.990e-05,***,Free Cholesterol to Total-Lipids in Medium HDL percentage
XS-VLDL-C%,0.86 [0.83-0.90],1.687e-07,***,Cholesterol to Total-Lipids in Very Small VLDL percentage
