Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
MUFA%,1.22 [1.16-1.29],2.059e-07,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
M-HDL-PL%,1.22 [1.16-1.29],5.927e-08,***,Phospholipids to Total-Lipids in Medium HDL percentage
XS-VLDL-PL%,1.21 [1.14-1.27],2.125e-06,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
S-HDL-TG%,1.20 [1.14-1.27],7.694e-06,***,Triglycerides to Total-Lipids in Small HDL percentage
TG/PG,1.20 [1.14-1.26],1.297e-05,***,Triglycerides to Phosphoglycerides ratio
M-HDL-TG%,1.18 [1.12-1.25],5.701e-04,***,Triglycerides to Total-Lipids in Medium HDL percentage
IDL-TG%,1.18 [1.12-1.24],5.113e-05,***,Triglycerides to Total-Lipids in IDL percentage
M-VLDL-TG%,1.18 [1.11-1.24],9.512e-04,***,Triglycerides to Total-Lipids in Medium VLDL percentage
L-HDL-TG%,1.17 [1.11-1.24],0.001,**,Triglycerides to Total-Lipids in Large HDL percentage
L-LDL-TG%,1.17 [1.11-1.23],3.522e-04,***,Triglycerides to Total-Lipids in Large LDL percentage
XS-VLDL-TG%,1.17 [1.11-1.23],0.002,**,Triglycerides to Total-Lipids in Very Small VLDL percentage
VLDL-size,1.16 [1.10-1.23],0.020,*,Average Diameter for VLDL Particles
GlycA,1.16 [1.10-1.23],0.022,*,Glycoprotein Acetyls
S-LDL-TG%,1.16 [1.10-1.22],0.003,**,Triglycerides to Total-Lipids in Small LDL percentage
M-LDL-TG%,1.15 [1.09-1.21],0.010,*,Triglycerides to Total-Lipids in Medium LDL percentage
IDL-CE%,0.88 [0.84-0.92],0.016,*,Cholesteryl Esters to Total-Lipids in IDL percentage
M-VLDL-C%,0.87 [0.83-0.92],0.012,*,Cholesterol to Total-Lipids in Medium VLDL percentage
M-VLDL-FC%,0.87 [0.83-0.92],0.019,*,Free Cholesterol to Total-Lipids in Medium VLDL percentage
L-HDL-CE%,0.87 [0.83-0.91],0.003,**,Cholesteryl Esters to Total-Lipids in Large HDL percentage
DHA%,0.87 [0.82-0.91],0.041,*,Docosahexaenoic Acid to Total-Fatty Acids percentage
IDL-C%,0.87 [0.83-0.91],5.726e-04,***,Cholesterol to Total-Lipids in IDL percentage
L-HDL-C%,0.87 [0.83-0.91],8.341e-04,***,Cholesterol to Total-Lipids in Large HDL percentage
M-HDL-CE%,0.86 [0.82-0.91],0.002,**,Cholesteryl Esters to Total-Lipids in Medium HDL percentage
XS-VLDL-C%,0.86 [0.82-0.91],8.747e-04,***,Cholesterol to Total-Lipids in Very Small VLDL percentage
M-LDL-FC%,0.86 [0.82-0.91],7.332e-04,***,Free Cholesterol to Total-Lipids in Medium LDL percentage
L-LDL-C%,0.86 [0.82-0.90],9.971e-04,***,Cholesterol to Total-Lipids in Large LDL percentage
S-VLDL-FC%,0.86 [0.82-0.91],0.001,**,Free Cholesterol to Total-Lipids in Small VLDL percentage
XS-VLDL-CE%,0.86 [0.82-0.90],3.927e-04,***,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
