Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
L-LDL-TG%,1.07 [1.06-1.08],1.389e-37,***,Triglycerides to Total-Lipids in Large LDL percentage
IDL-TG%,1.07 [1.06-1.08],5.133e-37,***,Triglycerides to Total-Lipids in IDL percentage
L-HDL-PL%,1.07 [1.06-1.08],7.957e-34,***,Phospholipids to Total-Lipids in Large HDL percentage
M-LDL-TG%,1.06 [1.05-1.07],1.554e-31,***,Triglycerides to Total-Lipids in Medium LDL percentage
XS-VLDL-TG%,1.06 [1.05-1.07],5.600e-29,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
S-LDL-TG%,1.05 [1.04-1.06],7.443e-22,***,Triglycerides to Total-Lipids in Small LDL percentage
S-VLDL-TG%,1.05 [1.04-1.06],3.728e-21,***,Triglycerides to Total-Lipids in Small VLDL percentage
M-VLDL-TG%,1.05 [1.04-1.06],9.878e-19,***,Triglycerides to Total-Lipids in Medium VLDL percentage
S-HDL-PL%,1.05 [1.04-1.06],2.425e-17,***,Phospholipids to Total-Lipids in Small HDL percentage
GlycA,1.05 [1.04-1.06],4.880e-15,***,Glycoprotein Acetyls
M-HDL-PL,1.05 [1.04-1.06],5.600e-14,***,Phospholipids in Medium HDL
M-HDL-TG,1.05 [1.04-1.06],3.187e-16,***,Triglycerides in Medium HDL
S-HDL-PL,1.05 [1.04-1.06],2.241e-14,***,Phospholipids in Small HDL
MUFA%,1.04 [1.03-1.06],1.719e-11,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
XL-VLDL-TG%,1.04 [1.03-1.05],3.776e-11,***,Triglycerides to Total-Lipids in Very Large VLDL percentage
M-HDL-PL%,1.04 [1.03-1.05],1.454e-10,***,Phospholipids to Total-Lipids in Medium HDL percentage
SFA%,1.04 [1.03-1.05],6.513e-12,***,Saturated Fatty Acids to Total-Fatty Acids percentage
S-HDL-TG,1.04 [1.03-1.05],5.852e-11,***,Triglycerides in Small HDL
HDL-TG,1.04 [1.03-1.05],2.000e-11,***,Triglycerides in HDL
M-HDL-L,1.04 [1.03-1.05],8.027e-09,***,Total-Lipids in Medium HDL
S-HDL-L,1.04 [1.03-1.05],2.815e-09,***,Total-Lipids in Small HDL
XS-VLDL-TG,1.04 [1.03-1.05],9.064e-09,***,Triglycerides in Very Small VLDL
XL-HDL-TG%,1.04 [1.03-1.05],1.978e-06,***,Triglycerides to Total-Lipids in Very Large HDL percentage
IDL-TG,1.03 [1.03-1.04],1.598e-07,***,Triglycerides in IDL
M-HDL-P,1.03 [1.02-1.05],1.823e-05,***,Concentration of Medium HDL Particles
HDL-PL,1.03 [1.02-1.04],1.983e-04,***,Phospholipids in HDL
L-LDL-TG,1.03 [1.02-1.04],1.966e-05,***,Triglycerides in Large LDL
M-HDL-FC,1.03 [1.02-1.04],0.003,**,Free Cholesterol in Medium HDL
LDL-TG,1.03 [1.02-1.04],3.360e-04,***,Triglycerides in LDL
S-HDL-FC,1.03 [1.02-1.04],0.002,**,Free Cholesterol in Small HDL
XS-VLDL-PL%,1.03 [1.02-1.04],0.007,**,Phospholipids to Total-Lipids in Very Small VLDL percentage
L-HDL-TG,1.03 [1.02-1.04],0.002,**,Triglycerides in Large HDL
M-HDL-C,1.03 [1.02-1.04],0.024,*,Cholesterol in Medium HDL
MUFA,1.03 [1.02-1.04],0.004,**,Monounsaturated Fatty Acids
M-HDL-CE,1.03 [1.02-1.04],0.031,*,Cholesteryl Esters in Medium HDL
M-LDL-TG,1.03 [1.02-1.04],0.011,*,Triglycerides in Medium LDL
S-VLDL-TG,1.03 [1.02-1.04],0.041,*,Triglycerides in Small VLDL
S-VLDL-FC,0.98 [0.97-0.98],0.023,*,Free Cholesterol in Small VLDL
M-LDL-L,0.97 [0.97-0.98],0.025,*,Total-Lipids in Medium LDL
XL-HDL-CE%,0.97 [0.97-0.98],0.019,*,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
Total-CE,0.97 [0.96-0.98],0.015,*,Total-Esterified Cholesterol
S-HDL-FC%,0.97 [0.96-0.98],0.027,*,Free Cholesterol to Total-Lipids in Small HDL percentage
M-LDL-PL,0.97 [0.96-0.98],0.005,**,Phospholipids in Medium LDL
Total-C,0.97 [0.96-0.98],0.010,*,Total-Cholesterol
M-VLDL-FC,0.97 [0.96-0.98],0.003,**,Free Cholesterol in Medium VLDL
Total-FC,0.97 [0.96-0.98],0.004,**,Total-Free Cholesterol
LDL-CE,0.97 [0.96-0.98],0.002,**,Cholesteryl Esters in LDL
XS-VLDL-CE,0.97 [0.96-0.98],0.003,**,Cholesteryl Esters in Very Small VLDL
Albumin,0.97 [0.96-0.98],0.003,**,Albumin
L-LDL-CE,0.97 [0.96-0.98],9.412e-04,***,Cholesteryl Esters in Large LDL
S-LDL-CE,0.97 [0.96-0.98],6.162e-04,***,Cholesteryl Esters in Small LDL
L-HDL-FC%,0.97 [0.96-0.98],0.002,**,Free Cholesterol to Total-Lipids in Large HDL percentage
M-LDL-C,0.97 [0.96-0.98],7.306e-04,***,Cholesterol in Medium LDL
LDL-L,0.97 [0.96-0.98],5.384e-04,***,Total-Lipids in LDL
Remnant-C,0.97 [0.96-0.98],1.508e-04,***,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
L-LDL-L,0.97 [0.96-0.98],2.598e-04,***,Total-Lipids in Large LDL
L-LDL-PL%,0.97 [0.96-0.98],1.361e-04,***,Phospholipids to Total-Lipids in Large LDL percentage
XL-HDL-P,0.97 [0.96-0.98],0.027,*,Concentration of Very Large HDL Particles
L-LDL-P,0.97 [0.96-0.98],8.838e-05,***,Concentration of Large LDL Particles
Non-HDL-C,0.97 [0.96-0.98],2.635e-05,***,Total-Cholesterol Minus HDL-C
S-LDL-L,0.97 [0.96-0.98],1.774e-05,***,Total-Lipids in Small LDL
IDL-PL,0.97 [0.96-0.98],3.492e-05,***,Phospholipids in IDL
ApoB,0.97 [0.96-0.98],9.039e-06,***,Apolipoprotein B
LDL-P,0.97 [0.96-0.98],8.189e-06,***,Concentration of LDL Particles
LDL-C,0.97 [0.96-0.98],1.182e-05,***,LDL Cholesterol
S-LDL-P,0.97 [0.96-0.98],5.979e-06,***,Concentration of Small LDL Particles
M-HDL-CE%,0.97 [0.96-0.98],2.478e-05,***,Cholesteryl Esters to Total-Lipids in Medium HDL percentage
L-LDL-C,0.97 [0.96-0.98],6.852e-06,***,Cholesterol in Large LDL
LDL-PL,0.97 [0.96-0.98],2.270e-06,***,Phospholipids in LDL
M-HDL-C%,0.97 [0.96-0.98],3.157e-05,***,Cholesterol to Total-Lipids in Medium HDL percentage
M-LDL-P,0.97 [0.96-0.98],2.115e-06,***,Concentration of Medium LDL Particles
IDL-L,0.97 [0.96-0.98],3.138e-06,***,Total-Lipids in IDL
S-LDL-PL,0.97 [0.96-0.98],2.381e-07,***,Phospholipids in Small LDL
XL-HDL-CE,0.97 [0.96-0.98],4.870e-04,***,Cholesteryl Esters in Very Large HDL
S-LDL-C,0.97 [0.96-0.98],2.425e-07,***,Cholesterol in Small LDL
XL-VLDL-PL%,0.97 [0.96-0.98],2.746e-07,***,Phospholipids to Total-Lipids in Very Large VLDL percentage
L-LDL-PL,0.97 [0.96-0.98],1.698e-07,***,Phospholipids in Large LDL
L-VLDL-C%,0.97 [0.96-0.98],3.397e-07,***,Cholesterol to Total-Lipids in Large VLDL percentage
Unsaturation,0.97 [0.96-0.98],2.211e-06,***,Degree of Unsaturation
XL-HDL-C,0.96 [0.95-0.98],1.632e-05,***,Cholesterol in Very Large HDL
Clinical LDL-C,0.96 [0.95-0.97],6.323e-10,***,Clinical LDL Cholesterol
IDL-CE,0.96 [0.95-0.97],7.330e-10,***,Cholesteryl Esters in IDL
IDL-P,0.96 [0.95-0.97],3.545e-11,***,Concentration of IDL Particles
IDL-C,0.96 [0.95-0.97],1.583e-10,***,Cholesterol in IDL
M-LDL-FC,0.96 [0.95-0.97],8.275e-11,***,Free Cholesterol in Medium LDL
M-VLDL-C,0.96 [0.95-0.97],2.412e-11,***,Cholesterol in Medium VLDL
ApoB/ApoA1,0.96 [0.95-0.97],9.568e-11,***,Apolipoprotein B to Apolipoprotein A1 ratio
L-VLDL-CE%,0.96 [0.95-0.97],8.691e-10,***,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
IDL-FC,0.96 [0.95-0.97],7.244e-12,***,Free Cholesterol in IDL
S-HDL-CE%,0.96 [0.95-0.97],1.999e-12,***,Cholesteryl Esters to Total-Lipids in Small HDL percentage
LDL-FC,0.96 [0.95-0.97],9.718e-13,***,Free Cholesterol in LDL
L-LDL-FC,0.96 [0.95-0.97],1.586e-12,***,Free Cholesterol in Large LDL
XL-HDL-FC,0.96 [0.95-0.97],8.684e-10,***,Free Cholesterol in Very Large HDL
XL-VLDL-CE%,0.96 [0.95-0.97],1.145e-11,***,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
S-VLDL-CE%,0.96 [0.95-0.97],9.533e-15,***,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
M-VLDL-PL%,0.96 [0.95-0.97],3.979e-14,***,Phospholipids to Total-Lipids in Medium VLDL percentage
S-LDL-FC%,0.96 [0.95-0.97],1.036e-14,***,Free Cholesterol to Total-Lipids in Small LDL percentage
S-LDL-C%,0.96 [0.95-0.97],1.902e-14,***,Cholesterol to Total-Lipids in Small LDL percentage
XL-VLDL-C%,0.96 [0.95-0.97],3.631e-13,***,Cholesterol to Total-Lipids in Very Large VLDL percentage
S-LDL-FC,0.96 [0.95-0.96],3.092e-16,***,Free Cholesterol in Small LDL
IDL-FC%,0.96 [0.95-0.96],7.404e-17,***,Free Cholesterol to Total-Lipids in IDL percentage
M-LDL-FC%,0.95 [0.95-0.96],7.878e-16,***,Free Cholesterol to Total-Lipids in Medium LDL percentage
Citrate,0.95 [0.94-0.96],2.754e-14,***,Citrate
M-VLDL-CE,0.95 [0.95-0.96],8.737e-18,***,Cholesteryl Esters in Medium VLDL
IDL-CE%,0.95 [0.95-0.96],5.078e-18,***,Cholesteryl Esters to Total-Lipids in IDL percentage
M-VLDL-CE%,0.95 [0.95-0.96],4.869e-18,***,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
M-VLDL-FC%,0.95 [0.95-0.96],2.764e-17,***,Free Cholesterol to Total-Lipids in Medium VLDL percentage
XL-VLDL-FC%,0.95 [0.94-0.96],2.113e-15,***,Free Cholesterol to Total-Lipids in Very Large VLDL percentage
L-HDL-CE%,0.95 [0.94-0.96],4.404e-17,***,Cholesteryl Esters to Total-Lipids in Large HDL percentage
XS-VLDL-FC%,0.95 [0.94-0.96],7.958e-20,***,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
S-HDL-C%,0.95 [0.94-0.96],1.248e-18,***,Cholesterol to Total-Lipids in Small HDL percentage
L-HDL-C%,0.95 [0.94-0.96],3.138e-18,***,Cholesterol to Total-Lipids in Large HDL percentage
M-VLDL-C%,0.95 [0.94-0.96],2.537e-19,***,Cholesterol to Total-Lipids in Medium VLDL percentage
S-VLDL-C%,0.95 [0.94-0.96],1.041e-20,***,Cholesterol to Total-Lipids in Small VLDL percentage
