Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
IDL-TG%,1.12 [1.10-1.14],1.056e-36,***,Triglycerides to Total-Lipids in IDL percentage
L-LDL-TG%,1.12 [1.10-1.14],4.676e-33,***,Triglycerides to Total-Lipids in Large LDL percentage
XS-VLDL-TG%,1.11 [1.09-1.13],2.204e-27,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
M-LDL-TG%,1.11 [1.09-1.13],1.683e-28,***,Triglycerides to Total-Lipids in Medium LDL percentage
L-HDL-PL%,1.10 [1.08-1.12],2.866e-20,***,Phospholipids to Total-Lipids in Large HDL percentage
XS-VLDL-PL%,1.10 [1.08-1.12],9.278e-19,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
M-HDL-PL%,1.09 [1.08-1.11],7.661e-18,***,Phospholipids to Total-Lipids in Medium HDL percentage
S-LDL-TG%,1.09 [1.08-1.11],9.535e-21,***,Triglycerides to Total-Lipids in Small LDL percentage
M-VLDL-TG%,1.09 [1.07-1.11],2.726e-18,***,Triglycerides to Total-Lipids in Medium VLDL percentage
S-VLDL-TG%,1.09 [1.07-1.11],1.388e-18,***,Triglycerides to Total-Lipids in Small VLDL percentage
MUFA%,1.08 [1.07-1.10],2.537e-13,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
S-HDL-TG%,1.08 [1.06-1.10],4.811e-11,***,Triglycerides to Total-Lipids in Small HDL percentage
XL-HDL-TG%,1.07 [1.05-1.09],2.003e-09,***,Triglycerides to Total-Lipids in Very Large HDL percentage
XL-VLDL-TG%,1.07 [1.05-1.09],1.152e-07,***,Triglycerides to Total-Lipids in Very Large VLDL percentage
L-HDL-TG%,1.07 [1.05-1.09],2.173e-08,***,Triglycerides to Total-Lipids in Large HDL percentage
M-HDL-TG%,1.07 [1.05-1.09],2.941e-08,***,Triglycerides to Total-Lipids in Medium HDL percentage
S-HDL-TG,1.06 [1.05-1.08],1.117e-07,***,Triglycerides in Small HDL
TG/PG,1.06 [1.04-1.08],7.241e-06,***,Triglycerides to Phosphoglycerides ratio
IDL-PL%,1.06 [1.04-1.08],2.044e-07,***,Phospholipids to Total-Lipids in IDL percentage
L-VLDL-PL%,1.06 [1.04-1.08],0.002,**,Phospholipids to Total-Lipids in Large VLDL percentage
GlycA,1.06 [1.04-1.07],0.001,**,Glycoprotein Acetyls
XS-VLDL-TG,1.06 [1.04-1.07],2.054e-05,***,Triglycerides in Very Small VLDL
M-HDL-TG,1.05 [1.04-1.07],7.568e-05,***,Triglycerides in Medium HDL
HDL-TG,1.05 [1.03-1.07],0.001,**,Triglycerides in HDL
IDL-TG,1.05 [1.03-1.06],0.008,**,Triglycerides in IDL
S-VLDL-TG,1.05 [1.03-1.06],0.020,*,Triglycerides in Small VLDL
LDL-P,0.96 [0.94-0.97],0.041,*,Concentration of LDL Particles
M-LDL-L,0.96 [0.94-0.97],0.033,*,Total-Lipids in Medium LDL
S-LDL-L,0.96 [0.94-0.97],0.012,*,Total-Lipids in Small LDL
S-LDL-PL,0.95 [0.94-0.97],0.007,**,Phospholipids in Small LDL
ApoB,0.95 [0.94-0.97],0.004,**,Apolipoprotein B
M-LDL-P,0.95 [0.94-0.97],0.002,**,Concentration of Medium LDL Particles
M-LDL-C,0.95 [0.94-0.97],0.001,**,Cholesterol in Medium LDL
LA,0.95 [0.93-0.97],6.993e-04,***,Linoleic Acid
S-LDL-C,0.95 [0.93-0.97],2.082e-04,***,Cholesterol in Small LDL
L-VLDL-C%,0.95 [0.93-0.97],5.153e-04,***,Cholesterol to Total-Lipids in Large VLDL percentage
Remnant-C,0.95 [0.93-0.96],1.068e-04,***,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
XS-VLDL-CE,0.95 [0.93-0.97],3.609e-04,***,Cholesteryl Esters in Very Small VLDL
