Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-LDL-TG%,1.25 [1.12-1.38],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
M-VLDL-TG%,1.15 [1.02-1.29],1.000,,Triglycerides to Total-Lipids in Medium VLDL percentage
S-HDL-PL%,1.07 [0.95-1.19],1.000,,Phospholipids to Total-Lipids in Small HDL percentage
M-LDL-PL%,1.06 [0.95-1.19],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
S-HDL-FC%,1.00 [0.90-1.13],1.000,,Free Cholesterol to Total-Lipids in Small HDL percentage
M-LDL-FC%,0.91 [0.81-1.01],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
M-VLDL-PL%,0.89 [0.80-0.99],1.000,,Phospholipids to Total-Lipids in Medium VLDL percentage
M-VLDL-FC%,0.87 [0.78-0.97],1.000,,Free Cholesterol to Total-Lipids in Medium VLDL percentage
M-VLDL-CE%,0.86 [0.78-0.95],1.000,,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
M-VLDL-C%,0.86 [0.77-0.95],1.000,,Cholesterol to Total-Lipids in Medium VLDL percentage
