Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-HDL-PL%,1.28 [1.22-1.35],2.308e-16,***,Phospholipids to Total-Lipids in Medium HDL percentage
S-HDL-TG%,1.28 [1.22-1.34],1.319e-16,***,Triglycerides to Total-Lipids in Small HDL percentage
IDL-TG%,1.28 [1.22-1.34],1.259e-17,***,Triglycerides to Total-Lipids in IDL percentage
L-HDL-TG%,1.28 [1.21-1.34],2.351e-15,***,Triglycerides to Total-Lipids in Large HDL percentage
M-HDL-TG%,1.27 [1.21-1.34],2.645e-15,***,Triglycerides to Total-Lipids in Medium HDL percentage
L-LDL-TG%,1.26 [1.20-1.33],9.084e-16,***,Triglycerides to Total-Lipids in Large LDL percentage
GlycA,1.26 [1.20-1.33],1.051e-13,***,Glycoprotein Acetyls
XS-VLDL-PL%,1.26 [1.20-1.33],5.302e-13,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
L-VLDL-PL%,1.26 [1.19-1.33],8.103e-11,***,Phospholipids to Total-Lipids in Large VLDL percentage
XL-HDL-TG%,1.26 [1.20-1.32],1.097e-13,***,Triglycerides to Total-Lipids in Very Large HDL percentage
MUFA%,1.25 [1.19-1.32],1.225e-11,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
S-HDL-TG,1.24 [1.19-1.30],2.366e-15,***,Triglycerides in Small HDL
TG/PG,1.24 [1.18-1.31],2.762e-11,***,Triglycerides to Phosphoglycerides ratio
S-LDL-TG%,1.23 [1.17-1.29],2.270e-12,***,Triglycerides to Total-Lipids in Small LDL percentage
XS-VLDL-TG,1.23 [1.18-1.28],5.814e-15,***,Triglycerides in Very Small VLDL
M-LDL-TG%,1.22 [1.17-1.28],1.425e-11,***,Triglycerides to Total-Lipids in Medium LDL percentage
XS-VLDL-TG%,1.21 [1.15-1.28],2.066e-08,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
IDL-TG,1.21 [1.16-1.27],1.648e-12,***,Triglycerides in IDL
S-VLDL-TG,1.21 [1.15-1.26],1.281e-10,***,Triglycerides in Small VLDL
Total-TG,1.20 [1.15-1.26],6.721e-09,***,Total-Triglycerides
LDL-TG,1.20 [1.15-1.25],3.201e-10,***,Triglycerides in LDL
L-LDL-TG,1.20 [1.15-1.25],3.921e-10,***,Triglycerides in Large LDL
HDL-TG,1.20 [1.14-1.25],7.313e-10,***,Triglycerides in HDL
M-HDL-TG,1.19 [1.14-1.25],8.228e-10,***,Triglycerides in Medium HDL
M-LDL-TG,1.19 [1.14-1.25],2.019e-09,***,Triglycerides in Medium LDL
S-LDL-TG,1.19 [1.14-1.25],4.182e-09,***,Triglycerides in Small LDL
L-VLDL-PL,1.19 [1.14-1.25],4.928e-08,***,Phospholipids in Large VLDL
VLDL-TG,1.19 [1.13-1.25],2.577e-07,***,Triglycerides in VLDL
XL-VLDL-L,1.19 [1.13-1.24],1.889e-07,***,Total-Lipids in Very Large VLDL
XL-VLDL-P,1.19 [1.13-1.24],7.479e-08,***,Concentration of Very Large VLDL Particles
XL-VLDL-TG,1.19 [1.13-1.24],2.270e-07,***,Triglycerides in Very Large VLDL
L-HDL-PL%,1.19 [1.13-1.25],3.247e-05,***,Phospholipids to Total-Lipids in Large HDL percentage
MUFA,1.19 [1.13-1.24],2.281e-06,***,Monounsaturated Fatty Acids
XXL-VLDL-PL,1.18 [1.13-1.24],8.547e-08,***,Phospholipids in Chylomicrons and Extremely Large VLDL
XXL-VLDL-C,1.18 [1.13-1.24],1.709e-07,***,Cholesterol in Chylomicrons and Extremely Large VLDL
XL-VLDL-PL,1.18 [1.13-1.24],1.948e-07,***,Phospholipids in Very Large VLDL
XXL-VLDL-CE,1.18 [1.13-1.24],2.827e-07,***,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL
XXL-VLDL-FC,1.18 [1.13-1.23],2.667e-07,***,Free Cholesterol in Chylomicrons and Extremely Large VLDL
XXL-VLDL-P,1.18 [1.13-1.23],2.753e-07,***,Concentration of Chylomicrons and Extremely Large VLDL Particles
XXL-VLDL-L,1.18 [1.13-1.24],1.372e-06,***,Total-Lipids in Chylomicrons and Extremely Large VLDL
L-VLDL-FC,1.18 [1.12-1.23],1.151e-06,***,Free Cholesterol in Large VLDL
XL-VLDL-FC,1.18 [1.13-1.23],7.046e-07,***,Free Cholesterol in Very Large VLDL
L-VLDL-P,1.18 [1.12-1.23],1.311e-06,***,Concentration of Large VLDL Particles
VLDL-L,1.17 [1.12-1.23],1.626e-05,***,Total-Lipids in VLDL
S-VLDL-P,1.17 [1.12-1.22],2.162e-06,***,Concentration of Small VLDL Particles
L-VLDL-L,1.17 [1.12-1.23],1.875e-05,***,Total-Lipids in Large VLDL
L-VLDL-C,1.17 [1.12-1.22],1.067e-05,***,Cholesterol in Large VLDL
XXL-VLDL-TG,1.17 [1.11-1.22],2.014e-05,***,Triglycerides in Chylomicrons and Extremely Large VLDL
XL-VLDL-C,1.17 [1.11-1.22],2.126e-05,***,Cholesterol in Very Large VLDL
VLDL-PL,1.16 [1.11-1.22],4.310e-05,***,Phospholipids in VLDL
S-VLDL-L,1.16 [1.11-1.22],3.122e-05,***,Total-Lipids in Small VLDL
M-VLDL-TG,1.16 [1.11-1.22],6.496e-05,***,Triglycerides in Medium VLDL
VLDL-size,1.16 [1.10-1.22],0.007,**,Average Diameter for VLDL Particles
L-VLDL-CE,1.15 [1.10-1.21],2.719e-04,***,Cholesteryl Esters in Large VLDL
M-VLDL-TG%,1.15 [1.10-1.21],0.009,**,Triglycerides to Total-Lipids in Medium VLDL percentage
L-VLDL-TG,1.15 [1.10-1.21],0.001,**,Triglycerides in Large VLDL
XL-VLDL-CE,1.15 [1.10-1.20],0.002,**,Cholesteryl Esters in Very Large VLDL
XS-VLDL-PL,1.14 [1.09-1.20],0.001,**,Phospholipids in Very Small VLDL
IDL-PL%,1.14 [1.09-1.20],0.006,**,Phospholipids to Total-Lipids in IDL percentage
XL-HDL-TG,1.14 [1.09-1.20],9.579e-04,***,Triglycerides in Very Large HDL
VLDL-P,1.14 [1.09-1.20],0.002,**,Concentration of VLDL Particles
SFA,1.14 [1.09-1.20],0.039,*,Saturated Fatty Acids
VLDL-FC,1.14 [1.09-1.19],0.008,**,Free Cholesterol in VLDL
Unsaturation,0.87 [0.82-0.91],0.039,*,Degree of Unsaturation
XL-VLDL-C%,0.86 [0.82-0.91],0.005,**,Cholesterol to Total-Lipids in Very Large VLDL percentage
L-HDL-PL,0.86 [0.81-0.91],0.024,*,Phospholipids in Large HDL
XL-VLDL-CE%,0.86 [0.82-0.90],4.970e-04,***,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
