Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
IDL-TG%,1.16 [1.13-1.19],3.596e-22,***,Triglycerides to Total-Lipids in IDL percentage
L-LDL-TG%,1.16 [1.13-1.19],1.826e-20,***,Triglycerides to Total-Lipids in Large LDL percentage
XS-VLDL-TG%,1.15 [1.12-1.18],7.077e-17,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
L-HDL-PL%,1.15 [1.12-1.18],4.352e-17,***,Phospholipids to Total-Lipids in Large HDL percentage
M-LDL-TG%,1.14 [1.11-1.17],7.781e-17,***,Triglycerides to Total-Lipids in Medium LDL percentage
M-HDL-PL%,1.13 [1.10-1.16],1.670e-11,***,Phospholipids to Total-Lipids in Medium HDL percentage
S-LDL-TG%,1.13 [1.10-1.16],3.582e-13,***,Triglycerides to Total-Lipids in Small LDL percentage
M-VLDL-TG%,1.12 [1.09-1.16],1.442e-10,***,Triglycerides to Total-Lipids in Medium VLDL percentage
S-VLDL-TG%,1.12 [1.09-1.15],3.733e-10,***,Triglycerides to Total-Lipids in Small VLDL percentage
XL-HDL-TG%,1.12 [1.09-1.15],6.954e-09,***,Triglycerides to Total-Lipids in Very Large HDL percentage
S-HDL-TG%,1.10 [1.07-1.14],2.441e-06,***,Triglycerides to Total-Lipids in Small HDL percentage
L-HDL-TG%,1.10 [1.07-1.14],2.002e-06,***,Triglycerides to Total-Lipids in Large HDL percentage
S-HDL-TG,1.10 [1.07-1.13],1.997e-07,***,Triglycerides in Small HDL
XS-VLDL-PL%,1.10 [1.07-1.14],9.381e-06,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
MUFA%,1.10 [1.07-1.13],2.067e-05,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
XL-VLDL-TG%,1.10 [1.07-1.13],2.020e-04,***,Triglycerides to Total-Lipids in Very Large VLDL percentage
M-HDL-TG%,1.10 [1.07-1.13],1.915e-05,***,Triglycerides to Total-Lipids in Medium HDL percentage
Creatinine,1.09 [1.06-1.13],0.005,**,Creatinine
M-HDL-TG,1.09 [1.06-1.12],1.436e-05,***,Triglycerides in Medium HDL
XS-VLDL-TG,1.09 [1.06-1.12],3.912e-05,***,Triglycerides in Very Small VLDL
TG/PG,1.09 [1.06-1.12],0.006,**,Triglycerides to Phosphoglycerides ratio
HDL-TG,1.09 [1.06-1.11],3.251e-04,***,Triglycerides in HDL
IDL-TG,1.08 [1.05-1.11],0.004,**,Triglycerides in IDL
S-VLDL-TG,1.08 [1.05-1.11],0.014,*,Triglycerides in Small VLDL
Clinical LDL-C,0.93 [0.90-0.95],0.012,*,Clinical LDL Cholesterol
Unsaturation,0.93 [0.90-0.95],0.040,*,Degree of Unsaturation
S-LDL-FC,0.92 [0.90-0.95],0.002,**,Free Cholesterol in Small LDL
M-VLDL-CE,0.92 [0.90-0.95],0.002,**,Cholesteryl Esters in Medium VLDL
LDL-FC,0.92 [0.90-0.95],0.001,**,Free Cholesterol in LDL
IDL-CE,0.92 [0.90-0.95],9.111e-04,***,Cholesteryl Esters in IDL
S-VLDL-CE%,0.92 [0.90-0.94],1.164e-04,***,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
L-VLDL-CE%,0.92 [0.89-0.95],0.002,**,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
L-LDL-FC,0.92 [0.89-0.94],4.528e-04,***,Free Cholesterol in Large LDL
IDL-C,0.92 [0.89-0.94],2.212e-04,***,Cholesterol in IDL
L-HDL-FC%,0.92 [0.89-0.94],6.937e-05,***,Free Cholesterol to Total-Lipids in Large HDL percentage
S-HDL-CE%,0.92 [0.89-0.94],2.374e-05,***,Cholesteryl Esters to Total-Lipids in Small HDL percentage
M-HDL-FC%,0.92 [0.89-0.94],0.003,**,Free Cholesterol to Total-Lipids in Medium HDL percentage
XL-VLDL-FC%,0.92 [0.89-0.94],6.019e-04,***,Free Cholesterol to Total-Lipids in Very Large VLDL percentage
IDL-FC,0.91 [0.89-0.94],6.101e-05,***,Free Cholesterol in IDL
L-HDL-C,0.91 [0.88-0.94],0.008,**,Cholesterol in Large HDL
M-VLDL-PL%,0.91 [0.89-0.94],1.903e-06,***,Phospholipids to Total-Lipids in Medium VLDL percentage
XL-HDL-P,0.91 [0.88-0.94],0.003,**,Concentration of Very Large HDL Particles
XL-HDL-L,0.91 [0.88-0.94],0.003,**,Total-Lipids in Very Large HDL
L-HDL-CE,0.91 [0.88-0.94],0.004,**,Cholesteryl Esters in Large HDL
