Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
IDL-TG%,1.25 [1.15-1.36],0.038,*,Triglycerides to Total-Lipids in IDL percentage
L-LDL-TG%,1.25 [1.15-1.36],0.045,*,Triglycerides to Total-Lipids in Large LDL percentage
M-LDL-TG%,1.22 [1.12-1.32],0.564,,Triglycerides to Total-Lipids in Medium LDL percentage
M-VLDL-TG%,1.18 [1.08-1.28],1.000,,Triglycerides to Total-Lipids in Medium VLDL percentage
S-HDL-TG%,1.11 [1.02-1.21],1.000,,Triglycerides to Total-Lipids in Small HDL percentage
M-LDL-C%,0.82 [0.76-0.89],0.114,,Cholesterol to Total-Lipids in Medium LDL percentage
IDL-C%,0.82 [0.76-0.89],0.189,,Cholesterol to Total-Lipids in IDL percentage
L-LDL-FC,0.81 [0.74-0.88],0.167,,Free Cholesterol in Large LDL
L-LDL-C%,0.81 [0.74-0.87],0.086,,Cholesterol to Total-Lipids in Large LDL percentage
Citrate,0.77 [0.70-0.84],0.006,**,Citrate
