Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
XS-VLDL-PL%,1.16 [1.10-1.22],0.031,*,Phospholipids to Total-Lipids in Very Small VLDL percentage
IDL-TG%,1.14 [1.09-1.20],0.122,,Triglycerides to Total-Lipids in IDL percentage
XS-VLDL-TG%,1.14 [1.08-1.20],0.429,,Triglycerides to Total-Lipids in Very Small VLDL percentage
S-LDL-PL%,1.05 [1.00-1.11],1.000,,Phospholipids to Total-Lipids in Small LDL percentage
M-LDL-PL%,1.02 [0.97-1.07],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
IDL-C,0.87 [0.83-0.92],0.044,*,Cholesterol in IDL
IDL-CE,0.87 [0.83-0.92],0.029,*,Cholesteryl Esters in IDL
XS-VLDL-CE%,0.87 [0.82-0.91],0.038,*,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
HDL-C,0.86 [0.82-0.91],0.046,*,HDL Cholesterol
M-HDL-FC%,0.84 [0.80-0.89],0.002,**,Free Cholesterol to Total-Lipids in Medium HDL percentage
