Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
Creatinine,1.14 [1.13-1.15],1.499e-113,***,Creatinine
XS-VLDL-PL%,1.12 [1.11-1.13],1.923e-97,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
IDL-TG%,1.11 [1.10-1.13],7.865e-99,***,Triglycerides to Total-Lipids in IDL percentage
L-LDL-TG%,1.11 [1.10-1.12],8.355e-97,***,Triglycerides to Total-Lipids in Large LDL percentage
M-LDL-TG%,1.10 [1.09-1.11],7.090e-84,***,Triglycerides to Total-Lipids in Medium LDL percentage
M-HDL-PL%,1.10 [1.09-1.11],9.862e-62,***,Phospholipids to Total-Lipids in Medium HDL percentage
XS-VLDL-TG%,1.10 [1.08-1.11],5.342e-66,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
IDL-PL%,1.09 [1.08-1.10],4.378e-61,***,Phospholipids to Total-Lipids in IDL percentage
S-VLDL-TG%,1.09 [1.08-1.10],8.888e-55,***,Triglycerides to Total-Lipids in Small VLDL percentage
M-VLDL-TG%,1.08 [1.07-1.10],7.278e-49,***,Triglycerides to Total-Lipids in Medium VLDL percentage
S-LDL-PL%,1.08 [1.07-1.09],2.506e-41,***,Phospholipids to Total-Lipids in Small LDL percentage
L-HDL-PL%,1.07 [1.06-1.08],1.754e-36,***,Phospholipids to Total-Lipids in Large HDL percentage
S-LDL-TG%,1.07 [1.06-1.08],1.651e-37,***,Triglycerides to Total-Lipids in Small LDL percentage
S-HDL-TG%,1.06 [1.05-1.07],1.479e-21,***,Triglycerides to Total-Lipids in Small HDL percentage
XL-HDL-FC%,1.05 [1.04-1.06],5.049e-14,***,Free Cholesterol to Total-Lipids in Very Large HDL percentage
XXL-VLDL-PL%,1.05 [1.04-1.06],6.062e-16,***,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
MUFA%,1.05 [1.04-1.06],1.739e-14,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
XL-VLDL-TG%,1.05 [1.04-1.06],8.734e-14,***,Triglycerides to Total-Lipids in Very Large VLDL percentage
M-HDL-TG%,1.04 [1.03-1.06],1.272e-11,***,Triglycerides to Total-Lipids in Medium HDL percentage
M-LDL-PL%,1.04 [1.03-1.05],2.443e-11,***,Phospholipids to Total-Lipids in Medium LDL percentage
L-HDL-TG%,1.04 [1.03-1.05],1.141e-09,***,Triglycerides to Total-Lipids in Large HDL percentage
Omega-6/Omega-3,1.04 [1.03-1.05],6.548e-08,***,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
GlycA,1.04 [1.03-1.05],7.587e-06,***,Glycoprotein Acetyls
TG/PG,1.03 [1.02-1.05],8.712e-05,***,Triglycerides to Phosphoglycerides ratio
Phe,1.03 [1.02-1.04],6.331e-06,***,Phenylalanine
S-HDL-PL%,1.03 [1.02-1.04],1.611e-04,***,Phospholipids to Total-Lipids in Small HDL percentage
L-VLDL-PL%,1.03 [1.02-1.04],0.017,*,Phospholipids to Total-Lipids in Large VLDL percentage
M-LDL-TG,0.97 [0.96-0.98],0.042,*,Triglycerides in Medium LDL
