Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-LDL-PL%,1.17 [0.99-1.39],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
S-HDL-CE%,1.12 [0.93-1.34],1.000,,Cholesteryl Esters to Total-Lipids in Small HDL percentage
S-HDL-C%,1.09 [0.91-1.30],1.000,,Cholesterol to Total-Lipids in Small HDL percentage
M-LDL-FC%,1.06 [0.87-1.29],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
M-LDL-TG%,1.03 [0.86-1.23],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
M-VLDL-TG%,1.00 [0.83-1.19],1.000,,Triglycerides to Total-Lipids in Medium VLDL percentage
M-VLDL-CE%,0.98 [0.80-1.19],1.000,,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
M-VLDL-C%,0.97 [0.80-1.19],1.000,,Cholesterol to Total-Lipids in Medium VLDL percentage
M-VLDL-FC%,0.95 [0.79-1.14],1.000,,Free Cholesterol to Total-Lipids in Medium VLDL percentage
M-VLDL-PL%,0.94 [0.79-1.13],1.000,,Phospholipids to Total-Lipids in Medium VLDL percentage
