Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
XS-VLDL-PL%,1.16 [1.13-1.18],1.128e-30,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
L-LDL-TG%,1.14 [1.11-1.16],5.891e-27,***,Triglycerides to Total-Lipids in Large LDL percentage
IDL-TG%,1.14 [1.11-1.16],1.901e-26,***,Triglycerides to Total-Lipids in IDL percentage
M-HDL-PL%,1.13 [1.10-1.15],6.983e-20,***,Phospholipids to Total-Lipids in Medium HDL percentage
M-LDL-TG%,1.12 [1.10-1.15],1.031e-21,***,Triglycerides to Total-Lipids in Medium LDL percentage
MUFA%,1.11 [1.08-1.13],4.552e-12,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
XS-VLDL-TG%,1.10 [1.08-1.13],2.452e-13,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
IDL-PL%,1.10 [1.08-1.12],1.283e-13,***,Phospholipids to Total-Lipids in IDL percentage
S-HDL-TG%,1.09 [1.07-1.12],1.681e-09,***,Triglycerides to Total-Lipids in Small HDL percentage
S-LDL-TG%,1.09 [1.07-1.11],5.271e-10,***,Triglycerides to Total-Lipids in Small LDL percentage
GlycA,1.09 [1.06-1.11],1.015e-07,***,Glycoprotein Acetyls
M-VLDL-TG%,1.08 [1.06-1.11],1.546e-07,***,Triglycerides to Total-Lipids in Medium VLDL percentage
L-HDL-TG%,1.08 [1.06-1.11],5.007e-07,***,Triglycerides to Total-Lipids in Large HDL percentage
L-HDL-PL%,1.08 [1.06-1.11],8.107e-07,***,Phospholipids to Total-Lipids in Large HDL percentage
M-HDL-TG%,1.08 [1.06-1.11],1.112e-06,***,Triglycerides to Total-Lipids in Medium HDL percentage
S-VLDL-TG%,1.08 [1.06-1.11],3.470e-07,***,Triglycerides to Total-Lipids in Small VLDL percentage
TG/PG,1.07 [1.05-1.10],4.144e-04,***,Triglycerides to Phosphoglycerides ratio
XL-HDL-FC%,1.07 [1.04-1.10],0.019,*,Free Cholesterol to Total-Lipids in Very Large HDL percentage
Omega-6/Omega-3,1.06 [1.04-1.09],0.009,**,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
S-VLDL-FC,0.95 [0.93-0.97],0.039,*,Free Cholesterol in Small VLDL
M-VLDL-FC,0.94 [0.92-0.96],0.012,*,Free Cholesterol in Medium VLDL
S-LDL-P,0.94 [0.92-0.96],0.007,**,Concentration of Small LDL Particles
XS-VLDL-FC%,0.94 [0.92-0.96],0.003,**,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
XL-VLDL-CE%,0.94 [0.92-0.96],0.029,*,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
XS-VLDL-C,0.94 [0.92-0.96],0.002,**,Cholesterol in Very Small VLDL
S-LDL-PL,0.94 [0.92-0.96],6.946e-04,***,Phospholipids in Small LDL
LA%,0.94 [0.92-0.96],0.004,**,Linoleic Acid to Total-Fatty Acids percentage
L-LDL-P,0.94 [0.92-0.96],3.153e-04,***,Concentration of Large LDL Particles
S-LDL-FC%,0.94 [0.92-0.96],9.445e-05,***,Free Cholesterol to Total-Lipids in Small LDL percentage
S-HDL-CE%,0.93 [0.91-0.95],7.013e-05,***,Cholesteryl Esters to Total-Lipids in Small HDL percentage
LDL-P,0.93 [0.91-0.95],4.729e-05,***,Concentration of LDL Particles
XL-HDL-C,0.93 [0.91-0.96],0.004,**,Cholesterol in Very Large HDL
ApoB,0.93 [0.91-0.95],9.291e-06,***,Apolipoprotein B
S-LDL-L,0.93 [0.91-0.95],4.857e-06,***,Total-Lipids in Small LDL
S-VLDL-C%,0.93 [0.91-0.95],3.993e-06,***,Cholesterol to Total-Lipids in Small VLDL percentage
XS-VLDL-CE,0.93 [0.91-0.95],1.096e-05,***,Cholesteryl Esters in Very Small VLDL
S-HDL-PL,0.93 [0.91-0.95],1.396e-05,***,Phospholipids in Small HDL
M-LDL-FC%,0.93 [0.91-0.95],7.382e-06,***,Free Cholesterol to Total-Lipids in Medium LDL percentage
S-LDL-CE,0.93 [0.91-0.95],1.439e-06,***,Cholesteryl Esters in Small LDL
M-LDL-P,0.93 [0.91-0.95],1.632e-06,***,Concentration of Medium LDL Particles
M-VLDL-C,0.93 [0.91-0.95],2.792e-07,***,Cholesterol in Medium VLDL
M-VLDL-PL%,0.93 [0.91-0.95],1.930e-07,***,Phospholipids to Total-Lipids in Medium VLDL percentage
XL-HDL-CE,0.93 [0.90-0.95],1.891e-04,***,Cholesteryl Esters in Very Large HDL
PUFA%,0.93 [0.91-0.95],2.990e-06,***,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
S-HDL-C%,0.93 [0.91-0.94],2.010e-07,***,Cholesterol to Total-Lipids in Small HDL percentage
M-LDL-PL,0.92 [0.90-0.94],6.915e-08,***,Phospholipids in Medium LDL
