Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
XS-VLDL-PL%,1.09 [1.08-1.11],2.431e-43,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
L-LDL-TG%,1.09 [1.07-1.10],2.353e-40,***,Triglycerides to Total-Lipids in Large LDL percentage
IDL-TG%,1.09 [1.07-1.10],6.422e-40,***,Triglycerides to Total-Lipids in IDL percentage
M-HDL-PL%,1.08 [1.07-1.09],7.796e-30,***,Phospholipids to Total-Lipids in Medium HDL percentage
M-LDL-TG%,1.08 [1.06-1.09],2.650e-33,***,Triglycerides to Total-Lipids in Medium LDL percentage
XS-VLDL-TG%,1.07 [1.06-1.08],5.457e-26,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
L-HDL-PL%,1.06 [1.05-1.08],1.575e-19,***,Phospholipids to Total-Lipids in Large HDL percentage
M-VLDL-TG%,1.06 [1.05-1.08],2.537e-20,***,Triglycerides to Total-Lipids in Medium VLDL percentage
S-VLDL-TG%,1.06 [1.05-1.07],1.648e-19,***,Triglycerides to Total-Lipids in Small VLDL percentage
IDL-PL%,1.06 [1.05-1.07],3.590e-17,***,Phospholipids to Total-Lipids in IDL percentage
S-LDL-TG%,1.06 [1.04-1.07],1.197e-15,***,Triglycerides to Total-Lipids in Small LDL percentage
MUFA%,1.05 [1.04-1.06],2.011e-09,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
S-HDL-TG%,1.05 [1.03-1.06],4.014e-09,***,Triglycerides to Total-Lipids in Small HDL percentage
S-LDL-PL%,1.05 [1.03-1.06],6.058e-09,***,Phospholipids to Total-Lipids in Small LDL percentage
XL-HDL-FC%,1.05 [1.03-1.06],2.284e-06,***,Free Cholesterol to Total-Lipids in Very Large HDL percentage
L-HDL-TG%,1.04 [1.03-1.05],5.971e-06,***,Triglycerides to Total-Lipids in Large HDL percentage
GlycA,1.04 [1.03-1.05],8.792e-05,***,Glycoprotein Acetyls
M-HDL-TG%,1.04 [1.03-1.05],8.574e-05,***,Triglycerides to Total-Lipids in Medium HDL percentage
TG/PG,1.04 [1.02-1.05],0.002,**,Triglycerides to Phosphoglycerides ratio
XL-VLDL-TG%,1.04 [1.02-1.05],0.001,**,Triglycerides to Total-Lipids in Very Large VLDL percentage
XS-VLDL-PL,0.97 [0.96-0.98],0.006,**,Phospholipids in Very Small VLDL
L-VLDL-C%,0.97 [0.96-0.98],0.003,**,Cholesterol to Total-Lipids in Large VLDL percentage
XXL-VLDL-CE%,0.97 [0.96-0.98],0.011,*,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
VLDL-P,0.97 [0.96-0.98],0.001,**,Concentration of VLDL Particles
XL-VLDL-FC%,0.97 [0.96-0.98],0.006,**,Free Cholesterol to Total-Lipids in Very Large VLDL percentage
M-LDL-CE%,0.97 [0.96-0.98],6.372e-04,***,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
S-HDL-CE%,0.97 [0.96-0.98],4.148e-04,***,Cholesteryl Esters to Total-Lipids in Small HDL percentage
XL-HDL-PL,0.97 [0.95-0.98],0.013,*,Phospholipids in Very Large HDL
XL-HDL-FC,0.96 [0.95-0.98],0.002,**,Free Cholesterol in Very Large HDL
VLDL-FC,0.96 [0.95-0.98],3.977e-05,***,Free Cholesterol in VLDL
S-LDL-FC%,0.96 [0.95-0.97],1.875e-05,***,Free Cholesterol to Total-Lipids in Small LDL percentage
HDL-size,0.96 [0.95-0.98],0.005,**,Average Diameter for HDL Particles
L-LDL-CE%,0.96 [0.95-0.97],4.622e-06,***,Cholesteryl Esters to Total-Lipids in Large LDL percentage
S-VLDL-CE,0.96 [0.95-0.97],1.177e-06,***,Cholesteryl Esters in Small VLDL
S-HDL-FC%,0.96 [0.95-0.97],9.611e-06,***,Free Cholesterol to Total-Lipids in Small HDL percentage
Omega-3,0.96 [0.95-0.97],2.954e-06,***,Omega-3 Fatty Acids
L-VLDL-CE%,0.96 [0.95-0.97],3.139e-06,***,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
M-VLDL-L,0.96 [0.95-0.97],1.185e-07,***,Total-Lipids in Medium VLDL
S-VLDL-CE%,0.96 [0.95-0.97],3.769e-08,***,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
PUFA/MUFA,0.96 [0.95-0.97],8.709e-06,***,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
M-HDL-CE%,0.96 [0.95-0.97],3.413e-07,***,Cholesteryl Esters to Total-Lipids in Medium HDL percentage
XL-VLDL-C%,0.96 [0.95-0.97],1.159e-06,***,Cholesterol to Total-Lipids in Very Large VLDL percentage
M-LDL-FC%,0.96 [0.95-0.97],3.250e-07,***,Free Cholesterol to Total-Lipids in Medium LDL percentage
SFA,0.96 [0.95-0.97],2.151e-07,***,Saturated Fatty Acids
XL-VLDL-CE%,0.96 [0.95-0.97],4.138e-07,***,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
XS-VLDL-L,0.96 [0.95-0.97],2.435e-08,***,Total-Lipids in Very Small VLDL
S-VLDL-PL,0.96 [0.95-0.97],4.416e-09,***,Phospholipids in Small VLDL
XS-VLDL-P,0.96 [0.95-0.97],4.418e-09,***,Concentration of Very Small VLDL Particles
XL-HDL-L,0.96 [0.95-0.97],4.358e-06,***,Total-Lipids in Very Large HDL
LA%,0.96 [0.95-0.97],3.665e-08,***,Linoleic Acid to Total-Fatty Acids percentage
S-HDL-C%,0.96 [0.95-0.97],1.423e-09,***,Cholesterol to Total-Lipids in Small HDL percentage
S-VLDL-C,0.96 [0.95-0.97],2.805e-10,***,Cholesterol in Small VLDL
XS-VLDL-FC%,0.96 [0.95-0.97],5.588e-11,***,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
