Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-HDL-PL%,1.38 [1.13-1.67],1.000,,Phospholipids to Total-Lipids in Medium HDL percentage
M-HDL-TG%,1.37 [1.13-1.66],1.000,,Triglycerides to Total-Lipids in Medium HDL percentage
M-LDL-TG%,1.29 [1.08-1.54],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
L-VLDL-PL%,1.17 [0.97-1.41],1.000,,Phospholipids to Total-Lipids in Large VLDL percentage
L-VLDL-FC%,1.15 [0.97-1.37],1.000,,Free Cholesterol to Total-Lipids in Large VLDL percentage
Total-FA,0.99 [0.81-1.21],1.000,,Total-Fatty Acids
Unsaturation,0.87 [0.71-1.06],1.000,,Degree of Unsaturation
M-LDL-FC%,0.80 [0.66-0.97],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
Albumin,0.72 [0.61-0.85],1.000,,Albumin
IDL-CE%,0.66 [0.56-0.79],0.744,,Cholesteryl Esters to Total-Lipids in IDL percentage
