Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
S-HDL-TG%,1.12 [0.98-1.28],1.000,,Triglycerides to Total-Lipids in Small HDL percentage
M-LDL-TG%,1.08 [0.95-1.23],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
S-HDL-FC%,1.04 [0.92-1.18],1.000,,Free Cholesterol to Total-Lipids in Small HDL percentage
M-VLDL-TG%,1.03 [0.90-1.18],1.000,,Triglycerides to Total-Lipids in Medium VLDL percentage
M-VLDL-PL%,1.02 [0.89-1.16],1.000,,Phospholipids to Total-Lipids in Medium VLDL percentage
M-VLDL-FC%,0.99 [0.86-1.13],1.000,,Free Cholesterol to Total-Lipids in Medium VLDL percentage
M-VLDL-C%,0.96 [0.83-1.10],1.000,,Cholesterol to Total-Lipids in Medium VLDL percentage
M-VLDL-CE%,0.95 [0.83-1.10],1.000,,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
M-LDL-PL%,0.94 [0.83-1.06],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
M-LDL-FC%,0.91 [0.79-1.04],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
