Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
L-LDL-TG%,2.69 [2.31-3.13],6.081e-32,***,Triglycerides to Total-Lipids in Large LDL percentage
IDL-TG%,2.59 [2.22-3.03],1.322e-27,***,Triglycerides to Total-Lipids in IDL percentage
S-VLDL-TG%,2.59 [2.14-3.13],3.481e-17,***,Triglycerides to Total-Lipids in Small VLDL percentage
XS-VLDL-TG%,2.55 [2.15-3.03],2.748e-21,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
M-LDL-TG%,2.53 [2.19-2.92],2.110e-31,***,Triglycerides to Total-Lipids in Medium LDL percentage
M-VLDL-TG%,2.26 [1.89-2.70],1.381e-13,***,Triglycerides to Total-Lipids in Medium VLDL percentage
XS-VLDL-PL%,2.20 [1.87-2.59],3.598e-16,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
S-LDL-PL%,2.08 [1.78-2.44],9.562e-15,***,Phospholipids to Total-Lipids in Small LDL percentage
Glu-lactate,2.04 [1.77-2.34],1.832e-18,***,Glucose-lactate
Glu,1.86 [1.59-2.19],4.599e-09,***,Glucose
S-LDL-TG%,1.84 [1.58-2.14],1.196e-09,***,Triglycerides to Total-Lipids in Small LDL percentage
IDL-PL%,1.75 [1.49-2.07],5.868e-06,***,Phospholipids to Total-Lipids in IDL percentage
L-HDL-PL%,1.70 [1.45-1.99],9.891e-06,***,Phospholipids to Total-Lipids in Large HDL percentage
S-HDL-PL%,1.58 [1.33-1.88],0.037,*,Phospholipids to Total-Lipids in Small HDL percentage
IDL-FC%,0.65 [0.56-0.76],0.008,**,Free Cholesterol to Total-Lipids in IDL percentage
XL-HDL-CE%,0.64 [0.55-0.75],0.003,**,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
XL-VLDL-PL%,0.64 [0.57-0.71],2.693e-11,***,Phospholipids to Total-Lipids in Very Large VLDL percentage
L-VLDL-C%,0.63 [0.54-0.75],0.009,**,Cholesterol to Total-Lipids in Large VLDL percentage
L-VLDL-CE%,0.63 [0.54-0.75],0.010,**,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
S-HDL-PL,0.62 [0.52-0.74],0.009,**,Phospholipids in Small HDL
XL-VLDL-FC%,0.62 [0.51-0.74],0.030,*,Free Cholesterol to Total-Lipids in Very Large VLDL percentage
L-LDL-CE%,0.60 [0.52-0.70],1.636e-06,***,Cholesteryl Esters to Total-Lipids in Large LDL percentage
XL-VLDL-CE%,0.60 [0.51-0.72],0.002,**,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
XL-VLDL-C%,0.59 [0.49-0.71],0.006,**,Cholesterol to Total-Lipids in Very Large VLDL percentage
L-HDL-FC%,0.59 [0.52-0.67],3.719e-10,***,Free Cholesterol to Total-Lipids in Large HDL percentage
M-HDL-FC%,0.59 [0.50-0.70],3.298e-04,***,Free Cholesterol to Total-Lipids in Medium HDL percentage
MUFA,0.58 [0.49-0.71],0.004,**,Monounsaturated Fatty Acids
S-HDL-L,0.58 [0.49-0.69],3.040e-05,***,Total-Lipids in Small HDL
L-VLDL-PL,0.57 [0.47-0.70],0.011,*,Phospholipids in Large VLDL
M-VLDL-CE%,0.57 [0.51-0.63],6.502e-22,***,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
XS-VLDL-FC%,0.57 [0.50-0.65],1.734e-11,***,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
LA%,0.57 [0.48-0.66],3.817e-07,***,Linoleic Acid to Total-Fatty Acids percentage
XXL-VLDL-CE,0.56 [0.46-0.70],0.027,*,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL
HDL-P,0.56 [0.47-0.68],1.841e-04,***,Concentration of HDL Particles
L-VLDL-P,0.56 [0.45-0.69],0.011,*,Concentration of Large VLDL Particles
M-VLDL-TG,0.56 [0.46-0.68],0.001,**,Triglycerides in Medium VLDL
L-LDL-FC%,0.55 [0.49-0.63],1.786e-12,***,Free Cholesterol to Total-Lipids in Large LDL percentage
XL-VLDL-PL,0.55 [0.45-0.68],0.007,**,Phospholipids in Very Large VLDL
L-VLDL-L,0.55 [0.45-0.67],5.710e-04,***,Total-Lipids in Large VLDL
S-VLDL-CE%,0.54 [0.47-0.61],1.585e-14,***,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
S-HDL-CE,0.53 [0.45-0.63],1.507e-08,***,Cholesteryl Esters in Small HDL
S-HDL-FC,0.53 [0.44-0.63],2.436e-07,***,Free Cholesterol in Small HDL
S-HDL-C,0.52 [0.44-0.61],3.089e-09,***,Cholesterol in Small HDL
M-VLDL-C%,0.51 [0.45-0.58],3.882e-21,***,Cholesterol to Total-Lipids in Medium VLDL percentage
XL-VLDL-FC,0.51 [0.41-0.63],1.352e-04,***,Free Cholesterol in Very Large VLDL
L-VLDL-FC,0.51 [0.41-0.62],4.673e-05,***,Free Cholesterol in Large VLDL
S-HDL-P,0.50 [0.42-0.59],3.738e-10,***,Concentration of Small HDL Particles
M-VLDL-FC%,0.48 [0.43-0.55],5.081e-22,***,Free Cholesterol to Total-Lipids in Medium VLDL percentage
M-VLDL-PL%,0.48 [0.42-0.54],4.185e-25,***,Phospholipids to Total-Lipids in Medium VLDL percentage
S-VLDL-P,0.48 [0.39-0.59],3.767e-07,***,Concentration of Small VLDL Particles
VLDL-L,0.48 [0.40-0.57],4.041e-10,***,Total-Lipids in VLDL
SFA,0.48 [0.40-0.57],4.973e-10,***,Saturated Fatty Acids
Total-P,0.47 [0.39-0.57],2.587e-10,***,Total-Concentration of Lipoprotein Particles
S-VLDL-C%,0.47 [0.41-0.54],9.150e-22,***,Cholesterol to Total-Lipids in Small VLDL percentage
M-LDL-CE%,0.46 [0.40-0.53],9.815e-20,***,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
IDL-C%,0.46 [0.40-0.52],1.506e-28,***,Cholesterol to Total-Lipids in IDL percentage
