Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
XS-VLDL-TG%,2.17 [2.08-2.27],3.846e-239,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
M-VLDL-TG%,2.01 [1.92-2.10],7.316e-186,***,Triglycerides to Total-Lipids in Medium VLDL percentage
S-VLDL-TG%,1.99 [1.90-2.09],2.238e-169,***,Triglycerides to Total-Lipids in Small VLDL percentage
IDL-TG%,1.97 [1.89-2.06],2.008e-208,***,Triglycerides to Total-Lipids in IDL percentage
XL-VLDL-TG%,1.88 [1.77-1.99],3.761e-98,***,Triglycerides to Total-Lipids in Very Large VLDL percentage
L-LDL-TG%,1.87 [1.79-1.95],2.794e-179,***,Triglycerides to Total-Lipids in Large LDL percentage
L-HDL-PL%,1.81 [1.74-1.89],3.324e-158,***,Phospholipids to Total-Lipids in Large HDL percentage
M-LDL-TG%,1.75 [1.68-1.82],3.426e-158,***,Triglycerides to Total-Lipids in Medium LDL percentage
S-LDL-TG%,1.61 [1.55-1.68],6.808e-107,***,Triglycerides to Total-Lipids in Small LDL percentage
XS-VLDL-PL%,1.57 [1.51-1.64],2.407e-87,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
MUFA%,1.43 [1.36-1.50],1.057e-43,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
XL-HDL-TG%,1.42 [1.36-1.48],1.166e-48,***,Triglycerides to Total-Lipids in Very Large HDL percentage
M-HDL-PL%,1.39 [1.33-1.46],3.369e-42,***,Phospholipids to Total-Lipids in Medium HDL percentage
XXL-VLDL-PL%,1.39 [1.33-1.46],5.844e-39,***,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
L-VLDL-TG%,1.36 [1.30-1.42],1.986e-39,***,Triglycerides to Total-Lipids in Large VLDL percentage
XL-HDL-FC%,1.33 [1.27-1.40],1.017e-24,***,Free Cholesterol to Total-Lipids in Very Large HDL percentage
L-HDL-TG%,1.31 [1.25-1.37],7.725e-25,***,Triglycerides to Total-Lipids in Large HDL percentage
IDL-PL%,1.30 [1.24-1.35],6.189e-28,***,Phospholipids to Total-Lipids in IDL percentage
TG/PG,1.28 [1.22-1.34],7.536e-21,***,Triglycerides to Phosphoglycerides ratio
S-HDL-TG%,1.28 [1.22-1.34],5.312e-22,***,Triglycerides to Total-Lipids in Small HDL percentage
S-HDL-TG,1.22 [1.17-1.27],1.341e-15,***,Triglycerides in Small HDL
VLDL-size,1.21 [1.16-1.27],1.560e-10,***,Average Diameter for VLDL Particles
Omega-3%,1.20 [1.14-1.25],1.658e-09,***,Omega-3 Fatty Acids to Total-Fatty Acids percentage
M-HDL-TG%,1.19 [1.14-1.25],8.010e-09,***,Triglycerides to Total-Lipids in Medium HDL percentage
Creatinine,1.16 [1.11-1.22],3.551e-04,***,Creatinine
Sc-ala,1.16 [1.11-1.21],9.299e-07,***,Spectrometer-corrected alanine
GlycA,1.16 [1.11-1.21],6.252e-05,***,Glycoprotein Acetyls
S-LDL-PL%,1.15 [1.10-1.20],2.387e-05,***,Phospholipids to Total-Lipids in Small LDL percentage
Glu-lactate,1.15 [1.10-1.20],4.202e-05,***,Glucose-lactate
M-LDL-PL%,1.15 [1.10-1.20],1.484e-04,***,Phospholipids to Total-Lipids in Medium LDL percentage
S-HDL-PL%,1.14 [1.09-1.20],0.002,**,Phospholipids to Total-Lipids in Small HDL percentage
Ala,1.12 [1.07-1.17],0.044,*,Alanine
S-VLDL-TG,1.12 [1.07-1.17],0.021,*,Triglycerides in Small VLDL
Gly,0.89 [0.86-0.93],0.021,*,Glycine
M-HDL-P,0.88 [0.84-0.93],0.040,*,Concentration of Medium HDL Particles
S-HDL-CE%,0.88 [0.85-0.92],0.001,**,Cholesteryl Esters to Total-Lipids in Small HDL percentage
XL-HDL-TG,0.88 [0.84-0.92],0.008,**,Triglycerides in Very Large HDL
M-HDL-C,0.88 [0.84-0.92],0.010,*,Cholesterol in Medium HDL
Acetate,0.87 [0.83-0.91],6.073e-04,***,Acetate
3-Hydroxybutyrate,0.87 [0.83-0.91],4.696e-04,***,3-Hydroxybutyrate
L-VLDL-C,0.86 [0.83-0.90],1.681e-05,***,Cholesterol in Large VLDL
S-VLDL-P,0.86 [0.82-0.90],5.397e-06,***,Concentration of Small VLDL Particles
M-HDL-CE%,0.86 [0.82-0.90],1.559e-06,***,Cholesteryl Esters to Total-Lipids in Medium HDL percentage
VLDL-L,0.85 [0.81-0.89],8.152e-08,***,Total-Lipids in VLDL
XL-VLDL-C,0.85 [0.81-0.89],7.704e-08,***,Cholesterol in Very Large VLDL
L-VLDL-FC%,0.84 [0.81-0.88],6.920e-12,***,Free Cholesterol to Total-Lipids in Large VLDL percentage
XXL-VLDL-C%,0.84 [0.80-0.88],1.784e-08,***,Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
M-HDL-FC,0.83 [0.79-0.87],8.671e-10,***,Free Cholesterol in Medium HDL
XL-HDL-CE%,0.83 [0.79-0.86],8.126e-12,***,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
HDL-PL,0.82 [0.79-0.87],1.239e-09,***,Phospholipids in HDL
SFA,0.82 [0.78-0.86],2.835e-11,***,Saturated Fatty Acids
M-LDL-CE%,0.82 [0.79-0.86],4.360e-14,***,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
S-VLDL-L,0.82 [0.78-0.86],9.853e-14,***,Total-Lipids in Small VLDL
HDL-P,0.82 [0.78-0.86],4.094e-12,***,Concentration of HDL Particles
L-LDL-PL%,0.82 [0.79-0.85],7.179e-17,***,Phospholipids to Total-Lipids in Large LDL percentage
ApoA1,0.82 [0.78-0.86],1.243e-11,***,Apolipoprotein A1
LDL-size,0.81 [0.78-0.85],2.899e-16,***,Average Diameter for LDL Particles
Total-FA,0.80 [0.76-0.84],2.030e-16,***,Total-Fatty Acids
S-LDL-CE%,0.80 [0.76-0.83],2.163e-20,***,Cholesteryl Esters to Total-Lipids in Small LDL percentage
M-HDL-C%,0.79 [0.76-0.83],1.117e-20,***,Cholesterol to Total-Lipids in Medium HDL percentage
XL-HDL-PL%,0.79 [0.76-0.83],1.161e-20,***,Phospholipids to Total-Lipids in Very Large HDL percentage
S-HDL-C%,0.79 [0.76-0.83],3.304e-22,***,Cholesterol to Total-Lipids in Small HDL percentage
XXL-VLDL-CE%,0.79 [0.76-0.83],5.627e-21,***,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
VLDL-PL,0.79 [0.75-0.82],1.266e-20,***,Phospholipids in VLDL
L-VLDL-CE,0.79 [0.75-0.82],5.662e-21,***,Cholesteryl Esters in Large VLDL
PUFA%,0.78 [0.75-0.82],1.936e-21,***,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
XL-VLDL-CE,0.78 [0.74-0.81],1.299e-22,***,Cholesteryl Esters in Very Large VLDL
HDL-L,0.77 [0.74-0.81],1.477e-19,***,Total-Lipids in HDL
Omega-6/Omega-3,0.77 [0.73-0.81],1.393e-22,***,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
S-LDL-FC%,0.75 [0.72-0.78],1.445e-46,***,Free Cholesterol to Total-Lipids in Small LDL percentage
Total-P,0.75 [0.71-0.78],4.320e-29,***,Total-Concentration of Lipoprotein Particles
VLDL-P,0.74 [0.71-0.77],1.722e-33,***,Concentration of VLDL Particles
M-VLDL-L,0.73 [0.70-0.77],6.401e-37,***,Total-Lipids in Medium VLDL
HDL-CE,0.73 [0.70-0.77],3.226e-31,***,Cholesteryl Esters in HDL
Omega-6%,0.73 [0.70-0.76],1.202e-40,***,Omega-6 Fatty Acids to Total-Fatty Acids percentage
PUFA/MUFA,0.73 [0.69-0.76],2.741e-34,***,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
VLDL-FC,0.73 [0.70-0.76],1.840e-38,***,Free Cholesterol in VLDL
L-HDL-PL,0.73 [0.69-0.76],1.353e-29,***,Phospholipids in Large HDL
XL-VLDL-PL%,0.72 [0.70-0.74],7.694e-78,***,Phospholipids to Total-Lipids in Very Large VLDL percentage
HDL-C,0.71 [0.68-0.75],1.217e-35,***,HDL Cholesterol
Phosphoglyc,0.70 [0.67-0.73],1.349e-46,***,Phosphoglycerides
S-VLDL-PL,0.70 [0.67-0.73],3.324e-50,***,Phospholipids in Small VLDL
HDL-size,0.69 [0.66-0.73],8.982e-37,***,Average Diameter for HDL Particles
S-VLDL-CE,0.69 [0.66-0.72],4.037e-53,***,Cholesteryl Esters in Small VLDL
M-LDL-FC%,0.69 [0.66-0.72],6.580e-65,***,Free Cholesterol to Total-Lipids in Medium LDL percentage
L-HDL-CE%,0.68 [0.66-0.71],1.289e-73,***,Cholesteryl Esters to Total-Lipids in Large HDL percentage
PC,0.68 [0.65-0.71],2.295e-54,***,Phosphatidylcholines
HDL-FC,0.68 [0.64-0.71],6.081e-46,***,Free Cholesterol in HDL
PUFA,0.68 [0.65-0.71],2.188e-59,***,Polyunsaturated Fatty Acids
L-HDL-L,0.67 [0.64-0.71],2.923e-44,***,Total-Lipids in Large HDL
M-VLDL-P,0.67 [0.64-0.71],1.998e-57,***,Concentration of Medium VLDL Particles
XS-VLDL-PL,0.66 [0.63-0.69],9.413e-64,***,Phospholipids in Very Small VLDL
S-VLDL-C,0.66 [0.63-0.69],2.809e-66,***,Cholesterol in Small VLDL
ApoB/ApoA1,0.66 [0.63-0.69],7.537e-63,***,Apolipoprotein B to Apolipoprotein A1 ratio
M-VLDL-PL,0.65 [0.62-0.68],3.071e-69,***,Phospholipids in Medium VLDL
IDL-FC%,0.65 [0.63-0.68],3.563e-87,***,Free Cholesterol to Total-Lipids in IDL percentage
Cholines,0.65 [0.62-0.68],2.227e-71,***,Total-Cholines
VLDL-C,0.65 [0.62-0.68],1.477e-78,***,VLDL Cholesterol
S-HDL-FC%,0.65 [0.62-0.68],9.200e-69,***,Free Cholesterol to Total-Lipids in Small HDL percentage
L-VLDL-C%,0.65 [0.62-0.67],7.693e-86,***,Cholesterol to Total-Lipids in Large VLDL percentage
M-LDL-PL,0.65 [0.62-0.67],6.848e-77,***,Phospholipids in Medium LDL
L-HDL-P,0.64 [0.61-0.68],7.763e-51,***,Concentration of Large HDL Particles
M-LDL-CE,0.64 [0.62-0.67],1.303e-77,***,Cholesteryl Esters in Medium LDL
L-HDL-CE,0.64 [0.61-0.68],9.226e-55,***,Cholesteryl Esters in Large HDL
M-LDL-L,0.64 [0.61-0.67],1.943e-83,***,Total-Lipids in Medium LDL
L-HDL-C%,0.64 [0.61-0.66],9.306e-104,***,Cholesterol to Total-Lipids in Large HDL percentage
L-HDL-C,0.64 [0.60-0.67],3.194e-57,***,Cholesterol in Large HDL
Omega-6,0.63 [0.60-0.66],1.150e-84,***,Omega-6 Fatty Acids
L-HDL-FC,0.63 [0.59-0.66],8.842e-59,***,Free Cholesterol in Large HDL
M-LDL-C,0.62 [0.60-0.65],2.501e-92,***,Cholesterol in Medium LDL
XS-VLDL-L,0.62 [0.60-0.65],1.321e-86,***,Total-Lipids in Very Small VLDL
S-VLDL-FC,0.62 [0.59-0.65],2.015e-85,***,Free Cholesterol in Small VLDL
Total-L,0.62 [0.59-0.65],1.311e-96,***,Total-Lipids in Lipoprotein Particles
S-LDL-PL,0.62 [0.59-0.65],6.037e-93,***,Phospholipids in Small LDL
S-LDL-C%,0.62 [0.59-0.64],1.268e-133,***,Cholesterol to Total-Lipids in Small LDL percentage
S-LDL-L,0.62 [0.59-0.64],3.044e-94,***,Total-Lipids in Small LDL
S-LDL-CE,0.62 [0.59-0.64],7.702e-90,***,Cholesteryl Esters in Small LDL
XS-VLDL-P,0.62 [0.59-0.64],3.005e-88,***,Concentration of Very Small VLDL Particles
Total-PL,0.61 [0.59-0.64],6.514e-95,***,Total-Phospholipids in Lipoprotein Particles
S-VLDL-CE%,0.61 [0.59-0.63],2.563e-140,***,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
M-VLDL-FC,0.61 [0.58-0.64],7.329e-92,***,Free Cholesterol in Medium VLDL
S-LDL-P,0.61 [0.58-0.64],7.159e-94,***,Concentration of Small LDL Particles
XL-VLDL-CE%,0.61 [0.58-0.63],1.199e-96,***,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
IDL-CE%,0.61 [0.58-0.63],7.358e-137,***,Cholesteryl Esters to Total-Lipids in IDL percentage
M-LDL-P,0.61 [0.58-0.63],1.117e-92,***,Concentration of Medium LDL Particles
M-LDL-C%,0.61 [0.58-0.63],3.041e-167,***,Cholesterol to Total-Lipids in Medium LDL percentage
L-VLDL-CE%,0.61 [0.58-0.63],5.725e-110,***,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
M-HDL-FC%,0.60 [0.58-0.63],1.507e-90,***,Free Cholesterol to Total-Lipids in Medium HDL percentage
VLDL-CE,0.60 [0.58-0.63],5.866e-105,***,Cholesteryl Esters in VLDL
S-LDL-C,0.60 [0.57-0.63],4.954e-104,***,Cholesterol in Small LDL
XS-VLDL-FC%,0.60 [0.58-0.62],2.608e-148,***,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
LDL-CE,0.60 [0.57-0.62],7.793e-115,***,Cholesteryl Esters in LDL
XL-HDL-PL,0.59 [0.56-0.63],5.377e-73,***,Phospholipids in Very Large HDL
LDL-L,0.59 [0.57-0.62],1.560e-123,***,Total-Lipids in LDL
XS-VLDL-FC,0.59 [0.56-0.62],5.157e-103,***,Free Cholesterol in Very Small VLDL
L-LDL-C%,0.59 [0.57-0.62],1.378e-136,***,Cholesterol to Total-Lipids in Large LDL percentage
L-HDL-FC%,0.59 [0.57-0.61],1.638e-153,***,Free Cholesterol to Total-Lipids in Large HDL percentage
LA,0.59 [0.56-0.61],1.713e-119,***,Linoleic Acid
M-VLDL-CE%,0.59 [0.57-0.61],1.100e-188,***,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
S-LDL-FC,0.59 [0.56-0.61],1.652e-120,***,Free Cholesterol in Small LDL
XL-VLDL-C%,0.58 [0.56-0.61],9.387e-104,***,Cholesterol to Total-Lipids in Very Large VLDL percentage
M-LDL-FC,0.58 [0.56-0.61],4.627e-117,***,Free Cholesterol in Medium LDL
LDL-C,0.58 [0.56-0.61],1.609e-131,***,LDL Cholesterol
LDL-P,0.58 [0.55-0.61],1.415e-109,***,Concentration of LDL Particles
LDL-PL,0.58 [0.56-0.61],2.559e-125,***,Phospholipids in LDL
L-LDL-CE,0.58 [0.56-0.61],1.072e-123,***,Cholesteryl Esters in Large LDL
IDL-C%,0.58 [0.56-0.60],2.445e-175,***,Cholesterol to Total-Lipids in IDL percentage
L-LDL-FC%,0.58 [0.56-0.60],1.741e-172,***,Free Cholesterol to Total-Lipids in Large LDL percentage
L-LDL-P,0.58 [0.55-0.60],1.159e-111,***,Concentration of Large LDL Particles
XL-VLDL-FC%,0.57 [0.55-0.60],1.525e-112,***,Free Cholesterol to Total-Lipids in Very Large VLDL percentage
ApoB,0.57 [0.55-0.60],2.514e-129,***,Apolipoprotein B
L-LDL-L,0.57 [0.55-0.60],3.011e-137,***,Total-Lipids in Large LDL
SM,0.56 [0.54-0.59],3.146e-126,***,Sphingomyelins
L-LDL-C,0.56 [0.54-0.59],1.394e-141,***,Cholesterol in Large LDL
LA%,0.56 [0.54-0.59],5.450e-152,***,Linoleic Acid to Total-Fatty Acids percentage
XL-HDL-L,0.56 [0.53-0.59],1.236e-91,***,Total-Lipids in Very Large HDL
Non-HDL-C,0.56 [0.54-0.58],8.755e-156,***,Total-Cholesterol Minus HDL-C
S-VLDL-C%,0.56 [0.54-0.58],5.474e-185,***,Cholesterol to Total-Lipids in Small VLDL percentage
M-VLDL-C%,0.56 [0.54-0.58],9.034e-204,***,Cholesterol to Total-Lipids in Medium VLDL percentage
Clinical LDL-C,0.55 [0.53-0.58],1.865e-167,***,Clinical LDL Cholesterol
L-LDL-PL,0.55 [0.52-0.57],8.266e-148,***,Phospholipids in Large LDL
Remnant-C,0.54 [0.52-0.57],1.212e-163,***,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
M-VLDL-PL%,0.54 [0.52-0.56],1.531e-218,***,Phospholipids to Total-Lipids in Medium VLDL percentage
LDL-FC,0.54 [0.52-0.56],4.517e-157,***,Free Cholesterol in LDL
XL-HDL-FC,0.54 [0.51-0.57],1.496e-123,***,Free Cholesterol in Very Large HDL
M-VLDL-C,0.54 [0.51-0.56],6.150e-148,***,Cholesterol in Medium VLDL
Total-CE,0.54 [0.51-0.56],9.038e-171,***,Total-Esterified Cholesterol
Total-C,0.54 [0.51-0.56],2.180e-173,***,Total-Cholesterol
M-VLDL-FC%,0.54 [0.52-0.56],1.571e-212,***,Free Cholesterol to Total-Lipids in Medium VLDL percentage
XL-HDL-CE,0.54 [0.51-0.57],9.882e-101,***,Cholesteryl Esters in Very Large HDL
Total-FC,0.53 [0.51-0.56],4.568e-165,***,Total-Free Cholesterol
XL-HDL-P,0.53 [0.50-0.56],1.015e-101,***,Concentration of Very Large HDL Particles
XL-HDL-C,0.53 [0.50-0.56],3.278e-109,***,Cholesterol in Very Large HDL
S-VLDL-FC%,0.52 [0.50-0.54],4.516e-212,***,Free Cholesterol to Total-Lipids in Small VLDL percentage
XS-VLDL-C,0.52 [0.50-0.55],2.119e-162,***,Cholesterol in Very Small VLDL
