Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
XS-VLDL-TG%,2.18 [2.09-2.28],2.610e-265,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
M-VLDL-TG%,2.01 [1.93-2.10],2.128e-206,***,Triglycerides to Total-Lipids in Medium VLDL percentage
S-VLDL-TG%,2.00 [1.91-2.09],2.773e-188,***,Triglycerides to Total-Lipids in Small VLDL percentage
IDL-TG%,1.98 [1.90-2.06],7.501e-233,***,Triglycerides to Total-Lipids in IDL percentage
L-LDL-TG%,1.89 [1.81-1.96],1.484e-201,***,Triglycerides to Total-Lipids in Large LDL percentage
XL-VLDL-TG%,1.88 [1.78-1.99],3.255e-109,***,Triglycerides to Total-Lipids in Very Large VLDL percentage
L-HDL-PL%,1.81 [1.74-1.89],1.515e-173,***,Phospholipids to Total-Lipids in Large HDL percentage
M-LDL-TG%,1.76 [1.69-1.82],6.195e-178,***,Triglycerides to Total-Lipids in Medium LDL percentage
S-LDL-TG%,1.62 [1.56-1.68],1.585e-120,***,Triglycerides to Total-Lipids in Small LDL percentage
XS-VLDL-PL%,1.59 [1.52-1.65],1.666e-99,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
MUFA%,1.44 [1.38-1.51],2.294e-50,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
XL-HDL-TG%,1.41 [1.35-1.47],5.124e-53,***,Triglycerides to Total-Lipids in Very Large HDL percentage
XXL-VLDL-PL%,1.40 [1.34-1.47],6.503e-46,***,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
M-HDL-PL%,1.39 [1.34-1.46],2.710e-47,***,Phospholipids to Total-Lipids in Medium HDL percentage
L-VLDL-TG%,1.36 [1.31-1.42],1.655e-43,***,Triglycerides to Total-Lipids in Large VLDL percentage
XL-HDL-FC%,1.33 [1.27-1.40],1.851e-27,***,Free Cholesterol to Total-Lipids in Very Large HDL percentage
L-HDL-TG%,1.31 [1.25-1.37],1.935e-27,***,Triglycerides to Total-Lipids in Large HDL percentage
IDL-PL%,1.31 [1.26-1.36],4.535e-33,***,Phospholipids to Total-Lipids in IDL percentage
S-HDL-TG%,1.28 [1.23-1.34],7.956e-25,***,Triglycerides to Total-Lipids in Small HDL percentage
TG/PG,1.28 [1.23-1.34],3.705e-23,***,Triglycerides to Phosphoglycerides ratio
S-HDL-TG,1.22 [1.17-1.26],3.131e-17,***,Triglycerides in Small HDL
VLDL-size,1.21 [1.16-1.26],1.285e-11,***,Average Diameter for VLDL Particles
M-HDL-TG%,1.19 [1.14-1.24],3.740e-10,***,Triglycerides to Total-Lipids in Medium HDL percentage
Omega-3%,1.19 [1.14-1.24],8.460e-10,***,Omega-3 Fatty Acids to Total-Fatty Acids percentage
Creatinine,1.16 [1.11-1.22],1.398e-04,***,Creatinine
Sc-ala,1.16 [1.11-1.21],2.231e-07,***,Spectrometer-corrected alanine
GlycA,1.16 [1.11-1.21],1.306e-05,***,Glycoprotein Acetyls
S-LDL-PL%,1.15 [1.10-1.20],5.550e-06,***,Phospholipids to Total-Lipids in Small LDL percentage
M-LDL-PL%,1.15 [1.10-1.19],2.151e-05,***,Phospholipids to Total-Lipids in Medium LDL percentage
S-HDL-PL%,1.14 [1.10-1.20],2.250e-04,***,Phospholipids to Total-Lipids in Small HDL percentage
Glu-lactate,1.14 [1.10-1.19],2.342e-05,***,Glucose-lactate
Ala,1.12 [1.08-1.17],0.012,*,Alanine
Glu,1.12 [1.07-1.17],0.038,*,Glucose
XL-VLDL-TG,1.12 [1.07-1.16],0.023,*,Triglycerides in Very Large VLDL
S-VLDL-TG,1.12 [1.07-1.16],0.015,*,Triglycerides in Small VLDL
S-HDL-FC,0.89 [0.85-0.93],0.008,**,Free Cholesterol in Small HDL
Gly,0.89 [0.85-0.92],7.398e-04,***,Glycine
3-Hydroxybutyrate,0.88 [0.85-0.92],0.002,**,3-Hydroxybutyrate
M-HDL-P,0.88 [0.84-0.92],0.006,**,Concentration of Medium HDL Particles
S-HDL-CE%,0.88 [0.85-0.92],2.076e-04,***,Cholesteryl Esters to Total-Lipids in Small HDL percentage
XL-HDL-TG,0.88 [0.84-0.92],0.001,**,Triglycerides in Very Large HDL
M-HDL-C,0.88 [0.84-0.92],0.001,**,Cholesterol in Medium HDL
Acetate,0.87 [0.83-0.91],2.820e-05,***,Acetate
M-HDL-CE%,0.86 [0.83-0.90],1.529e-07,***,Cholesteryl Esters to Total-Lipids in Medium HDL percentage
L-VLDL-C,0.86 [0.82-0.90],4.192e-07,***,Cholesterol in Large VLDL
S-VLDL-P,0.86 [0.82-0.89],9.415e-08,***,Concentration of Small VLDL Particles
L-VLDL-FC%,0.85 [0.82-0.88],3.988e-12,***,Free Cholesterol to Total-Lipids in Large VLDL percentage
VLDL-L,0.85 [0.81-0.88],1.231e-09,***,Total-Lipids in VLDL
XL-VLDL-C,0.84 [0.81-0.88],2.144e-09,***,Cholesterol in Very Large VLDL
XXL-VLDL-C%,0.84 [0.80-0.88],2.588e-09,***,Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
M-HDL-FC,0.82 [0.79-0.86],1.285e-11,***,Free Cholesterol in Medium HDL
L-LDL-PL%,0.82 [0.79-0.86],2.906e-17,***,Phospholipids to Total-Lipids in Large LDL percentage
HDL-PL,0.82 [0.79-0.86],2.340e-11,***,Phospholipids in HDL
XL-HDL-CE%,0.82 [0.79-0.86],3.803e-14,***,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
SFA,0.82 [0.78-0.86],4.330e-13,***,Saturated Fatty Acids
M-LDL-CE%,0.82 [0.79-0.85],2.455e-16,***,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
