Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
XS-VLDL-TG%,1.37 [1.27-1.48],2.436e-10,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
IDL-TG%,1.37 [1.27-1.47],1.278e-11,***,Triglycerides to Total-Lipids in IDL percentage
L-LDL-TG%,1.35 [1.25-1.45],5.830e-10,***,Triglycerides to Total-Lipids in Large LDL percentage
M-VLDL-TG%,1.33 [1.23-1.44],7.744e-08,***,Triglycerides to Total-Lipids in Medium VLDL percentage
XS-VLDL-PL%,1.33 [1.23-1.43],8.853e-08,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
S-VLDL-TG%,1.29 [1.19-1.40],3.546e-05,***,Triglycerides to Total-Lipids in Small VLDL percentage
M-LDL-TG%,1.28 [1.20-1.38],1.344e-06,***,Triglycerides to Total-Lipids in Medium LDL percentage
L-HDL-PL%,1.25 [1.15-1.35],0.004,**,Phospholipids to Total-Lipids in Large HDL percentage
S-LDL-TG%,1.21 [1.13-1.31],0.043,*,Triglycerides to Total-Lipids in Small LDL percentage
L-VLDL-CE%,0.82 [0.76-0.88],0.042,*,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
VLDL-C,0.81 [0.75-0.88],0.014,*,VLDL Cholesterol
Albumin,0.81 [0.75-0.87],0.003,**,Albumin
M-VLDL-PL,0.81 [0.75-0.87],0.011,*,Phospholipids in Medium VLDL
XS-VLDL-P,0.80 [0.74-0.87],0.003,**,Concentration of Very Small VLDL Particles
XL-VLDL-FC%,0.80 [0.74-0.87],0.027,*,Free Cholesterol to Total-Lipids in Very Large VLDL percentage
S-LDL-P,0.80 [0.74-0.86],0.003,**,Concentration of Small LDL Particles
M-LDL-P,0.79 [0.73-0.86],0.002,**,Concentration of Medium LDL Particles
XS-VLDL-L,0.79 [0.74-0.86],7.239e-04,***,Total-Lipids in Very Small VLDL
S-VLDL-FC,0.79 [0.73-0.86],9.760e-04,***,Free Cholesterol in Small VLDL
S-LDL-C%,0.79 [0.74-0.85],1.235e-05,***,Cholesterol to Total-Lipids in Small LDL percentage
S-VLDL-C%,0.79 [0.74-0.85],4.276e-05,***,Cholesterol to Total-Lipids in Small VLDL percentage
S-HDL-FC%,0.79 [0.73-0.86],0.005,**,Free Cholesterol to Total-Lipids in Small HDL percentage
HDL-P,0.79 [0.73-0.86],0.007,**,Concentration of HDL Particles
L-LDL-FC%,0.79 [0.74-0.85],2.034e-06,***,Free Cholesterol to Total-Lipids in Large LDL percentage
VLDL-CE,0.79 [0.73-0.85],2.121e-04,***,Cholesteryl Esters in VLDL
M-LDL-CE,0.79 [0.73-0.85],4.105e-04,***,Cholesteryl Esters in Medium LDL
M-VLDL-FC,0.79 [0.73-0.85],5.064e-04,***,Free Cholesterol in Medium VLDL
