Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
L-LDL-TG%,1.31 [1.13-1.51],1.000,,Triglycerides to Total-Lipids in Large LDL percentage
M-LDL-TG%,1.28 [1.12-1.47],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
M-HDL-PL%,1.22 [1.05-1.41],1.000,,Phospholipids to Total-Lipids in Medium HDL percentage
M-HDL-TG%,1.19 [1.02-1.37],1.000,,Triglycerides to Total-Lipids in Medium HDL percentage
L-VLDL-PL%,1.12 [0.97-1.30],1.000,,Phospholipids to Total-Lipids in Large VLDL percentage
VLDL-C,0.94 [0.82-1.08],1.000,,VLDL Cholesterol
HDL-CE,0.90 [0.77-1.05],1.000,,Cholesteryl Esters in HDL
M-LDL-FC%,0.85 [0.73-0.98],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
LDL-CE,0.84 [0.73-0.96],1.000,,Cholesteryl Esters in LDL
Total-CE,0.83 [0.72-0.96],1.000,,Total-Esterified Cholesterol
