Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
IDL-TG%,1.45 [1.34-1.57],6.276e-15,***,Triglycerides to Total-Lipids in IDL percentage
L-LDL-TG%,1.44 [1.33-1.55],3.049e-14,***,Triglycerides to Total-Lipids in Large LDL percentage
XS-VLDL-TG%,1.40 [1.29-1.52],4.602e-10,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
M-LDL-TG%,1.39 [1.29-1.50],1.095e-12,***,Triglycerides to Total-Lipids in Medium LDL percentage
XS-VLDL-PL%,1.38 [1.27-1.49],7.628e-10,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
S-LDL-TG%,1.31 [1.21-1.42],1.331e-06,***,Triglycerides to Total-Lipids in Small LDL percentage
S-VLDL-TG%,1.31 [1.20-1.42],2.972e-05,***,Triglycerides to Total-Lipids in Small VLDL percentage
M-VLDL-TG%,1.29 [1.19-1.40],1.119e-04,***,Triglycerides to Total-Lipids in Medium VLDL percentage
IDL-PL%,1.26 [1.16-1.36],0.001,**,Phospholipids to Total-Lipids in IDL percentage
L-HDL-PL%,1.26 [1.15-1.37],0.041,*,Phospholipids to Total-Lipids in Large HDL percentage
M-HDL-PL%,1.25 [1.15-1.36],0.023,*,Phospholipids to Total-Lipids in Medium HDL percentage
S-LDL-FC%,0.81 [0.75-0.86],4.426e-04,***,Free Cholesterol to Total-Lipids in Small LDL percentage
M-LDL-FC%,0.81 [0.74-0.87],0.018,*,Free Cholesterol to Total-Lipids in Medium LDL percentage
S-VLDL-FC,0.80 [0.74-0.87],0.018,*,Free Cholesterol in Small VLDL
XS-VLDL-FC%,0.80 [0.74-0.87],0.005,**,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
M-VLDL-FC,0.80 [0.74-0.87],0.011,*,Free Cholesterol in Medium VLDL
Total-P,0.79 [0.73-0.86],0.010,*,Total-Concentration of Lipoprotein Particles
PC,0.79 [0.73-0.86],0.008,**,Phosphatidylcholines
PUFA,0.79 [0.73-0.86],0.003,**,Polyunsaturated Fatty Acids
L-HDL-FC%,0.79 [0.72-0.86],0.005,**,Free Cholesterol to Total-Lipids in Large HDL percentage
S-LDL-P,0.78 [0.72-0.85],9.948e-04,***,Concentration of Small LDL Particles
L-LDL-P,0.78 [0.72-0.85],5.274e-04,***,Concentration of Large LDL Particles
XS-VLDL-C,0.78 [0.72-0.84],1.625e-04,***,Cholesterol in Very Small VLDL
Cholines,0.78 [0.71-0.84],5.490e-04,***,Total-Cholines
S-LDL-PL,0.78 [0.72-0.84],9.565e-05,***,Phospholipids in Small LDL
S-VLDL-C%,0.77 [0.72-0.83],5.096e-06,***,Cholesterol to Total-Lipids in Small VLDL percentage
Omega-6,0.77 [0.71-0.84],1.121e-04,***,Omega-6 Fatty Acids
LDL-P,0.77 [0.71-0.84],9.938e-05,***,Concentration of LDL Particles
