Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
S-HDL-TG%,1.09 [1.03-1.15],1.000,,Triglycerides to Total-Lipids in Small HDL percentage
M-VLDL-TG%,1.08 [1.02-1.14],1.000,,Triglycerides to Total-Lipids in Medium VLDL percentage
M-LDL-TG%,1.07 [1.01-1.14],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
M-LDL-PL%,1.03 [0.97-1.09],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
S-HDL-PL%,1.02 [0.96-1.08],1.000,,Phospholipids to Total-Lipids in Small HDL percentage
M-VLDL-PL%,0.93 [0.88-0.98],1.000,,Phospholipids to Total-Lipids in Medium VLDL percentage
M-LDL-FC%,0.93 [0.87-0.99],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
M-VLDL-C%,0.92 [0.87-0.98],1.000,,Cholesterol to Total-Lipids in Medium VLDL percentage
DHA,0.86 [0.81-0.92],0.590,,Docosahexaenoic Acid
M-HDL-FC%,0.84 [0.79-0.89],0.019,*,Free Cholesterol to Total-Lipids in Medium HDL percentage
