Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
IDL-TG%,1.35 [1.32-1.37],1.064e-220,***,Triglycerides to Total-Lipids in IDL percentage
XS-VLDL-TG%,1.35 [1.32-1.37],1.119e-209,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
L-LDL-TG%,1.34 [1.31-1.36],6.172e-209,***,Triglycerides to Total-Lipids in Large LDL percentage
M-LDL-TG%,1.30 [1.28-1.32],5.272e-185,***,Triglycerides to Total-Lipids in Medium LDL percentage
M-VLDL-TG%,1.30 [1.27-1.32],2.012e-167,***,Triglycerides to Total-Lipids in Medium VLDL percentage
L-HDL-PL%,1.29 [1.27-1.32],8.146e-139,***,Phospholipids to Total-Lipids in Large HDL percentage
S-VLDL-TG%,1.29 [1.27-1.31],7.768e-161,***,Triglycerides to Total-Lipids in Small VLDL percentage
S-LDL-TG%,1.24 [1.22-1.26],9.902e-119,***,Triglycerides to Total-Lipids in Small LDL percentage
XS-VLDL-PL%,1.22 [1.19-1.24],3.315e-93,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
XL-VLDL-TG%,1.20 [1.18-1.23],2.396e-80,***,Triglycerides to Total-Lipids in Very Large VLDL percentage
M-HDL-PL%,1.19 [1.16-1.21],1.733e-62,***,Phospholipids to Total-Lipids in Medium HDL percentage
MUFA%,1.16 [1.14-1.18],4.596e-44,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
IDL-PL%,1.14 [1.12-1.16],2.518e-48,***,Phospholipids to Total-Lipids in IDL percentage
XL-HDL-FC%,1.13 [1.11-1.15],1.080e-24,***,Free Cholesterol to Total-Lipids in Very Large HDL percentage
Creatinine,1.12 [1.10-1.14],3.195e-20,***,Creatinine
XXL-VLDL-PL%,1.12 [1.10-1.14],6.630e-31,***,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
XL-HDL-TG%,1.12 [1.10-1.14],5.531e-25,***,Triglycerides to Total-Lipids in Very Large HDL percentage
L-HDL-TG%,1.11 [1.09-1.13],3.169e-21,***,Triglycerides to Total-Lipids in Large HDL percentage
S-HDL-TG%,1.10 [1.08-1.12],5.092e-22,***,Triglycerides to Total-Lipids in Small HDL percentage
L-VLDL-TG%,1.10 [1.09-1.12],4.000e-26,***,Triglycerides to Total-Lipids in Large VLDL percentage
S-HDL-PL%,1.09 [1.07-1.11],6.073e-17,***,Phospholipids to Total-Lipids in Small HDL percentage
TG/PG,1.09 [1.07-1.11],7.343e-12,***,Triglycerides to Phosphoglycerides ratio
GlycA,1.08 [1.06-1.10],5.917e-10,***,Glycoprotein Acetyls
M-HDL-TG%,1.08 [1.06-1.10],1.589e-10,***,Triglycerides to Total-Lipids in Medium HDL percentage
S-LDL-PL%,1.06 [1.04-1.08],9.537e-06,***,Phospholipids to Total-Lipids in Small LDL percentage
S-HDL-TG,1.05 [1.04-1.07],5.708e-04,***,Triglycerides in Small HDL
Gly,0.95 [0.94-0.97],6.415e-04,***,Glycine
L-LDL-TG,0.95 [0.93-0.97],0.014,*,Triglycerides in Large LDL
L-VLDL-FC%,0.95 [0.93-0.97],1.208e-04,***,Free Cholesterol to Total-Lipids in Large VLDL percentage
His,0.95 [0.93-0.97],0.001,**,Histidine
Albumin,0.95 [0.93-0.97],0.001,**,Albumin
L-VLDL-L,0.95 [0.93-0.96],4.065e-04,***,Total-Lipids in Large VLDL
S-HDL-L,0.95 [0.93-0.96],5.333e-05,***,Total-Lipids in Small HDL
XL-VLDL-FC,0.94 [0.93-0.96],1.956e-04,***,Free Cholesterol in Very Large VLDL
MUFA,0.94 [0.92-0.96],8.629e-05,***,Monounsaturated Fatty Acids
M-VLDL-TG,0.94 [0.92-0.96],3.746e-06,***,Triglycerides in Medium VLDL
L-VLDL-FC,0.94 [0.92-0.96],1.434e-06,***,Free Cholesterol in Large VLDL
S-HDL-CE%,0.94 [0.92-0.95],1.541e-08,***,Cholesteryl Esters to Total-Lipids in Small HDL percentage
M-HDL-L,0.94 [0.92-0.95],4.545e-07,***,Total-Lipids in Medium HDL
XL-HDL-TG,0.93 [0.92-0.95],1.528e-09,***,Triglycerides in Very Large HDL
M-HDL-CE%,0.93 [0.91-0.95],1.046e-08,***,Cholesteryl Esters to Total-Lipids in Medium HDL percentage
XXL-VLDL-C%,0.93 [0.91-0.95],2.218e-10,***,Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
M-HDL-CE,0.92 [0.91-0.94],1.455e-11,***,Cholesteryl Esters in Medium HDL
S-HDL-CE,0.92 [0.91-0.94],3.347e-14,***,Cholesteryl Esters in Small HDL
Omega-3,0.92 [0.91-0.94],7.078e-13,***,Omega-3 Fatty Acids
M-HDL-P,0.92 [0.90-0.94],2.346e-13,***,Concentration of Medium HDL Particles
M-HDL-C,0.92 [0.90-0.93],1.283e-14,***,Cholesterol in Medium HDL
M-LDL-CE%,0.91 [0.90-0.93],2.634e-19,***,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
S-LDL-CE%,0.91 [0.90-0.93],2.143e-20,***,Cholesteryl Esters to Total-Lipids in Small LDL percentage
S-HDL-C,0.91 [0.90-0.93],7.105e-21,***,Cholesterol in Small HDL
S-HDL-P,0.91 [0.89-0.93],8.175e-22,***,Concentration of Small HDL Particles
L-LDL-CE%,0.91 [0.89-0.92],2.377e-24,***,Cholesteryl Esters to Total-Lipids in Large LDL percentage
XXL-VLDL-CE%,0.91 [0.89-0.92],3.210e-23,***,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
XL-VLDL-C,0.90 [0.89-0.92],1.617e-22,***,Cholesterol in Very Large VLDL
L-VLDL-C,0.90 [0.89-0.92],1.241e-23,***,Cholesterol in Large VLDL
Unsaturation,0.90 [0.88-0.92],2.513e-22,***,Degree of Unsaturation
HDL-size,0.90 [0.88-0.92],7.986e-21,***,Average Diameter for HDL Particles
HDL-PL,0.90 [0.88-0.92],6.692e-22,***,Phospholipids in HDL
VLDL-L,0.90 [0.88-0.91],5.570e-27,***,Total-Lipids in VLDL
S-VLDL-P,0.89 [0.88-0.91],7.628e-30,***,Concentration of Small VLDL Particles
