Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
XS-VLDL-TG%,1.61 [1.57-1.65],3.999e-277,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
IDL-TG%,1.56 [1.52-1.60],1.523e-265,***,Triglycerides to Total-Lipids in IDL percentage
L-LDL-TG%,1.54 [1.51-1.58],9.929e-249,***,Triglycerides to Total-Lipids in Large LDL percentage
M-VLDL-TG%,1.53 [1.50-1.57],3.157e-229,***,Triglycerides to Total-Lipids in Medium VLDL percentage
S-VLDL-TG%,1.53 [1.49-1.57],1.807e-216,***,Triglycerides to Total-Lipids in Small VLDL percentage
L-HDL-PL%,1.49 [1.46-1.53],1.587e-196,***,Phospholipids to Total-Lipids in Large HDL percentage
M-LDL-TG%,1.47 [1.44-1.51],2.986e-219,***,Triglycerides to Total-Lipids in Medium LDL percentage
XL-VLDL-TG%,1.43 [1.39-1.48],7.189e-125,***,Triglycerides to Total-Lipids in Very Large VLDL percentage
S-LDL-TG%,1.41 [1.38-1.44],4.571e-164,***,Triglycerides to Total-Lipids in Small LDL percentage
XS-VLDL-PL%,1.32 [1.29-1.35],3.047e-98,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
M-HDL-PL%,1.29 [1.25-1.32],4.293e-74,***,Phospholipids to Total-Lipids in Medium HDL percentage
MUFA%,1.27 [1.24-1.31],7.246e-61,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
XL-HDL-TG%,1.25 [1.21-1.28],7.647e-58,***,Triglycerides to Total-Lipids in Very Large HDL percentage
XXL-VLDL-PL%,1.23 [1.20-1.27],4.905e-51,***,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
XL-HDL-FC%,1.22 [1.18-1.25],3.232e-35,***,Free Cholesterol to Total-Lipids in Very Large HDL percentage
L-HDL-TG%,1.21 [1.18-1.25],1.015e-40,***,Triglycerides to Total-Lipids in Large HDL percentage
GlycA,1.20 [1.17-1.23],9.219e-36,***,Glycoprotein Acetyls
L-VLDL-TG%,1.19 [1.17-1.22],7.268e-43,***,Triglycerides to Total-Lipids in Large VLDL percentage
S-HDL-TG%,1.19 [1.16-1.22],1.241e-35,***,Triglycerides to Total-Lipids in Small HDL percentage
IDL-PL%,1.18 [1.16-1.21],3.483e-38,***,Phospholipids to Total-Lipids in IDL percentage
TG/PG,1.18 [1.15-1.21],2.415e-29,***,Triglycerides to Phosphoglycerides ratio
Creatinine,1.17 [1.14-1.21],1.185e-22,***,Creatinine
Glu-lactate,1.15 [1.12-1.18],1.740e-23,***,Glucose-lactate
M-HDL-TG%,1.15 [1.12-1.18],2.603e-20,***,Triglycerides to Total-Lipids in Medium HDL percentage
S-HDL-PL%,1.15 [1.12-1.18],1.363e-19,***,Phospholipids to Total-Lipids in Small HDL percentage
S-HDL-TG,1.14 [1.11-1.17],6.365e-22,***,Triglycerides in Small HDL
VLDL-size,1.13 [1.10-1.16],2.312e-15,***,Average Diameter for VLDL Particles
Glu,1.10 [1.08-1.13],2.214e-09,***,Glucose
