Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
XS-VLDL-TG%,2.10 [2.01-2.19],2.868e-242,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
S-VLDL-TG%,2.01 [1.92-2.11],8.471e-193,***,Triglycerides to Total-Lipids in Small VLDL percentage
M-VLDL-TG%,2.01 [1.92-2.10],1.107e-206,***,Triglycerides to Total-Lipids in Medium VLDL percentage
IDL-TG%,1.95 [1.87-2.03],1.271e-224,***,Triglycerides to Total-Lipids in IDL percentage
L-LDL-TG%,1.90 [1.83-1.98],7.406e-210,***,Triglycerides to Total-Lipids in Large LDL percentage
XL-VLDL-TG%,1.85 [1.76-1.96],3.433e-106,***,Triglycerides to Total-Lipids in Very Large VLDL percentage
L-HDL-PL%,1.81 [1.74-1.89],5.912e-177,***,Phospholipids to Total-Lipids in Large HDL percentage
M-LDL-TG%,1.77 [1.71-1.84],1.461e-186,***,Triglycerides to Total-Lipids in Medium LDL percentage
XS-VLDL-PL%,1.60 [1.54-1.67],3.000e-105,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
S-LDL-TG%,1.56 [1.50-1.63],2.775e-103,***,Triglycerides to Total-Lipids in Small LDL percentage
XXL-VLDL-PL%,1.44 [1.38-1.50],1.467e-53,***,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
M-HDL-PL%,1.43 [1.37-1.49],1.455e-55,***,Phospholipids to Total-Lipids in Medium HDL percentage
XL-HDL-FC%,1.41 [1.35-1.48],9.969e-43,***,Free Cholesterol to Total-Lipids in Very Large HDL percentage
L-VLDL-TG%,1.36 [1.31-1.42],3.604e-45,***,Triglycerides to Total-Lipids in Large VLDL percentage
IDL-PL%,1.36 [1.30-1.41],5.045e-44,***,Phospholipids to Total-Lipids in IDL percentage
MUFA%,1.33 [1.27-1.39],5.491e-30,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
S-LDL-PL%,1.32 [1.27-1.37],2.853e-35,***,Phospholipids to Total-Lipids in Small LDL percentage
M-LDL-PL%,1.27 [1.21-1.32],6.123e-23,***,Phospholipids to Total-Lipids in Medium LDL percentage
XL-HDL-TG%,1.24 [1.19-1.29],1.295e-17,***,Triglycerides to Total-Lipids in Very Large HDL percentage
Creatinine,1.21 [1.16-1.27],3.994e-11,***,Creatinine
S-HDL-PL%,1.21 [1.16-1.26],2.393e-12,***,Phospholipids to Total-Lipids in Small HDL percentage
L-HDL-TG%,1.20 [1.15-1.26],7.735e-11,***,Triglycerides to Total-Lipids in Large HDL percentage
S-HDL-TG%,1.18 [1.13-1.23],5.765e-09,***,Triglycerides to Total-Lipids in Small HDL percentage
TG/PG,1.15 [1.10-1.20],2.305e-04,***,Triglycerides to Phosphoglycerides ratio
Sc-ala,1.12 [1.07-1.16],0.013,*,Spectrometer-corrected alanine
S-HDL-PL,0.89 [0.85-0.93],0.006,**,Phospholipids in Small HDL
VLDL-TG,0.89 [0.85-0.92],0.009,**,Triglycerides in VLDL
Total-TG,0.88 [0.84-0.91],4.076e-04,***,Total-Triglycerides
XL-VLDL-P,0.87 [0.83-0.91],2.216e-04,***,Concentration of Very Large VLDL Particles
XXL-VLDL-C,0.87 [0.83-0.91],8.561e-05,***,Cholesterol in Chylomicrons and Extremely Large VLDL
L-VLDL-TG,0.87 [0.83-0.91],5.902e-05,***,Triglycerides in Large VLDL
M-HDL-PL,0.87 [0.83-0.91],3.423e-05,***,Phospholipids in Medium HDL
Unsaturation,0.86 [0.83-0.90],4.272e-06,***,Degree of Unsaturation
S-HDL-L,0.86 [0.83-0.90],3.394e-07,***,Total-Lipids in Small HDL
XL-VLDL-L,0.86 [0.82-0.90],5.449e-06,***,Total-Lipids in Very Large VLDL
S-LDL-TG,0.86 [0.82-0.90],3.476e-06,***,Triglycerides in Small LDL
XL-HDL-PL%,0.85 [0.82-0.89],4.181e-07,***,Phospholipids to Total-Lipids in Very Large HDL percentage
S-HDL-CE,0.85 [0.82-0.88],5.810e-10,***,Cholesteryl Esters in Small HDL
L-VLDL-FC%,0.85 [0.82-0.88],3.557e-12,***,Free Cholesterol to Total-Lipids in Large VLDL percentage
M-LDL-TG,0.84 [0.80-0.88],6.469e-09,***,Triglycerides in Medium LDL
PUFA%,0.84 [0.80-0.87],1.706e-10,***,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
M-HDL-L,0.83 [0.80-0.87],1.239e-10,***,Total-Lipids in Medium HDL
M-HDL-CE,0.83 [0.80-0.87],2.502e-11,***,Cholesteryl Esters in Medium HDL
Omega-3,0.83 [0.80-0.87],4.315e-12,***,Omega-3 Fatty Acids
L-VLDL-PL,0.83 [0.79-0.86],7.338e-12,***,Phospholipids in Large VLDL
M-HDL-C%,0.82 [0.79-0.86],1.629e-14,***,Cholesterol to Total-Lipids in Medium HDL percentage
XXL-VLDL-C%,0.82 [0.79-0.86],2.388e-12,***,Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
XXL-VLDL-CE,0.82 [0.79-0.86],1.414e-11,***,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL
L-HDL-TG,0.82 [0.78-0.86],4.753e-14,***,Triglycerides in Large HDL
XL-VLDL-PL,0.82 [0.78-0.85],3.387e-13,***,Phospholipids in Very Large VLDL
L-VLDL-P,0.82 [0.78-0.85],3.009e-13,***,Concentration of Large VLDL Particles
Omega-6%,0.82 [0.78-0.85],1.023e-15,***,Omega-6 Fatty Acids to Total-Fatty Acids percentage
M-HDL-C,0.81 [0.77-0.85],1.089e-15,***,Cholesterol in Medium HDL
LDL-TG,0.81 [0.77-0.85],8.084e-15,***,Triglycerides in LDL
S-HDL-C%,0.81 [0.78-0.84],6.580e-20,***,Cholesterol to Total-Lipids in Small HDL percentage
IDL-TG,0.81 [0.77-0.84],4.007e-16,***,Triglycerides in IDL
S-HDL-C,0.81 [0.77-0.84],2.524e-19,***,Cholesterol in Small HDL
L-VLDL-L,0.80 [0.77-0.84],6.165e-17,***,Total-Lipids in Large VLDL
M-VLDL-TG,0.80 [0.77-0.84],1.757e-17,***,Triglycerides in Medium VLDL
L-LDL-CE%,0.80 [0.77-0.83],5.936e-25,***,Cholesteryl Esters to Total-Lipids in Large LDL percentage
S-HDL-P,0.79 [0.76-0.83],1.998e-22,***,Concentration of Small HDL Particles
M-HDL-P,0.79 [0.76-0.83],9.221e-19,***,Concentration of Medium HDL Particles
L-LDL-TG,0.79 [0.76-0.83],2.105e-18,***,Triglycerides in Large LDL
LDL-size,0.79 [0.76-0.82],3.511e-25,***,Average Diameter for LDL Particles
S-LDL-FC%,0.78 [0.76-0.81],3.747e-34,***,Free Cholesterol to Total-Lipids in Small LDL percentage
PUFA/MUFA,0.78 [0.75-0.82],4.115e-21,***,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
XL-HDL-CE%,0.78 [0.75-0.81],4.976e-26,***,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
L-VLDL-FC,0.78 [0.74-0.81],2.172e-22,***,Free Cholesterol in Large VLDL
XL-VLDL-FC,0.78 [0.74-0.81],1.337e-22,***,Free Cholesterol in Very Large VLDL
MUFA,0.77 [0.73-0.80],7.548e-25,***,Monounsaturated Fatty Acids
DHA,0.76 [0.72-0.79],9.273e-29,***,Docosahexaenoic Acid
XXL-VLDL-CE%,0.76 [0.73-0.79],1.733e-35,***,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
M-LDL-FC%,0.75 [0.72-0.78],2.695e-41,***,Free Cholesterol to Total-Lipids in Medium LDL percentage
HDL-PL,0.74 [0.70-0.77],7.307e-33,***,Phospholipids in HDL
M-HDL-FC,0.73 [0.70-0.77],8.983e-36,***,Free Cholesterol in Medium HDL
XL-HDL-TG,0.73 [0.69-0.76],5.452e-38,***,Triglycerides in Very Large HDL
L-HDL-CE%,0.72 [0.69-0.75],3.556e-58,***,Cholesteryl Esters to Total-Lipids in Large HDL percentage
ApoA1,0.72 [0.68-0.75],4.141e-42,***,Apolipoprotein A1
M-LDL-CE%,0.71 [0.69-0.74],6.994e-56,***,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
HDL-size,0.71 [0.68-0.75],2.539e-36,***,Average Diameter for HDL Particles
S-HDL-FC,0.71 [0.68-0.74],2.287e-49,***,Free Cholesterol in Small HDL
L-HDL-PL,0.70 [0.67-0.74],3.776e-40,***,Phospholipids in Large HDL
XL-VLDL-PL%,0.70 [0.68-0.72],2.791e-104,***,Phospholipids to Total-Lipids in Very Large VLDL percentage
L-VLDL-C,0.70 [0.67-0.73],1.186e-49,***,Cholesterol in Large VLDL
HDL-P,0.70 [0.67-0.73],5.122e-52,***,Concentration of HDL Particles
IDL-FC%,0.70 [0.67-0.72],8.686e-68,***,Free Cholesterol to Total-Lipids in IDL percentage
S-LDL-CE%,0.69 [0.67-0.72],9.560e-66,***,Cholesteryl Esters to Total-Lipids in Small LDL percentage
HDL-L,0.69 [0.66-0.72],7.948e-50,***,Total-Lipids in HDL
XL-VLDL-C,0.69 [0.66-0.72],3.135e-52,***,Cholesterol in Very Large VLDL
VLDL-L,0.68 [0.66-0.72],2.027e-60,***,Total-Lipids in VLDL
S-VLDL-P,0.68 [0.65-0.71],4.259e-57,***,Concentration of Small VLDL Particles
HDL-CE,0.68 [0.65-0.71],3.677e-55,***,Cholesteryl Esters in HDL
L-HDL-C%,0.66 [0.64-0.69],4.439e-92,***,Cholesterol to Total-Lipids in Large HDL percentage
L-VLDL-C%,0.66 [0.64-0.69],1.398e-84,***,Cholesterol to Total-Lipids in Large VLDL percentage
L-HDL-L,0.66 [0.62-0.69],2.206e-57,***,Total-Lipids in Large HDL
HDL-C,0.65 [0.62-0.68],5.723e-65,***,HDL Cholesterol
S-VLDL-L,0.65 [0.62-0.68],1.708e-77,***,Total-Lipids in Small VLDL
SFA,0.64 [0.61-0.67],5.748e-78,***,Saturated Fatty Acids
L-HDL-CE,0.64 [0.60-0.67],2.427e-64,***,Cholesteryl Esters in Large HDL
L-VLDL-CE,0.63 [0.61-0.66],9.327e-82,***,Cholesteryl Esters in Large VLDL
