Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
XS-VLDL-PL%,1.97 [1.62-2.39],2.469e-06,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
IDL-PL%,1.95 [1.58-2.39],4.932e-05,***,Phospholipids to Total-Lipids in IDL percentage
MUFA%,1.81 [1.46-2.25],0.013,*,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
L-LDL-TG%,1.74 [1.43-2.11],0.004,**,Triglycerides to Total-Lipids in Large LDL percentage
IDL-TG%,1.71 [1.41-2.08],0.014,*,Triglycerides to Total-Lipids in IDL percentage
M-LDL-TG%,1.62 [1.35-1.95],0.035,*,Triglycerides to Total-Lipids in Medium LDL percentage
L-LDL-C%,0.60 [0.50-0.71],0.003,**,Cholesterol to Total-Lipids in Large LDL percentage
IDL-C%,0.58 [0.49-0.69],6.712e-05,***,Cholesterol to Total-Lipids in IDL percentage
IDL-CE%,0.57 [0.48-0.67],2.055e-05,***,Cholesteryl Esters to Total-Lipids in IDL percentage
S-HDL-P,0.55 [0.45-0.67],0.002,**,Concentration of Small HDL Particles
HDL-P,0.54 [0.44-0.67],0.008,**,Concentration of HDL Particles
S-HDL-CE,0.54 [0.44-0.66],1.394e-04,***,Cholesteryl Esters in Small HDL
Total-P,0.54 [0.44-0.67],0.004,**,Total-Concentration of Lipoprotein Particles
S-HDL-C,0.54 [0.44-0.66],2.227e-04,***,Cholesterol in Small HDL
