Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
XS-VLDL-PL%,1.36 [1.26-1.47],3.787e-09,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
M-HDL-PL%,1.33 [1.22-1.44],1.658e-06,***,Phospholipids to Total-Lipids in Medium HDL percentage
MUFA%,1.31 [1.20-1.42],1.768e-04,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
XL-HDL-FC%,1.29 [1.18-1.42],0.004,**,Free Cholesterol to Total-Lipids in Very Large HDL percentage
GlycA,1.29 [1.19-1.40],6.424e-05,***,Glycoprotein Acetyls
TG/PG,1.28 [1.18-1.39],7.568e-04,***,Triglycerides to Phosphoglycerides ratio
IDL-TG%,1.26 [1.17-1.37],0.001,**,Triglycerides to Total-Lipids in IDL percentage
L-LDL-TG%,1.26 [1.16-1.36],0.002,**,Triglycerides to Total-Lipids in Large LDL percentage
S-HDL-TG%,1.25 [1.16-1.35],0.005,**,Triglycerides to Total-Lipids in Small HDL percentage
L-LDL-FC%,0.81 [0.75-0.88],0.019,*,Free Cholesterol to Total-Lipids in Large LDL percentage
M-LDL-FC%,0.81 [0.75-0.88],0.034,*,Free Cholesterol to Total-Lipids in Medium LDL percentage
M-HDL-CE%,0.81 [0.75-0.87],0.010,*,Cholesteryl Esters to Total-Lipids in Medium HDL percentage
IDL-CE%,0.81 [0.75-0.87],0.005,**,Cholesteryl Esters to Total-Lipids in IDL percentage
IDL-C%,0.81 [0.75-0.87],0.004,**,Cholesterol to Total-Lipids in IDL percentage
PUFA%,0.80 [0.74-0.87],0.026,*,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
M-HDL-P,0.80 [0.74-0.87],0.024,*,Concentration of Medium HDL Particles
XL-HDL-PL,0.80 [0.74-0.87],0.038,*,Phospholipids in Very Large HDL
XL-HDL-P,0.80 [0.73-0.87],0.028,*,Concentration of Very Large HDL Particles
L-HDL-CE%,0.79 [0.73-0.86],0.005,**,Cholesteryl Esters to Total-Lipids in Large HDL percentage
XL-HDL-L,0.79 [0.73-0.86],0.015,*,Total-Lipids in Very Large HDL
L-HDL-C%,0.79 [0.73-0.86],0.003,**,Cholesterol to Total-Lipids in Large HDL percentage
HDL-PL,0.79 [0.72-0.86],0.008,**,Phospholipids in HDL
ApoA1,0.79 [0.73-0.86],0.005,**,Apolipoprotein A1
XS-VLDL-C%,0.79 [0.73-0.85],4.872e-04,***,Cholesterol to Total-Lipids in Very Small VLDL percentage
M-HDL-FC,0.79 [0.72-0.85],0.003,**,Free Cholesterol in Medium HDL
XL-HDL-C,0.78 [0.72-0.85],0.003,**,Cholesterol in Very Large HDL
M-HDL-CE,0.78 [0.72-0.85],0.001,**,Cholesteryl Esters in Medium HDL
M-HDL-C,0.78 [0.72-0.85],0.001,**,Cholesterol in Medium HDL
L-LDL-C%,0.78 [0.72-0.84],1.136e-04,***,Cholesterol to Total-Lipids in Large LDL percentage
M-HDL-C%,0.78 [0.72-0.84],3.419e-05,***,Cholesterol to Total-Lipids in Medium HDL percentage
XS-VLDL-CE%,0.78 [0.72-0.84],3.906e-05,***,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
HDL-size,0.78 [0.71-0.85],0.004,**,Average Diameter for HDL Particles
XL-HDL-CE,0.77 [0.71-0.84],5.354e-04,***,Cholesteryl Esters in Very Large HDL
PUFA/MUFA,0.77 [0.71-0.84],3.085e-04,***,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
HDL-L,0.77 [0.71-0.84],3.432e-04,***,Total-Lipids in HDL
HDL-FC,0.76 [0.70-0.83],5.769e-05,***,Free Cholesterol in HDL
L-HDL-PL,0.76 [0.69-0.82],5.604e-05,***,Phospholipids in Large HDL
L-HDL-FC,0.75 [0.69-0.82],3.743e-05,***,Free Cholesterol in Large HDL
L-HDL-P,0.75 [0.68-0.82],2.312e-05,***,Concentration of Large HDL Particles
L-HDL-L,0.74 [0.68-0.81],1.175e-05,***,Total-Lipids in Large HDL
HDL-CE,0.74 [0.68-0.81],8.063e-07,***,Cholesteryl Esters in HDL
HDL-C,0.74 [0.68-0.81],1.117e-06,***,HDL Cholesterol
L-HDL-C,0.74 [0.68-0.81],3.622e-06,***,Cholesterol in Large HDL
L-HDL-CE,0.74 [0.68-0.81],3.086e-06,***,Cholesteryl Esters in Large HDL
M-HDL-FC%,0.74 [0.68-0.80],6.201e-07,***,Free Cholesterol to Total-Lipids in Medium HDL percentage
