Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
S-HDL-TG%,1.32 [1.09-1.59],1.000,,Triglycerides to Total-Lipids in Small HDL percentage
M-VLDL-TG%,1.20 [1.00-1.44],1.000,,Triglycerides to Total-Lipids in Medium VLDL percentage
M-LDL-TG%,1.18 [0.99-1.41],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
S-LDL-TG%,1.18 [0.98-1.42],1.000,,Triglycerides to Total-Lipids in Small LDL percentage
S-LDL-PL%,1.06 [0.89-1.27],1.000,,Phospholipids to Total-Lipids in Small LDL percentage
M-LDL-PL%,0.96 [0.80-1.14],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
M-VLDL-FC%,0.85 [0.71-1.02],1.000,,Free Cholesterol to Total-Lipids in Medium VLDL percentage
M-VLDL-C%,0.83 [0.69-0.99],1.000,,Cholesterol to Total-Lipids in Medium VLDL percentage
M-VLDL-CE%,0.83 [0.69-0.99],1.000,,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
M-LDL-FC%,0.80 [0.67-0.97],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
