Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-LDL-TG%,1.16 [1.06-1.27],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
S-HDL-TG%,1.10 [1.00-1.22],1.000,,Triglycerides to Total-Lipids in Small HDL percentage
S-HDL-PL%,1.10 [1.00-1.21],1.000,,Phospholipids to Total-Lipids in Small HDL percentage
M-VLDL-TG%,1.09 [0.99-1.20],1.000,,Triglycerides to Total-Lipids in Medium VLDL percentage
S-LDL-PL%,1.06 [0.97-1.17],1.000,,Phospholipids to Total-Lipids in Small LDL percentage
M-LDL-PL%,0.98 [0.90-1.08],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
M-VLDL-FC%,0.92 [0.83-1.01],1.000,,Free Cholesterol to Total-Lipids in Medium VLDL percentage
M-VLDL-C%,0.90 [0.82-1.00],1.000,,Cholesterol to Total-Lipids in Medium VLDL percentage
M-VLDL-CE%,0.90 [0.82-1.00],1.000,,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
M-LDL-FC%,0.88 [0.80-0.97],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
