Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
XL-HDL-FC%,1.39 [1.23-1.57],0.014,*,Free Cholesterol to Total-Lipids in Very Large HDL percentage
M-VLDL-TG%,1.19 [1.07-1.32],1.000,,Triglycerides to Total-Lipids in Medium VLDL percentage
S-LDL-CE%,1.09 [0.98-1.21],1.000,,Cholesteryl Esters to Total-Lipids in Small LDL percentage
M-LDL-TG%,1.07 [0.96-1.19],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
M-LDL-PL%,1.05 [0.95-1.16],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
L-HDL-P,0.74 [0.65-0.84],0.325,,Concentration of Large HDL Particles
L-HDL-L,0.73 [0.65-0.82],0.096,,Total-Lipids in Large HDL
L-HDL-CE,0.73 [0.64-0.82],0.088,,Cholesteryl Esters in Large HDL
L-HDL-C,0.73 [0.64-0.82],0.081,,Cholesterol in Large HDL
HDL-size,0.72 [0.64-0.81],0.041,*,Average Diameter for HDL Particles
