Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
IDL-TG%,1.19 [1.14-1.24],1.698e-08,***,Triglycerides to Total-Lipids in IDL percentage
L-LDL-TG%,1.17 [1.12-1.23],7.278e-07,***,Triglycerides to Total-Lipids in Large LDL percentage
XS-VLDL-TG%,1.16 [1.11-1.22],2.808e-05,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
M-LDL-TG%,1.16 [1.11-1.21],1.190e-05,***,Triglycerides to Total-Lipids in Medium LDL percentage
XS-VLDL-PL%,1.15 [1.10-1.20],1.292e-04,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
M-HDL-PL%,1.14 [1.09-1.20],0.006,**,Phospholipids to Total-Lipids in Medium HDL percentage
MUFA%,1.14 [1.09-1.20],0.016,*,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
S-LDL-TG%,1.14 [1.09-1.19],0.001,**,Triglycerides to Total-Lipids in Small LDL percentage
M-VLDL-TG%,1.13 [1.09-1.19],0.005,**,Triglycerides to Total-Lipids in Medium VLDL percentage
S-VLDL-TG%,1.13 [1.08-1.18],0.013,*,Triglycerides to Total-Lipids in Small VLDL percentage
S-VLDL-C%,0.89 [0.85-0.93],0.040,*,Cholesterol to Total-Lipids in Small VLDL percentage
L-LDL-FC,0.89 [0.85-0.93],0.036,*,Free Cholesterol in Large LDL
XL-VLDL-CE%,0.89 [0.85-0.93],0.041,*,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
IDL-FC,0.89 [0.85-0.93],0.017,*,Free Cholesterol in IDL
M-LDL-C%,0.89 [0.85-0.93],0.004,**,Cholesterol to Total-Lipids in Medium LDL percentage
M-VLDL-FC%,0.89 [0.85-0.93],0.020,*,Free Cholesterol to Total-Lipids in Medium VLDL percentage
IDL-CE,0.88 [0.84-0.92],0.004,**,Cholesteryl Esters in IDL
IDL-C,0.88 [0.84-0.92],0.004,**,Cholesterol in IDL
M-LDL-FC%,0.88 [0.84-0.92],0.009,**,Free Cholesterol to Total-Lipids in Medium LDL percentage
L-LDL-C%,0.88 [0.84-0.92],0.007,**,Cholesterol to Total-Lipids in Large LDL percentage
M-VLDL-CE%,0.88 [0.84-0.92],0.005,**,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
M-VLDL-C%,0.88 [0.84-0.92],0.003,**,Cholesterol to Total-Lipids in Medium VLDL percentage
L-HDL-CE%,0.88 [0.83-0.92],0.037,*,Cholesteryl Esters to Total-Lipids in Large HDL percentage
S-LDL-C%,0.88 [0.84-0.91],1.727e-04,***,Cholesterol to Total-Lipids in Small LDL percentage
L-HDL-C%,0.88 [0.83-0.92],0.040,*,Cholesterol to Total-Lipids in Large HDL percentage
LA%,0.87 [0.83-0.92],0.003,**,Linoleic Acid to Total-Fatty Acids percentage
S-VLDL-PL%,0.87 [0.84-0.91],4.142e-04,***,Phospholipids to Total-Lipids in Small VLDL percentage
S-VLDL-FC%,0.87 [0.83-0.91],1.043e-04,***,Free Cholesterol to Total-Lipids in Small VLDL percentage
L-LDL-FC%,0.86 [0.82-0.90],1.296e-06,***,Free Cholesterol to Total-Lipids in Large LDL percentage
IDL-CE%,0.86 [0.82-0.89],4.480e-07,***,Cholesteryl Esters to Total-Lipids in IDL percentage
XS-VLDL-C%,0.85 [0.81-0.88],1.189e-07,***,Cholesterol to Total-Lipids in Very Small VLDL percentage
IDL-C%,0.84 [0.81-0.88],4.556e-09,***,Cholesterol to Total-Lipids in IDL percentage
XS-VLDL-CE%,0.84 [0.80-0.88],3.530e-08,***,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
