Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
L-LDL-TG%,1.23 [1.19-1.26],9.111e-39,***,Triglycerides to Total-Lipids in Large LDL percentage
IDL-TG%,1.22 [1.19-1.26],3.528e-38,***,Triglycerides to Total-Lipids in IDL percentage
MUFA%,1.22 [1.18-1.26],1.048e-30,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
XS-VLDL-TG%,1.20 [1.17-1.24],3.144e-29,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
M-LDL-TG%,1.19 [1.16-1.23],2.981e-31,***,Triglycerides to Total-Lipids in Medium LDL percentage
XS-VLDL-PL%,1.19 [1.15-1.22],1.077e-26,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
L-HDL-PL%,1.18 [1.15-1.22],4.594e-21,***,Phospholipids to Total-Lipids in Large HDL percentage
GlycA,1.18 [1.15-1.22],3.661e-23,***,Glycoprotein Acetyls
M-HDL-PL%,1.18 [1.14-1.21],8.784e-21,***,Phospholipids to Total-Lipids in Medium HDL percentage
S-LDL-TG%,1.17 [1.14-1.21],2.436e-23,***,Triglycerides to Total-Lipids in Small LDL percentage
M-VLDL-TG%,1.16 [1.13-1.20],6.525e-20,***,Triglycerides to Total-Lipids in Medium VLDL percentage
L-HDL-TG%,1.15 [1.12-1.19],2.586e-14,***,Triglycerides to Total-Lipids in Large HDL percentage
S-HDL-TG%,1.15 [1.12-1.18],5.695e-16,***,Triglycerides to Total-Lipids in Small HDL percentage
S-VLDL-TG%,1.15 [1.12-1.18],2.579e-16,***,Triglycerides to Total-Lipids in Small VLDL percentage
XL-HDL-TG%,1.14 [1.11-1.18],1.638e-13,***,Triglycerides to Total-Lipids in Very Large HDL percentage
TG/PG,1.14 [1.10-1.17],4.224e-11,***,Triglycerides to Phosphoglycerides ratio
M-HDL-TG%,1.13 [1.10-1.17],4.048e-12,***,Triglycerides to Total-Lipids in Medium HDL percentage
XL-HDL-FC%,1.13 [1.09-1.17],2.649e-07,***,Free Cholesterol to Total-Lipids in Very Large HDL percentage
XL-VLDL-TG%,1.11 [1.08-1.15],3.580e-08,***,Triglycerides to Total-Lipids in Very Large VLDL percentage
S-HDL-TG,1.11 [1.08-1.14],3.002e-09,***,Triglycerides in Small HDL
L-VLDL-PL%,1.11 [1.08-1.14],1.690e-07,***,Phospholipids to Total-Lipids in Large VLDL percentage
XS-VLDL-TG,1.09 [1.06-1.12],5.607e-05,***,Triglycerides in Very Small VLDL
XXL-VLDL-PL,1.09 [1.06-1.12],0.002,**,Phospholipids in Chylomicrons and Extremely Large VLDL
IDL-PL%,1.09 [1.06-1.12],4.892e-04,***,Phospholipids to Total-Lipids in IDL percentage
XL-VLDL-TG,1.09 [1.06-1.12],0.005,**,Triglycerides in Very Large VLDL
XXL-VLDL-P,1.09 [1.05-1.12],0.006,**,Concentration of Chylomicrons and Extremely Large VLDL Particles
XXL-VLDL-L,1.08 [1.05-1.12],0.010,**,Total-Lipids in Chylomicrons and Extremely Large VLDL
XXL-VLDL-TG,1.08 [1.05-1.11],0.024,*,Triglycerides in Chylomicrons and Extremely Large VLDL
S-VLDL-TG,1.08 [1.05-1.11],0.009,**,Triglycerides in Small VLDL
M-LDL-TG,1.08 [1.05-1.11],0.021,*,Triglycerides in Medium LDL
XXL-VLDL-FC,1.08 [1.05-1.11],0.037,*,Free Cholesterol in Chylomicrons and Extremely Large VLDL
S-LDL-TG,1.08 [1.05-1.11],0.049,*,Triglycerides in Small LDL
XXL-VLDL-PL%,1.08 [1.05-1.11],0.018,*,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
M-HDL-TG,1.08 [1.05-1.10],0.029,*,Triglycerides in Medium HDL
HDL-TG,1.07 [1.05-1.10],0.047,*,Triglycerides in HDL
