Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-HDL-PL%,1.10 [1.07-1.12],2.362e-12,***,Phospholipids to Total-Lipids in Medium HDL percentage
L-HDL-PL%,1.09 [1.07-1.12],3.535e-10,***,Phospholipids to Total-Lipids in Large HDL percentage
TG/PG,1.09 [1.07-1.11],2.097e-10,***,Triglycerides to Phosphoglycerides ratio
IDL-TG%,1.09 [1.07-1.11],1.198e-11,***,Triglycerides to Total-Lipids in IDL percentage
XS-VLDL-TG%,1.09 [1.07-1.11],1.366e-10,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
XL-HDL-TG%,1.09 [1.06-1.11],5.913e-10,***,Triglycerides to Total-Lipids in Very Large HDL percentage
S-HDL-TG%,1.08 [1.06-1.11],1.192e-10,***,Triglycerides to Total-Lipids in Small HDL percentage
L-LDL-TG%,1.08 [1.06-1.11],9.566e-10,***,Triglycerides to Total-Lipids in Large LDL percentage
L-HDL-TG%,1.08 [1.06-1.11],1.563e-08,***,Triglycerides to Total-Lipids in Large HDL percentage
XL-HDL-FC%,1.08 [1.06-1.11],1.180e-05,***,Free Cholesterol to Total-Lipids in Very Large HDL percentage
MUFA%,1.07 [1.05-1.10],1.462e-05,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
M-HDL-TG%,1.07 [1.05-1.10],3.119e-07,***,Triglycerides to Total-Lipids in Medium HDL percentage
S-HDL-TG,1.07 [1.05-1.09],1.397e-07,***,Triglycerides in Small HDL
XL-VLDL-TG,1.07 [1.05-1.09],2.444e-06,***,Triglycerides in Very Large VLDL
M-VLDL-TG%,1.07 [1.05-1.09],1.318e-06,***,Triglycerides to Total-Lipids in Medium VLDL percentage
M-LDL-TG%,1.07 [1.05-1.09],9.741e-07,***,Triglycerides to Total-Lipids in Medium LDL percentage
XS-VLDL-PL%,1.07 [1.05-1.09],4.656e-06,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
S-LDL-TG%,1.07 [1.05-1.09],4.398e-06,***,Triglycerides to Total-Lipids in Small LDL percentage
XL-VLDL-P,1.07 [1.05-1.09],2.904e-05,***,Concentration of Very Large VLDL Particles
S-VLDL-TG,1.07 [1.05-1.09],1.218e-05,***,Triglycerides in Small VLDL
S-LDL-TG,1.07 [1.05-1.09],6.266e-05,***,Triglycerides in Small LDL
XL-VLDL-L,1.06 [1.04-1.09],1.061e-04,***,Total-Lipids in Very Large VLDL
VLDL-TG,1.06 [1.04-1.09],1.435e-04,***,Triglycerides in VLDL
Total-TG,1.06 [1.04-1.09],1.404e-04,***,Total-Triglycerides
M-LDL-TG,1.06 [1.04-1.08],1.441e-04,***,Triglycerides in Medium LDL
XXL-VLDL-P,1.06 [1.04-1.08],4.922e-04,***,Concentration of Chylomicrons and Extremely Large VLDL Particles
L-VLDL-PL,1.06 [1.04-1.08],1.381e-04,***,Phospholipids in Large VLDL
VLDL-size,1.06 [1.04-1.08],0.002,**,Average Diameter for VLDL Particles
XS-VLDL-TG,1.06 [1.04-1.08],8.291e-05,***,Triglycerides in Very Small VLDL
L-VLDL-TG,1.06 [1.04-1.08],4.594e-04,***,Triglycerides in Large VLDL
L-VLDL-P,1.06 [1.04-1.08],3.651e-04,***,Concentration of Large VLDL Particles
XXL-VLDL-PL,1.06 [1.04-1.08],0.001,**,Phospholipids in Chylomicrons and Extremely Large VLDL
XL-VLDL-PL,1.06 [1.04-1.08],6.895e-04,***,Phospholipids in Very Large VLDL
XXL-VLDL-TG,1.06 [1.04-1.08],0.003,**,Triglycerides in Chylomicrons and Extremely Large VLDL
GlycA,1.06 [1.04-1.08],0.004,**,Glycoprotein Acetyls
XXL-VLDL-L,1.06 [1.04-1.08],0.005,**,Total-Lipids in Chylomicrons and Extremely Large VLDL
LDL-TG,1.06 [1.04-1.08],0.001,**,Triglycerides in LDL
L-VLDL-L,1.06 [1.04-1.08],0.002,**,Total-Lipids in Large VLDL
S-VLDL-TG%,1.06 [1.04-1.08],0.002,**,Triglycerides to Total-Lipids in Small VLDL percentage
L-VLDL-FC,1.06 [1.04-1.08],0.003,**,Free Cholesterol in Large VLDL
XL-VLDL-FC,1.06 [1.04-1.08],0.007,**,Free Cholesterol in Very Large VLDL
XXL-VLDL-FC,1.06 [1.04-1.08],0.013,*,Free Cholesterol in Chylomicrons and Extremely Large VLDL
M-VLDL-TG,1.06 [1.04-1.08],0.006,**,Triglycerides in Medium VLDL
L-LDL-TG,1.05 [1.04-1.08],0.011,*,Triglycerides in Large LDL
L-VLDL-PL%,1.05 [1.04-1.07],0.003,**,Phospholipids to Total-Lipids in Large VLDL percentage
XL-VLDL-TG%,1.05 [1.03-1.07],0.013,*,Triglycerides to Total-Lipids in Very Large VLDL percentage
IDL-TG,1.05 [1.03-1.07],0.023,*,Triglycerides in IDL
XL-VLDL-FC%,0.95 [0.93-0.97],0.025,*,Free Cholesterol to Total-Lipids in Very Large VLDL percentage
S-VLDL-C%,0.95 [0.93-0.97],0.012,*,Cholesterol to Total-Lipids in Small VLDL percentage
XS-VLDL-FC%,0.95 [0.93-0.97],0.042,*,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
M-VLDL-PL%,0.95 [0.93-0.97],0.014,*,Phospholipids to Total-Lipids in Medium VLDL percentage
XL-HDL-FC,0.95 [0.93-0.96],0.002,**,Free Cholesterol in Very Large HDL
IDL-CE%,0.95 [0.93-0.96],0.006,**,Cholesteryl Esters to Total-Lipids in IDL percentage
S-LDL-FC%,0.94 [0.93-0.96],0.002,**,Free Cholesterol to Total-Lipids in Small LDL percentage
M-HDL-C,0.94 [0.92-0.96],0.004,**,Cholesterol in Medium HDL
L-VLDL-CE%,0.94 [0.93-0.96],0.001,**,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
M-HDL-CE,0.94 [0.92-0.96],0.002,**,Cholesteryl Esters in Medium HDL
HDL-L,0.94 [0.92-0.96],0.003,**,Total-Lipids in HDL
IDL-FC%,0.94 [0.92-0.96],1.903e-04,***,Free Cholesterol to Total-Lipids in IDL percentage
L-LDL-C%,0.94 [0.92-0.96],5.425e-04,***,Cholesterol to Total-Lipids in Large LDL percentage
HDL-FC,0.94 [0.92-0.96],3.099e-04,***,Free Cholesterol in HDL
XL-HDL-P,0.94 [0.92-0.96],4.981e-05,***,Concentration of Very Large HDL Particles
S-LDL-C%,0.94 [0.92-0.95],3.746e-06,***,Cholesterol to Total-Lipids in Small LDL percentage
XL-VLDL-C%,0.94 [0.92-0.95],8.259e-06,***,Cholesterol to Total-Lipids in Very Large VLDL percentage
XL-HDL-PL,0.94 [0.92-0.95],1.536e-05,***,Phospholipids in Very Large HDL
M-VLDL-FC%,0.94 [0.92-0.95],1.848e-05,***,Free Cholesterol to Total-Lipids in Medium VLDL percentage
XL-VLDL-CE%,0.94 [0.92-0.95],4.087e-06,***,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
XL-HDL-L,0.93 [0.92-0.95],3.636e-06,***,Total-Lipids in Very Large HDL
