Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
XS-VLDL-PL%,1.53 [1.30-1.80],0.067,,Phospholipids to Total-Lipids in Very Small VLDL percentage
M-LDL-TG%,1.30 [1.12-1.51],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
M-LDL-PL%,1.18 [1.00-1.38],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
S-HDL-FC%,1.10 [0.93-1.29],1.000,,Free Cholesterol to Total-Lipids in Small HDL percentage
M-LDL-FC%,1.05 [0.88-1.25],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
S-LDL-C%,0.69 [0.60-0.79],0.065,,Cholesterol to Total-Lipids in Small LDL percentage
S-HDL-CE,0.68 [0.58-0.80],0.708,,Cholesteryl Esters in Small HDL
S-HDL-C,0.68 [0.58-0.80],0.602,,Cholesterol in Small HDL
S-HDL-L,0.68 [0.58-0.80],0.616,,Total-Lipids in Small HDL
S-HDL-P,0.68 [0.57-0.80],0.717,,Concentration of Small HDL Particles
