Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
S-HDL-TG%,1.36 [1.19-1.57],1.000,,Triglycerides to Total-Lipids in Small HDL percentage
M-LDL-TG%,1.32 [1.16-1.51],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
M-VLDL-TG%,1.15 [1.00-1.33],1.000,,Triglycerides to Total-Lipids in Medium VLDL percentage
S-HDL-PL%,1.06 [0.92-1.22],1.000,,Phospholipids to Total-Lipids in Small HDL percentage
S-HDL-FC%,1.03 [0.90-1.18],1.000,,Free Cholesterol to Total-Lipids in Small HDL percentage
M-LDL-PL%,0.95 [0.83-1.08],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
M-VLDL-FC%,0.89 [0.77-1.02],1.000,,Free Cholesterol to Total-Lipids in Medium VLDL percentage
M-VLDL-C%,0.85 [0.74-0.98],1.000,,Cholesterol to Total-Lipids in Medium VLDL percentage
M-VLDL-CE%,0.85 [0.74-0.97],1.000,,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
M-LDL-FC%,0.81 [0.70-0.92],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
