Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-HDL-PL%,1.11 [0.99-1.24],1.000,,Phospholipids to Total-Lipids in Medium HDL percentage
L-VLDL-FC%,1.08 [0.98-1.19],1.000,,Free Cholesterol to Total-Lipids in Large VLDL percentage
L-VLDL-PL%,1.04 [0.94-1.15],1.000,,Phospholipids to Total-Lipids in Large VLDL percentage
M-LDL-PL%,1.03 [0.93-1.14],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
L-VLDL-CE%,1.00 [0.90-1.12],1.000,,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
M-LDL-FC%,0.97 [0.87-1.08],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
VLDL-C,0.92 [0.83-1.02],1.000,,VLDL Cholesterol
Remnant-C,0.89 [0.80-0.99],1.000,,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
Total-C,0.84 [0.75-0.93],1.000,,Total-Cholesterol
HDL-CE,0.81 [0.72-0.91],1.000,,Cholesteryl Esters in HDL
