Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
XS-VLDL-TG%,1.52 [1.45-1.59],4.104e-69,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
IDL-TG%,1.51 [1.44-1.57],2.502e-73,***,Triglycerides to Total-Lipids in IDL percentage
L-LDL-TG%,1.46 [1.40-1.52],6.939e-61,***,Triglycerides to Total-Lipids in Large LDL percentage
L-HDL-PL%,1.42 [1.35-1.48],7.113e-46,***,Phospholipids to Total-Lipids in Large HDL percentage
XS-VLDL-PL%,1.41 [1.35-1.47],7.929e-48,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
M-VLDL-TG%,1.40 [1.34-1.46],1.120e-43,***,Triglycerides to Total-Lipids in Medium VLDL percentage
MUFA%,1.38 [1.32-1.45],9.525e-36,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
M-LDL-TG%,1.38 [1.32-1.44],1.893e-48,***,Triglycerides to Total-Lipids in Medium LDL percentage
XL-HDL-TG%,1.38 [1.32-1.44],3.943e-40,***,Triglycerides to Total-Lipids in Very Large HDL percentage
S-VLDL-TG%,1.34 [1.28-1.40],6.574e-32,***,Triglycerides to Total-Lipids in Small VLDL percentage
S-LDL-TG%,1.34 [1.28-1.39],1.645e-36,***,Triglycerides to Total-Lipids in Small LDL percentage
L-HDL-TG%,1.33 [1.27-1.40],5.586e-29,***,Triglycerides to Total-Lipids in Large HDL percentage
TG/PG,1.33 [1.27-1.39],1.431e-29,***,Triglycerides to Phosphoglycerides ratio
S-HDL-TG%,1.31 [1.26-1.37],8.409e-29,***,Triglycerides to Total-Lipids in Small HDL percentage
M-HDL-PL%,1.31 [1.26-1.37],2.338e-27,***,Phospholipids to Total-Lipids in Medium HDL percentage
XL-VLDL-TG%,1.29 [1.23-1.36],1.048e-19,***,Triglycerides to Total-Lipids in Very Large VLDL percentage
XL-HDL-FC%,1.29 [1.23-1.36],1.420e-18,***,Free Cholesterol to Total-Lipids in Very Large HDL percentage
S-HDL-TG,1.28 [1.23-1.33],1.370e-28,***,Triglycerides in Small HDL
M-HDL-TG%,1.26 [1.21-1.32],5.715e-19,***,Triglycerides to Total-Lipids in Medium HDL percentage
S-VLDL-TG,1.25 [1.20-1.30],1.146e-22,***,Triglycerides in Small VLDL
M-LDL-TG,1.25 [1.20-1.30],2.229e-23,***,Triglycerides in Medium LDL
