Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
L-LDL-TG%,1.14 [1.11-1.16],1.023e-22,***,Triglycerides to Total-Lipids in Large LDL percentage
IDL-TG%,1.13 [1.11-1.16],4.772e-21,***,Triglycerides to Total-Lipids in IDL percentage
Creatinine,1.13 [1.10-1.16],2.300e-14,***,Creatinine
XS-VLDL-PL%,1.13 [1.10-1.16],2.550e-20,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
S-HDL-TG%,1.13 [1.10-1.16],1.990e-20,***,Triglycerides to Total-Lipids in Small HDL percentage
M-HDL-PL%,1.13 [1.10-1.15],6.333e-17,***,Phospholipids to Total-Lipids in Medium HDL percentage
M-HDL-TG%,1.12 [1.09-1.15],1.821e-16,***,Triglycerides to Total-Lipids in Medium HDL percentage
L-HDL-TG%,1.11 [1.09-1.14],1.308e-12,***,Triglycerides to Total-Lipids in Large HDL percentage
MUFA%,1.11 [1.09-1.14],5.250e-12,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
M-LDL-TG%,1.11 [1.08-1.13],1.717e-14,***,Triglycerides to Total-Lipids in Medium LDL percentage
L-VLDL-PL%,1.11 [1.08-1.13],1.420e-13,***,Phospholipids to Total-Lipids in Large VLDL percentage
TG/PG,1.10 [1.07-1.12],2.994e-08,***,Triglycerides to Phosphoglycerides ratio
S-LDL-TG%,1.09 [1.07-1.12],5.867e-09,***,Triglycerides to Total-Lipids in Small LDL percentage
XS-VLDL-TG%,1.09 [1.06-1.11],5.875e-07,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
XS-VLDL-TG,1.09 [1.06-1.11],6.900e-09,***,Triglycerides in Very Small VLDL
IDL-TG,1.08 [1.06-1.11],2.226e-08,***,Triglycerides in IDL
XL-HDL-TG%,1.08 [1.06-1.11],4.839e-06,***,Triglycerides to Total-Lipids in Very Large HDL percentage
IDL-PL%,1.08 [1.06-1.10],2.853e-07,***,Phospholipids to Total-Lipids in IDL percentage
L-LDL-TG,1.08 [1.06-1.10],2.875e-06,***,Triglycerides in Large LDL
XL-HDL-FC%,1.08 [1.05-1.11],0.010,*,Free Cholesterol to Total-Lipids in Very Large HDL percentage
S-HDL-TG,1.08 [1.05-1.10],5.997e-06,***,Triglycerides in Small HDL
LDL-TG,1.08 [1.05-1.10],2.204e-05,***,Triglycerides in LDL
M-LDL-TG,1.07 [1.05-1.09],6.319e-04,***,Triglycerides in Medium LDL
Citrate,1.07 [1.04-1.09],9.158e-04,***,Citrate
S-LDL-TG,1.06 [1.04-1.09],0.044,*,Triglycerides in Small LDL
L-VLDL-FC%,1.06 [1.04-1.08],0.030,*,Free Cholesterol to Total-Lipids in Large VLDL percentage
Total-CE,0.94 [0.92-0.96],0.030,*,Total-Esterified Cholesterol
DHA,0.94 [0.92-0.96],0.027,*,Docosahexaenoic Acid
SM,0.94 [0.92-0.96],0.016,*,Sphingomyelins
S-LDL-C%,0.94 [0.92-0.96],0.003,**,Cholesterol to Total-Lipids in Small LDL percentage
S-HDL-P,0.94 [0.92-0.96],0.002,**,Concentration of Small HDL Particles
XL-HDL-C,0.94 [0.91-0.96],0.005,**,Cholesterol in Very Large HDL
HDL-size,0.93 [0.91-0.96],0.017,*,Average Diameter for HDL Particles
DHA%,0.93 [0.91-0.95],0.001,**,Docosahexaenoic Acid to Total-Fatty Acids percentage
S-HDL-C,0.93 [0.91-0.95],2.712e-05,***,Cholesterol in Small HDL
XL-HDL-CE,0.93 [0.91-0.95],1.645e-04,***,Cholesteryl Esters in Very Large HDL
S-LDL-FC%,0.93 [0.91-0.95],6.464e-06,***,Free Cholesterol to Total-Lipids in Small LDL percentage
S-VLDL-PL%,0.93 [0.91-0.95],1.676e-05,***,Phospholipids to Total-Lipids in Small VLDL percentage
S-VLDL-FC%,0.93 [0.91-0.95],1.514e-05,***,Free Cholesterol to Total-Lipids in Small VLDL percentage
Omega-6%,0.93 [0.90-0.95],2.009e-04,***,Omega-6 Fatty Acids to Total-Fatty Acids percentage
S-HDL-CE,0.93 [0.91-0.95],1.043e-06,***,Cholesteryl Esters in Small HDL
M-HDL-PL,0.93 [0.90-0.95],3.227e-05,***,Phospholipids in Medium HDL
S-HDL-CE%,0.93 [0.91-0.95],6.010e-07,***,Cholesteryl Esters to Total-Lipids in Small HDL percentage
S-HDL-C%,0.92 [0.90-0.94],2.809e-07,***,Cholesterol to Total-Lipids in Small HDL percentage
Unsaturation,0.92 [0.90-0.94],6.712e-06,***,Degree of Unsaturation
L-HDL-FC,0.92 [0.90-0.94],1.266e-06,***,Free Cholesterol in Large HDL
M-LDL-C%,0.92 [0.90-0.94],8.050e-10,***,Cholesterol to Total-Lipids in Medium LDL percentage
LA%,0.92 [0.90-0.94],3.057e-07,***,Linoleic Acid to Total-Fatty Acids percentage
M-HDL-L,0.92 [0.89-0.94],7.121e-08,***,Total-Lipids in Medium HDL
L-HDL-PL,0.92 [0.89-0.94],2.256e-07,***,Phospholipids in Large HDL
L-HDL-P,0.91 [0.89-0.94],5.558e-08,***,Concentration of Large HDL Particles
HDL-PL,0.91 [0.89-0.94],6.581e-08,***,Phospholipids in HDL
L-HDL-C%,0.91 [0.89-0.94],7.436e-07,***,Cholesterol to Total-Lipids in Large HDL percentage
L-HDL-L,0.91 [0.89-0.93],4.140e-08,***,Total-Lipids in Large HDL
XL-HDL-CE%,0.91 [0.89-0.93],8.360e-09,***,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
M-HDL-P,0.91 [0.89-0.93],1.113e-09,***,Concentration of Medium HDL Particles
PUFA%,0.91 [0.89-0.93],1.980e-08,***,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
L-HDL-CE%,0.91 [0.89-0.93],6.057e-08,***,Cholesteryl Esters to Total-Lipids in Large HDL percentage
M-LDL-FC%,0.91 [0.89-0.93],7.668e-10,***,Free Cholesterol to Total-Lipids in Medium LDL percentage
M-HDL-FC,0.91 [0.89-0.93],8.154e-10,***,Free Cholesterol in Medium HDL
HDL-FC,0.91 [0.89-0.93],3.039e-09,***,Free Cholesterol in HDL
L-LDL-FC%,0.91 [0.89-0.93],4.420e-11,***,Free Cholesterol to Total-Lipids in Large LDL percentage
Total-P,0.91 [0.89-0.93],1.004e-10,***,Total-Concentration of Lipoprotein Particles
ApoA1,0.91 [0.89-0.93],3.927e-10,***,Apolipoprotein A1
L-HDL-C,0.91 [0.88-0.93],7.511e-10,***,Cholesterol in Large HDL
HDL-P,0.90 [0.88-0.93],5.181e-12,***,Concentration of HDL Particles
L-HDL-CE,0.90 [0.88-0.93],1.193e-10,***,Cholesteryl Esters in Large HDL
XS-VLDL-C%,0.90 [0.88-0.93],1.498e-11,***,Cholesterol to Total-Lipids in Very Small VLDL percentage
HDL-L,0.90 [0.88-0.93],1.947e-10,***,Total-Lipids in HDL
XS-VLDL-CE%,0.90 [0.88-0.92],2.690e-13,***,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
M-HDL-C,0.90 [0.88-0.92],9.459e-14,***,Cholesterol in Medium HDL
PUFA/MUFA,0.90 [0.88-0.92],4.851e-12,***,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
M-HDL-CE,0.90 [0.88-0.92],2.139e-14,***,Cholesteryl Esters in Medium HDL
M-HDL-CE%,0.90 [0.88-0.92],3.015e-16,***,Cholesteryl Esters to Total-Lipids in Medium HDL percentage
M-HDL-FC%,0.90 [0.87-0.92],1.514e-11,***,Free Cholesterol to Total-Lipids in Medium HDL percentage
IDL-CE%,0.89 [0.87-0.91],1.170e-19,***,Cholesteryl Esters to Total-Lipids in IDL percentage
HDL-C,0.89 [0.87-0.91],1.376e-16,***,HDL Cholesterol
IDL-C%,0.89 [0.87-0.91],3.221e-21,***,Cholesterol to Total-Lipids in IDL percentage
M-HDL-C%,0.88 [0.86-0.91],7.376e-20,***,Cholesterol to Total-Lipids in Medium HDL percentage
HDL-CE,0.88 [0.86-0.90],2.901e-18,***,Cholesteryl Esters in HDL
L-LDL-C%,0.88 [0.86-0.90],2.482e-20,***,Cholesterol to Total-Lipids in Large LDL percentage
