Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
MUFA%,1.23 [1.21-1.25],1.051e-117,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
L-LDL-TG%,1.19 [1.17-1.21],3.951e-96,***,Triglycerides to Total-Lipids in Large LDL percentage
IDL-TG%,1.18 [1.16-1.20],3.635e-88,***,Triglycerides to Total-Lipids in IDL percentage
M-HDL-PL%,1.16 [1.14-1.18],6.997e-66,***,Phospholipids to Total-Lipids in Medium HDL percentage
M-LDL-TG%,1.16 [1.14-1.18],5.852e-77,***,Triglycerides to Total-Lipids in Medium LDL percentage
XS-VLDL-TG%,1.15 [1.13-1.17],3.773e-60,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
GlycA,1.14 [1.13-1.16],1.380e-55,***,Glycoprotein Acetyls
S-LDL-TG%,1.14 [1.12-1.16],1.765e-58,***,Triglycerides to Total-Lipids in Small LDL percentage
S-HDL-TG%,1.14 [1.12-1.16],2.445e-56,***,Triglycerides to Total-Lipids in Small HDL percentage
L-HDL-PL%,1.14 [1.12-1.16],2.946e-45,***,Phospholipids to Total-Lipids in Large HDL percentage
L-HDL-TG%,1.14 [1.12-1.16],5.302e-48,***,Triglycerides to Total-Lipids in Large HDL percentage
XL-HDL-TG%,1.13 [1.11-1.15],3.282e-45,***,Triglycerides to Total-Lipids in Very Large HDL percentage
M-HDL-TG%,1.13 [1.11-1.15],1.272e-47,***,Triglycerides to Total-Lipids in Medium HDL percentage
XS-VLDL-PL%,1.13 [1.11-1.15],1.269e-45,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
TG/PG,1.13 [1.11-1.15],5.373e-40,***,Triglycerides to Phosphoglycerides ratio
S-HDL-TG,1.12 [1.11-1.14],1.820e-47,***,Triglycerides in Small HDL
L-LDL-TG,1.12 [1.10-1.14],4.622e-45,***,Triglycerides in Large LDL
LDL-TG,1.12 [1.10-1.14],9.342e-44,***,Triglycerides in LDL
XS-VLDL-TG,1.12 [1.10-1.13],1.315e-44,***,Triglycerides in Very Small VLDL
IDL-TG,1.12 [1.10-1.13],1.513e-44,***,Triglycerides in IDL
MUFA,1.12 [1.10-1.13],3.057e-36,***,Monounsaturated Fatty Acids
SFA%,1.12 [1.10-1.14],2.948e-35,***,Saturated Fatty Acids to Total-Fatty Acids percentage
M-LDL-TG,1.12 [1.10-1.13],2.002e-40,***,Triglycerides in Medium LDL
L-VLDL-PL%,1.11 [1.10-1.13],3.101e-37,***,Phospholipids to Total-Lipids in Large VLDL percentage
M-VLDL-TG%,1.11 [1.09-1.13],6.120e-33,***,Triglycerides to Total-Lipids in Medium VLDL percentage
S-LDL-TG,1.11 [1.09-1.12],1.001e-32,***,Triglycerides in Small LDL
S-VLDL-TG%,1.10 [1.08-1.12],1.670e-28,***,Triglycerides to Total-Lipids in Small VLDL percentage
Total-TG,1.10 [1.08-1.12],2.912e-27,***,Total-Triglycerides
HDL-TG,1.10 [1.08-1.11],2.094e-30,***,Triglycerides in HDL
XL-VLDL-TG%,1.10 [1.08-1.11],9.613e-27,***,Triglycerides to Total-Lipids in Very Large VLDL percentage
XL-VLDL-TG,1.10 [1.08-1.11],4.581e-26,***,Triglycerides in Very Large VLDL
M-HDL-TG,1.10 [1.08-1.11],3.733e-30,***,Triglycerides in Medium HDL
XXL-VLDL-P,1.09 [1.08-1.11],4.316e-24,***,Concentration of Chylomicrons and Extremely Large VLDL Particles
S-VLDL-TG,1.09 [1.08-1.11],9.022e-26,***,Triglycerides in Small VLDL
