Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-VLDL-TG%,1.15 [1.02-1.30],1.000,,Triglycerides to Total-Lipids in Medium VLDL percentage
S-HDL-TG%,1.14 [1.01-1.29],1.000,,Triglycerides to Total-Lipids in Small HDL percentage
M-LDL-TG%,1.10 [0.98-1.24],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
M-LDL-PL%,1.06 [0.94-1.19],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
S-LDL-CE%,1.04 [0.93-1.17],1.000,,Cholesteryl Esters to Total-Lipids in Small LDL percentage
M-LDL-FC%,0.91 [0.80-1.03],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
M-VLDL-PL%,0.90 [0.80-1.02],1.000,,Phospholipids to Total-Lipids in Medium VLDL percentage
M-VLDL-CE%,0.89 [0.79-1.01],1.000,,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
M-VLDL-FC%,0.89 [0.79-1.00],1.000,,Free Cholesterol to Total-Lipids in Medium VLDL percentage
M-VLDL-C%,0.89 [0.78-1.00],1.000,,Cholesterol to Total-Lipids in Medium VLDL percentage
