Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
XL-HDL-TG%,1.31 [1.17-1.47],0.870,,Triglycerides to Total-Lipids in Very Large HDL percentage
Ile,1.08 [0.97-1.19],1.000,,Isoleucine
Total-BCAA,1.07 [0.96-1.19],1.000,,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
Leu,1.04 [0.93-1.15],1.000,,Leucine
M-LDL-PL%,1.03 [0.93-1.14],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
Creatinine,0.98 [0.85-1.12],1.000,,Creatinine
Unsaturation,0.98 [0.87-1.10],1.000,,Degree of Unsaturation
M-LDL-FC%,0.87 [0.77-0.97],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
HDL-FC,0.85 [0.75-0.95],1.000,,Free Cholesterol in HDL
SFA%,0.80 [0.71-0.90],1.000,,Saturated Fatty Acids to Total-Fatty Acids percentage
