Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
L-LDL-TG%,1.09 [1.07-1.11],3.123e-17,***,Triglycerides to Total-Lipids in Large LDL percentage
IDL-TG%,1.08 [1.07-1.10],1.653e-15,***,Triglycerides to Total-Lipids in IDL percentage
L-HDL-PL%,1.08 [1.06-1.10],8.467e-12,***,Phospholipids to Total-Lipids in Large HDL percentage
XS-VLDL-TG%,1.08 [1.06-1.10],1.341e-13,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
M-LDL-TG%,1.08 [1.06-1.09],1.030e-13,***,Triglycerides to Total-Lipids in Medium LDL percentage
S-VLDL-TG%,1.07 [1.05-1.08],2.989e-09,***,Triglycerides to Total-Lipids in Small VLDL percentage
M-VLDL-TG%,1.07 [1.05-1.08],7.611e-09,***,Triglycerides to Total-Lipids in Medium VLDL percentage
S-LDL-TG%,1.06 [1.05-1.08],1.681e-07,***,Triglycerides to Total-Lipids in Small LDL percentage
M-HDL-PL%,1.05 [1.04-1.07],0.002,**,Phospholipids to Total-Lipids in Medium HDL percentage
GlycA,1.05 [1.04-1.07],5.615e-04,***,Glycoprotein Acetyls
XS-VLDL-PL%,1.05 [1.03-1.07],0.007,**,Phospholipids to Total-Lipids in Very Small VLDL percentage
XL-VLDL-TG%,1.05 [1.03-1.06],0.005,**,Triglycerides to Total-Lipids in Very Large VLDL percentage
S-VLDL-C,0.96 [0.94-0.97],0.039,*,Cholesterol in Small VLDL
XL-HDL-FC,0.96 [0.94-0.97],0.014,*,Free Cholesterol in Very Large HDL
VLDL-C,0.96 [0.94-0.97],0.016,*,VLDL Cholesterol
M-VLDL-P,0.96 [0.94-0.97],0.007,**,Concentration of Medium VLDL Particles
XL-HDL-P,0.96 [0.94-0.97],0.017,*,Concentration of Very Large HDL Particles
S-HDL-FC%,0.96 [0.94-0.97],0.009,**,Free Cholesterol to Total-Lipids in Small HDL percentage
L-VLDL-CE%,0.96 [0.94-0.97],0.018,*,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
Cholines,0.95 [0.94-0.97],0.050,*,Total-Cholines
XL-HDL-CE,0.95 [0.94-0.97],0.007,**,Cholesteryl Esters in Very Large HDL
XL-HDL-C,0.95 [0.94-0.97],0.005,**,Cholesterol in Very Large HDL
M-VLDL-PL,0.95 [0.94-0.97],0.001,**,Phospholipids in Medium VLDL
S-VLDL-CE%,0.95 [0.94-0.97],0.001,**,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
Omega-6,0.95 [0.94-0.97],0.009,**,Omega-6 Fatty Acids
VLDL-CE,0.95 [0.94-0.97],3.582e-04,***,Cholesteryl Esters in VLDL
PUFA,0.95 [0.94-0.97],0.005,**,Polyunsaturated Fatty Acids
XL-VLDL-FC%,0.95 [0.94-0.97],4.874e-04,***,Free Cholesterol to Total-Lipids in Very Large VLDL percentage
