Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
IDL-TG%,1.16 [1.11-1.21],1.289e-05,***,Triglycerides to Total-Lipids in IDL percentage
L-LDL-TG%,1.15 [1.10-1.20],9.612e-05,***,Triglycerides to Total-Lipids in Large LDL percentage
XS-VLDL-TG%,1.15 [1.10-1.20],3.792e-04,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
XS-VLDL-PL%,1.14 [1.09-1.19],4.596e-04,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
M-LDL-TG%,1.12 [1.08-1.17],0.020,*,Triglycerides to Total-Lipids in Medium LDL percentage
M-LDL-C%,0.90 [0.86-0.93],0.020,*,Cholesterol to Total-Lipids in Medium LDL percentage
S-LDL-C%,0.89 [0.86-0.93],0.018,*,Cholesterol to Total-Lipids in Small LDL percentage
L-LDL-FC,0.89 [0.86-0.93],0.030,*,Free Cholesterol in Large LDL
M-VLDL-PL%,0.89 [0.85-0.93],0.013,*,Phospholipids to Total-Lipids in Medium VLDL percentage
M-VLDL-CE%,0.89 [0.85-0.93],0.039,*,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
L-LDL-FC%,0.89 [0.85-0.93],0.023,*,Free Cholesterol to Total-Lipids in Large LDL percentage
M-VLDL-C%,0.89 [0.85-0.93],0.028,*,Cholesterol to Total-Lipids in Medium VLDL percentage
IDL-L,0.89 [0.85-0.93],0.010,*,Total-Lipids in IDL
IDL-CE%,0.89 [0.85-0.93],0.009,**,Cholesteryl Esters to Total-Lipids in IDL percentage
Total-C,0.89 [0.85-0.93],0.014,*,Total-Cholesterol
Total-CE,0.89 [0.85-0.92],0.010,**,Total-Esterified Cholesterol
S-VLDL-PL%,0.89 [0.85-0.92],0.007,**,Phospholipids to Total-Lipids in Small VLDL percentage
IDL-FC,0.89 [0.85-0.92],0.003,**,Free Cholesterol in IDL
IDL-CE,0.88 [0.85-0.92],0.002,**,Cholesteryl Esters in IDL
L-LDL-C%,0.88 [0.84-0.92],0.012,*,Cholesterol to Total-Lipids in Large LDL percentage
S-VLDL-FC%,0.88 [0.85-0.92],0.002,**,Free Cholesterol to Total-Lipids in Small VLDL percentage
IDL-C,0.88 [0.85-0.92],9.580e-04,***,Cholesterol in IDL
IDL-C%,0.88 [0.84-0.91],1.474e-04,***,Cholesterol to Total-Lipids in IDL percentage
XS-VLDL-C%,0.86 [0.83-0.90],9.725e-06,***,Cholesterol to Total-Lipids in Very Small VLDL percentage
XS-VLDL-CE%,0.86 [0.82-0.90],1.557e-06,***,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
