Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
IDL-TG%,1.54 [1.48-1.61],1.057e-82,***,Triglycerides to Total-Lipids in IDL percentage
L-LDL-TG%,1.53 [1.47-1.60],1.768e-80,***,Triglycerides to Total-Lipids in Large LDL percentage
XS-VLDL-TG%,1.49 [1.43-1.56],8.769e-64,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
XS-VLDL-PL%,1.47 [1.41-1.54],5.679e-62,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
L-HDL-PL%,1.43 [1.37-1.50],6.693e-50,***,Phospholipids to Total-Lipids in Large HDL percentage
M-LDL-TG%,1.43 [1.37-1.49],1.035e-60,***,Triglycerides to Total-Lipids in Medium LDL percentage
M-VLDL-TG%,1.42 [1.36-1.49],1.527e-48,***,Triglycerides to Total-Lipids in Medium VLDL percentage
M-HDL-PL%,1.41 [1.35-1.48],1.208e-47,***,Phospholipids to Total-Lipids in Medium HDL percentage
XL-HDL-FC%,1.39 [1.32-1.46],1.351e-33,***,Free Cholesterol to Total-Lipids in Very Large HDL percentage
MUFA%,1.37 [1.31-1.44],2.506e-33,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
S-VLDL-TG%,1.37 [1.31-1.43],2.409e-37,***,Triglycerides to Total-Lipids in Small VLDL percentage
S-LDL-TG%,1.34 [1.28-1.39],3.535e-36,***,Triglycerides to Total-Lipids in Small LDL percentage
L-HDL-TG%,1.33 [1.27-1.39],1.209e-27,***,Triglycerides to Total-Lipids in Large HDL percentage
XL-VLDL-TG%,1.31 [1.25-1.38],8.434e-22,***,Triglycerides to Total-Lipids in Very Large VLDL percentage
S-HDL-TG%,1.31 [1.25-1.37],1.050e-27,***,Triglycerides to Total-Lipids in Small HDL percentage
XL-HDL-TG%,1.28 [1.22-1.34],1.161e-21,***,Triglycerides to Total-Lipids in Very Large HDL percentage
TG/PG,1.28 [1.22-1.34],5.212e-20,***,Triglycerides to Phosphoglycerides ratio
M-HDL-TG%,1.27 [1.21-1.33],9.149e-20,***,Triglycerides to Total-Lipids in Medium HDL percentage
IDL-PL%,1.25 [1.20-1.30],9.150e-19,***,Phospholipids to Total-Lipids in IDL percentage
XXL-VLDL-PL%,1.22 [1.17-1.28],8.455e-13,***,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
GlycA,1.21 [1.15-1.26],3.112e-10,***,Glycoprotein Acetyls
L-VLDL-PL%,1.19 [1.13-1.25],1.231e-07,***,Phospholipids to Total-Lipids in Large VLDL percentage
Creatinine,1.18 [1.13-1.24],1.305e-05,***,Creatinine
S-HDL-TG,1.17 [1.13-1.22],5.166e-09,***,Triglycerides in Small HDL
XS-VLDL-TG,1.13 [1.08-1.17],0.003,**,Triglycerides in Very Small VLDL
XL-VLDL-PL%,0.89 [0.85-0.92],1.964e-04,***,Phospholipids to Total-Lipids in Very Large VLDL percentage
M-VLDL-P,0.88 [0.84-0.92],0.004,**,Concentration of Medium VLDL Particles
XS-VLDL-P,0.88 [0.84-0.92],8.323e-04,***,Concentration of Very Small VLDL Particles
LDL-size,0.88 [0.84-0.92],0.002,**,Average Diameter for LDL Particles
XS-VLDL-L,0.88 [0.84-0.91],4.199e-04,***,Total-Lipids in Very Small VLDL
S-LDL-CE%,0.88 [0.84-0.91],4.014e-04,***,Cholesteryl Esters to Total-Lipids in Small LDL percentage
S-HDL-CE%,0.87 [0.84-0.91],8.446e-05,***,Cholesteryl Esters to Total-Lipids in Small HDL percentage
Total-FA,0.87 [0.83-0.92],0.004,**,Total-Fatty Acids
L-LDL-CE%,0.87 [0.84-0.91],1.547e-05,***,Cholesteryl Esters to Total-Lipids in Large LDL percentage
VLDL-C,0.87 [0.83-0.91],6.089e-05,***,VLDL Cholesterol
M-VLDL-PL,0.87 [0.83-0.90],2.233e-05,***,Phospholipids in Medium VLDL
XS-VLDL-FC,0.87 [0.83-0.90],9.814e-06,***,Free Cholesterol in Very Small VLDL
XL-HDL-PL%,0.86 [0.82-0.90],6.941e-05,***,Phospholipids to Total-Lipids in Very Large HDL percentage
