Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
XL-HDL-FC%,1.32 [1.21-1.44],8.375e-05,***,Free Cholesterol to Total-Lipids in Very Large HDL percentage
XS-VLDL-TG%,1.31 [1.21-1.42],6.656e-06,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
IDL-TG%,1.30 [1.20-1.40],6.355e-06,***,Triglycerides to Total-Lipids in IDL percentage
MUFA%,1.29 [1.18-1.40],0.001,**,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
L-HDL-PL%,1.28 [1.18-1.39],5.269e-04,***,Phospholipids to Total-Lipids in Large HDL percentage
L-LDL-TG%,1.27 [1.18-1.38],2.461e-04,***,Triglycerides to Total-Lipids in Large LDL percentage
L-HDL-TG%,1.27 [1.17-1.38],0.003,**,Triglycerides to Total-Lipids in Large HDL percentage
M-HDL-PL%,1.27 [1.17-1.38],0.001,**,Phospholipids to Total-Lipids in Medium HDL percentage
M-VLDL-TG%,1.26 [1.17-1.36],0.002,**,Triglycerides to Total-Lipids in Medium VLDL percentage
XL-HDL-TG%,1.25 [1.16-1.35],0.008,**,Triglycerides to Total-Lipids in Very Large HDL percentage
S-HDL-TG%,1.24 [1.15-1.34],0.025,*,Triglycerides to Total-Lipids in Small HDL percentage
M-VLDL-FC%,0.81 [0.75-0.88],0.013,*,Free Cholesterol to Total-Lipids in Medium VLDL percentage
Total-C,0.81 [0.75-0.88],0.035,*,Total-Cholesterol
M-HDL-C%,0.81 [0.75-0.88],0.023,*,Cholesterol to Total-Lipids in Medium HDL percentage
IDL-CE,0.81 [0.75-0.87],0.016,*,Cholesteryl Esters in IDL
IDL-C,0.81 [0.75-0.87],0.014,*,Cholesterol in IDL
IDL-CE%,0.81 [0.75-0.87],0.003,**,Cholesteryl Esters to Total-Lipids in IDL percentage
Total-CE,0.81 [0.75-0.87],0.015,*,Total-Esterified Cholesterol
M-VLDL-CE%,0.80 [0.75-0.86],4.176e-04,***,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
IDL-C%,0.80 [0.75-0.86],4.937e-04,***,Cholesterol to Total-Lipids in IDL percentage
L-LDL-FC%,0.80 [0.74-0.86],6.448e-04,***,Free Cholesterol to Total-Lipids in Large LDL percentage
M-VLDL-C%,0.80 [0.74-0.86],7.135e-04,***,Cholesterol to Total-Lipids in Medium VLDL percentage
L-HDL-CE%,0.80 [0.74-0.86],0.002,**,Cholesteryl Esters to Total-Lipids in Large HDL percentage
ApoA1,0.80 [0.73-0.86],0.024,*,Apolipoprotein A1
M-HDL-FC,0.79 [0.73-0.86],0.016,*,Free Cholesterol in Medium HDL
S-VLDL-FC%,0.79 [0.73-0.85],1.894e-04,***,Free Cholesterol to Total-Lipids in Small VLDL percentage
S-VLDL-PL%,0.79 [0.73-0.85],2.682e-04,***,Phospholipids to Total-Lipids in Small VLDL percentage
HDL-PL,0.79 [0.72-0.86],0.009,**,Phospholipids in HDL
L-HDL-FC%,0.78 [0.73-0.85],3.241e-04,***,Free Cholesterol to Total-Lipids in Large HDL percentage
PUFA/MUFA,0.78 [0.72-0.85],0.003,**,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
L-HDL-C%,0.78 [0.72-0.84],5.268e-05,***,Cholesterol to Total-Lipids in Large HDL percentage
XS-VLDL-C%,0.77 [0.71-0.83],9.143e-07,***,Cholesterol to Total-Lipids in Very Small VLDL percentage
L-LDL-C%,0.76 [0.71-0.82],1.231e-06,***,Cholesterol to Total-Lipids in Large LDL percentage
HDL-L,0.76 [0.70-0.83],2.072e-04,***,Total-Lipids in HDL
LA%,0.76 [0.70-0.82],2.168e-06,***,Linoleic Acid to Total-Fatty Acids percentage
XS-VLDL-CE%,0.76 [0.71-0.82],1.489e-07,***,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
XL-HDL-FC,0.76 [0.70-0.82],1.009e-05,***,Free Cholesterol in Very Large HDL
HDL-CE,0.74 [0.68-0.80],1.170e-06,***,Cholesteryl Esters in HDL
HDL-C,0.73 [0.67-0.80],5.747e-07,***,HDL Cholesterol
HDL-FC,0.73 [0.67-0.80],1.107e-06,***,Free Cholesterol in HDL
XL-HDL-PL,0.73 [0.67-0.79],5.970e-07,***,Phospholipids in Very Large HDL
L-HDL-PL,0.73 [0.66-0.79],4.818e-07,***,Phospholipids in Large HDL
XL-HDL-L,0.72 [0.66-0.79],7.308e-08,***,Total-Lipids in Very Large HDL
HDL-size,0.72 [0.66-0.79],3.106e-07,***,Average Diameter for HDL Particles
XL-HDL-P,0.72 [0.66-0.78],5.677e-08,***,Concentration of Very Large HDL Particles
M-HDL-FC%,0.71 [0.65-0.77],1.129e-09,***,Free Cholesterol to Total-Lipids in Medium HDL percentage
XL-HDL-C,0.71 [0.65-0.78],7.568e-09,***,Cholesterol in Very Large HDL
L-HDL-L,0.71 [0.65-0.78],1.967e-08,***,Total-Lipids in Large HDL
L-HDL-FC,0.70 [0.64-0.77],9.527e-09,***,Free Cholesterol in Large HDL
L-HDL-P,0.70 [0.64-0.77],1.535e-08,***,Concentration of Large HDL Particles
XL-HDL-CE,0.70 [0.64-0.77],2.496e-09,***,Cholesteryl Esters in Very Large HDL
L-HDL-CE,0.70 [0.64-0.76],2.105e-09,***,Cholesteryl Esters in Large HDL
L-HDL-C,0.70 [0.64-0.76],1.844e-09,***,Cholesterol in Large HDL
