Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
L-LDL-TG%,1.22 [1.01-1.48],1.000,,Triglycerides to Total-Lipids in Large LDL percentage
L-HDL-TG%,1.18 [0.96-1.44],1.000,,Triglycerides to Total-Lipids in Large HDL percentage
M-LDL-PL%,1.13 [0.94-1.35],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
L-HDL-PL%,1.10 [0.90-1.36],1.000,,Phospholipids to Total-Lipids in Large HDL percentage
L-LDL-PL%,1.10 [0.92-1.31],1.000,,Phospholipids to Total-Lipids in Large LDL percentage
M-LDL-FC%,0.96 [0.79-1.17],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
VLDL-C,0.90 [0.76-1.08],1.000,,VLDL Cholesterol
Remnant-C,0.87 [0.72-1.04],1.000,,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
Total-C,0.80 [0.66-0.96],1.000,,Total-Cholesterol
HDL-CE,0.78 [0.63-0.95],1.000,,Cholesteryl Esters in HDL
