Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
MUFA%,1.26 [1.22-1.30],2.387e-43,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
XL-HDL-FC%,1.23 [1.19-1.27],1.173e-30,***,Free Cholesterol to Total-Lipids in Very Large HDL percentage
L-VLDL-PL%,1.22 [1.19-1.26],1.556e-33,***,Phospholipids to Total-Lipids in Large VLDL percentage
GlycA,1.22 [1.18-1.25],4.329e-35,***,Glycoprotein Acetyls
TG/PG,1.21 [1.18-1.25],3.527e-32,***,Triglycerides to Phosphoglycerides ratio
M-HDL-PL%,1.21 [1.18-1.25],2.209e-32,***,Phospholipids to Total-Lipids in Medium HDL percentage
S-HDL-TG%,1.21 [1.18-1.24],9.002e-34,***,Triglycerides to Total-Lipids in Small HDL percentage
L-HDL-TG%,1.21 [1.17-1.24],1.984e-29,***,Triglycerides to Total-Lipids in Large HDL percentage
M-HDL-TG%,1.19 [1.16-1.23],5.080e-28,***,Triglycerides to Total-Lipids in Medium HDL percentage
XL-HDL-TG%,1.19 [1.16-1.22],1.500e-26,***,Triglycerides to Total-Lipids in Very Large HDL percentage
VLDL-size,1.18 [1.14-1.21],2.031e-21,***,Average Diameter for VLDL Particles
S-HDL-TG,1.15 [1.12-1.19],1.847e-20,***,Triglycerides in Small HDL
L-VLDL-PL,1.15 [1.12-1.18],8.031e-19,***,Phospholipids in Large VLDL
XL-VLDL-L,1.15 [1.12-1.18],1.219e-17,***,Total-Lipids in Very Large VLDL
XXL-VLDL-CE,1.15 [1.12-1.18],7.898e-18,***,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL
L-HDL-PL%,1.15 [1.11-1.18],1.108e-12,***,Phospholipids to Total-Lipids in Large HDL percentage
XL-VLDL-P,1.14 [1.11-1.18],2.241e-17,***,Concentration of Very Large VLDL Particles
XS-VLDL-PL%,1.14 [1.11-1.18],5.517e-15,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
XL-VLDL-TG,1.14 [1.11-1.18],1.790e-16,***,Triglycerides in Very Large VLDL
L-VLDL-FC,1.14 [1.11-1.17],3.824e-17,***,Free Cholesterol in Large VLDL
XXL-VLDL-C,1.14 [1.11-1.17],8.809e-17,***,Cholesterol in Chylomicrons and Extremely Large VLDL
XL-VLDL-PL,1.14 [1.11-1.17],6.456e-17,***,Phospholipids in Very Large VLDL
VLDL-TG,1.14 [1.11-1.17],1.081e-15,***,Triglycerides in VLDL
IDL-TG%,1.14 [1.11-1.17],2.503e-14,***,Triglycerides to Total-Lipids in IDL percentage
L-VLDL-L,1.14 [1.11-1.17],1.032e-15,***,Total-Lipids in Large VLDL
XS-VLDL-TG%,1.14 [1.11-1.17],3.247e-13,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
Total-TG,1.14 [1.11-1.17],6.366e-15,***,Total-Triglycerides
L-VLDL-P,1.14 [1.11-1.17],3.796e-16,***,Concentration of Large VLDL Particles
XL-VLDL-FC,1.14 [1.11-1.17],7.290e-16,***,Free Cholesterol in Very Large VLDL
XXL-VLDL-PL,1.14 [1.11-1.17],2.615e-15,***,Phospholipids in Chylomicrons and Extremely Large VLDL
XL-VLDL-C,1.14 [1.11-1.17],2.736e-15,***,Cholesterol in Very Large VLDL
XXL-VLDL-FC,1.13 [1.10-1.17],1.716e-14,***,Free Cholesterol in Chylomicrons and Extremely Large VLDL
XXL-VLDL-L,1.13 [1.10-1.17],1.534e-13,***,Total-Lipids in Chylomicrons and Extremely Large VLDL
L-LDL-TG%,1.13 [1.10-1.17],5.652e-12,***,Triglycerides to Total-Lipids in Large LDL percentage
S-VLDL-TG,1.13 [1.10-1.16],2.282e-14,***,Triglycerides in Small VLDL
XXL-VLDL-P,1.13 [1.10-1.16],7.055e-14,***,Concentration of Chylomicrons and Extremely Large VLDL Particles
L-VLDL-C,1.13 [1.10-1.16],1.519e-14,***,Cholesterol in Large VLDL
VLDL-L,1.13 [1.10-1.16],3.733e-12,***,Total-Lipids in VLDL
L-VLDL-TG,1.13 [1.10-1.16],1.994e-12,***,Triglycerides in Large VLDL
XL-VLDL-CE,1.13 [1.10-1.16],2.185e-13,***,Cholesteryl Esters in Very Large VLDL
M-VLDL-TG,1.13 [1.10-1.16],1.859e-12,***,Triglycerides in Medium VLDL
XXL-VLDL-TG,1.12 [1.09-1.15],8.938e-11,***,Triglycerides in Chylomicrons and Extremely Large VLDL
MUFA,1.12 [1.09-1.15],1.507e-09,***,Monounsaturated Fatty Acids
S-LDL-TG,1.12 [1.09-1.15],2.735e-11,***,Triglycerides in Small LDL
S-LDL-TG%,1.12 [1.09-1.15],3.384e-10,***,Triglycerides to Total-Lipids in Small LDL percentage
M-VLDL-TG%,1.12 [1.09-1.15],2.613e-09,***,Triglycerides to Total-Lipids in Medium VLDL percentage
L-VLDL-CE,1.12 [1.09-1.15],6.798e-11,***,Cholesteryl Esters in Large VLDL
VLDL-PL,1.11 [1.08-1.14],1.276e-09,***,Phospholipids in VLDL
M-LDL-TG,1.11 [1.08-1.14],1.795e-09,***,Triglycerides in Medium LDL
XS-VLDL-TG,1.11 [1.08-1.14],2.786e-09,***,Triglycerides in Very Small VLDL
S-VLDL-P,1.11 [1.08-1.14],1.920e-09,***,Concentration of Small VLDL Particles
ApoB/ApoA1,1.11 [1.08-1.14],2.287e-08,***,Apolipoprotein B to Apolipoprotein A1 ratio
S-VLDL-L,1.11 [1.08-1.14],1.172e-08,***,Total-Lipids in Small VLDL
LDL-TG,1.11 [1.08-1.14],9.581e-08,***,Triglycerides in LDL
XXL-VLDL-PL%,1.10 [1.07-1.13],3.253e-06,***,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
VLDL-FC,1.10 [1.07-1.13],2.379e-06,***,Free Cholesterol in VLDL
L-LDL-TG,1.10 [1.07-1.12],7.768e-06,***,Triglycerides in Large LDL
M-LDL-TG%,1.09 [1.06-1.12],1.203e-04,***,Triglycerides to Total-Lipids in Medium LDL percentage
XL-VLDL-TG%,1.09 [1.06-1.12],4.317e-04,***,Triglycerides to Total-Lipids in Very Large VLDL percentage
S-LDL-CE%,1.09 [1.06-1.12],2.327e-04,***,Cholesteryl Esters to Total-Lipids in Small LDL percentage
IDL-TG,1.09 [1.06-1.12],4.054e-05,***,Triglycerides in IDL
M-LDL-CE%,1.09 [1.06-1.12],4.474e-04,***,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
M-VLDL-L,1.09 [1.06-1.12],1.018e-04,***,Total-Lipids in Medium VLDL
VLDL-P,1.09 [1.06-1.12],1.019e-04,***,Concentration of VLDL Particles
L-VLDL-FC%,1.09 [1.06-1.12],2.759e-04,***,Free Cholesterol to Total-Lipids in Large VLDL percentage
S-VLDL-TG%,1.09 [1.06-1.12],0.002,**,Triglycerides to Total-Lipids in Small VLDL percentage
S-VLDL-CE,1.08 [1.06-1.11],2.045e-04,***,Cholesteryl Esters in Small VLDL
Omega-6/Omega-3,1.08 [1.05-1.11],0.024,*,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
HDL-TG,1.08 [1.05-1.11],0.003,**,Triglycerides in HDL
VLDL-C,1.08 [1.05-1.11],0.006,**,VLDL Cholesterol
M-HDL-TG,1.08 [1.05-1.11],0.009,**,Triglycerides in Medium HDL
S-VLDL-PL,1.07 [1.05-1.10],0.024,*,Phospholipids in Small VLDL
S-VLDL-C,1.07 [1.05-1.10],0.035,*,Cholesterol in Small VLDL
Albumin,0.93 [0.90-0.95],0.041,*,Albumin
PC,0.92 [0.90-0.95],0.026,*,Phosphatidylcholines
IDL-FC%,0.92 [0.90-0.95],0.007,**,Free Cholesterol to Total-Lipids in IDL percentage
S-LDL-PL%,0.92 [0.90-0.95],0.002,**,Phospholipids to Total-Lipids in Small LDL percentage
IDL-CE%,0.92 [0.89-0.94],3.363e-04,***,Cholesteryl Esters to Total-Lipids in IDL percentage
S-HDL-C%,0.92 [0.89-0.94],1.086e-04,***,Cholesterol to Total-Lipids in Small HDL percentage
XL-VLDL-FC%,0.91 [0.89-0.94],1.026e-04,***,Free Cholesterol to Total-Lipids in Very Large VLDL percentage
M-VLDL-FC%,0.91 [0.89-0.94],5.512e-05,***,Free Cholesterol to Total-Lipids in Medium VLDL percentage
XL-VLDL-CE%,0.90 [0.88-0.93],1.140e-06,***,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
IDL-C%,0.90 [0.88-0.93],8.434e-08,***,Cholesterol to Total-Lipids in IDL percentage
XL-VLDL-C%,0.90 [0.88-0.93],3.305e-07,***,Cholesterol to Total-Lipids in Very Large VLDL percentage
S-HDL-FC%,0.90 [0.88-0.93],2.882e-07,***,Free Cholesterol to Total-Lipids in Small HDL percentage
Omega-6%,0.90 [0.87-0.93],1.121e-06,***,Omega-6 Fatty Acids to Total-Fatty Acids percentage
S-LDL-FC%,0.90 [0.88-0.92],1.432e-09,***,Free Cholesterol to Total-Lipids in Small LDL percentage
M-VLDL-CE%,0.90 [0.87-0.92],5.115e-08,***,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
M-VLDL-C%,0.90 [0.87-0.92],4.239e-08,***,Cholesterol to Total-Lipids in Medium VLDL percentage
S-VLDL-FC%,0.89 [0.87-0.92],2.101e-09,***,Free Cholesterol to Total-Lipids in Small VLDL percentage
S-VLDL-PL%,0.89 [0.87-0.92],1.123e-09,***,Phospholipids to Total-Lipids in Small VLDL percentage
Omega-3%,0.89 [0.87-0.92],1.932e-09,***,Omega-3 Fatty Acids to Total-Fatty Acids percentage
Total-P,0.89 [0.87-0.92],2.336e-09,***,Total-Concentration of Lipoprotein Particles
XL-HDL-PL%,0.89 [0.86-0.92],2.874e-08,***,Phospholipids to Total-Lipids in Very Large HDL percentage
M-HDL-PL,0.89 [0.86-0.92],1.541e-09,***,Phospholipids in Medium HDL
L-HDL-FC%,0.89 [0.86-0.91],1.142e-08,***,Free Cholesterol to Total-Lipids in Large HDL percentage
HDL-P,0.88 [0.86-0.91],5.086e-12,***,Concentration of HDL Particles
XS-VLDL-C%,0.88 [0.85-0.90],3.452e-13,***,Cholesterol to Total-Lipids in Very Small VLDL percentage
L-LDL-FC%,0.88 [0.85-0.90],1.536e-15,***,Free Cholesterol to Total-Lipids in Large LDL percentage
DHA,0.87 [0.85-0.90],3.214e-13,***,Docosahexaenoic Acid
M-HDL-L,0.87 [0.85-0.90],6.298e-14,***,Total-Lipids in Medium HDL
XS-VLDL-CE%,0.87 [0.85-0.90],3.905e-15,***,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
L-LDL-C%,0.87 [0.85-0.90],2.026e-15,***,Cholesterol to Total-Lipids in Large LDL percentage
M-HDL-P,0.86 [0.84-0.89],1.254e-17,***,Concentration of Medium HDL Particles
