Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
IDL-TG%,1.13 [1.11-1.14],1.978e-61,***,Triglycerides to Total-Lipids in IDL percentage
XS-VLDL-TG%,1.12 [1.11-1.14],1.066e-57,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
L-LDL-TG%,1.12 [1.10-1.13],2.464e-55,***,Triglycerides to Total-Lipids in Large LDL percentage
L-HDL-PL%,1.12 [1.10-1.13],9.225e-45,***,Phospholipids to Total-Lipids in Large HDL percentage
MUFA%,1.12 [1.10-1.13],1.888e-45,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
M-LDL-TG%,1.11 [1.09-1.12],2.928e-47,***,Triglycerides to Total-Lipids in Medium LDL percentage
M-HDL-PL%,1.10 [1.09-1.12],2.284e-35,***,Phospholipids to Total-Lipids in Medium HDL percentage
M-VLDL-TG%,1.10 [1.09-1.12],7.498e-42,***,Triglycerides to Total-Lipids in Medium VLDL percentage
S-LDL-TG%,1.10 [1.08-1.11],3.363e-40,***,Triglycerides to Total-Lipids in Small LDL percentage
XS-VLDL-PL%,1.09 [1.08-1.11],2.659e-35,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
XL-HDL-TG%,1.09 [1.08-1.11],2.300e-30,***,Triglycerides to Total-Lipids in Very Large HDL percentage
S-VLDL-TG%,1.09 [1.08-1.11],1.970e-35,***,Triglycerides to Total-Lipids in Small VLDL percentage
TG/PG,1.09 [1.07-1.10],5.106e-27,***,Triglycerides to Phosphoglycerides ratio
GlycA,1.09 [1.07-1.10],4.939e-28,***,Glycoprotein Acetyls
S-HDL-TG%,1.08 [1.07-1.10],4.645e-27,***,Triglycerides to Total-Lipids in Small HDL percentage
L-HDL-TG%,1.08 [1.07-1.10],4.459e-22,***,Triglycerides to Total-Lipids in Large HDL percentage
S-HDL-TG,1.07 [1.06-1.09],3.151e-22,***,Triglycerides in Small HDL
XL-VLDL-TG%,1.07 [1.06-1.09],1.632e-22,***,Triglycerides to Total-Lipids in Very Large VLDL percentage
XL-HDL-FC%,1.07 [1.05-1.09],9.131e-13,***,Free Cholesterol to Total-Lipids in Very Large HDL percentage
M-HDL-TG%,1.07 [1.05-1.08],1.505e-17,***,Triglycerides to Total-Lipids in Medium HDL percentage
VLDL-size,1.07 [1.05-1.08],1.459e-14,***,Average Diameter for VLDL Particles
XL-VLDL-TG,1.07 [1.05-1.08],1.173e-15,***,Triglycerides in Very Large VLDL
XXL-VLDL-P,1.06 [1.05-1.08],6.313e-13,***,Concentration of Chylomicrons and Extremely Large VLDL Particles
S-VLDL-TG,1.06 [1.05-1.07],1.662e-14,***,Triglycerides in Small VLDL
XXL-VLDL-PL,1.06 [1.05-1.07],1.376e-12,***,Phospholipids in Chylomicrons and Extremely Large VLDL
S-LDL-TG,1.06 [1.05-1.07],2.552e-12,***,Triglycerides in Small LDL
XXL-VLDL-TG,1.06 [1.05-1.07],1.429e-11,***,Triglycerides in Chylomicrons and Extremely Large VLDL
Total-TG,1.06 [1.05-1.07],3.050e-12,***,Total-Triglycerides
XS-VLDL-TG,1.06 [1.05-1.07],1.618e-13,***,Triglycerides in Very Small VLDL
VLDL-TG,1.06 [1.04-1.07],1.219e-11,***,Triglycerides in VLDL
XXL-VLDL-L,1.06 [1.04-1.07],5.823e-11,***,Total-Lipids in Chylomicrons and Extremely Large VLDL
M-LDL-TG,1.06 [1.04-1.07],1.638e-11,***,Triglycerides in Medium LDL
XL-VLDL-P,1.06 [1.04-1.07],1.489e-10,***,Concentration of Very Large VLDL Particles
XL-VLDL-L,1.05 [1.04-1.07],4.479e-10,***,Total-Lipids in Very Large VLDL
XXL-VLDL-FC,1.05 [1.04-1.07],1.280e-09,***,Free Cholesterol in Chylomicrons and Extremely Large VLDL
LDL-TG,1.05 [1.04-1.07],7.327e-10,***,Triglycerides in LDL
MUFA,1.05 [1.04-1.07],1.440e-07,***,Monounsaturated Fatty Acids
L-VLDL-TG,1.05 [1.04-1.06],3.763e-08,***,Triglycerides in Large VLDL
L-VLDL-PL%,1.05 [1.04-1.06],4.971e-10,***,Phospholipids to Total-Lipids in Large VLDL percentage
L-VLDL-PL,1.05 [1.04-1.06],4.387e-08,***,Phospholipids in Large VLDL
L-LDL-TG,1.05 [1.04-1.06],3.789e-08,***,Triglycerides in Large LDL
XXL-VLDL-C,1.05 [1.04-1.06],2.073e-07,***,Cholesterol in Chylomicrons and Extremely Large VLDL
IDL-TG,1.05 [1.04-1.06],6.083e-08,***,Triglycerides in IDL
XL-VLDL-PL,1.05 [1.03-1.06],4.324e-07,***,Phospholipids in Very Large VLDL
HDL-TG,1.05 [1.03-1.06],5.895e-08,***,Triglycerides in HDL
M-HDL-TG,1.05 [1.03-1.06],4.314e-08,***,Triglycerides in Medium HDL
L-VLDL-P,1.05 [1.03-1.06],8.166e-07,***,Concentration of Large VLDL Particles
L-VLDL-L,1.04 [1.03-1.06],8.988e-06,***,Total-Lipids in Large VLDL
XXL-VLDL-CE,1.04 [1.03-1.06],1.692e-05,***,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL
M-VLDL-TG,1.04 [1.03-1.06],2.519e-05,***,Triglycerides in Medium VLDL
XL-VLDL-FC,1.04 [1.03-1.06],2.069e-04,***,Free Cholesterol in Very Large VLDL
L-VLDL-FC,1.04 [1.03-1.05],2.579e-04,***,Free Cholesterol in Large VLDL
IDL-PL%,1.04 [1.03-1.05],1.458e-04,***,Phospholipids to Total-Lipids in IDL percentage
XXL-VLDL-PL%,1.03 [1.02-1.05],0.002,**,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
S-LDL-C,0.97 [0.95-0.98],0.017,*,Cholesterol in Small LDL
ApoB,0.97 [0.95-0.98],0.015,*,Apolipoprotein B
XXL-VLDL-FC%,0.97 [0.95-0.98],0.018,*,Free Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
