Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
IDL-TG%,1.29 [1.18-1.41],0.016,*,Triglycerides to Total-Lipids in IDL percentage
L-LDL-TG%,1.29 [1.17-1.41],0.020,*,Triglycerides to Total-Lipids in Large LDL percentage
XS-VLDL-TG%,1.28 [1.16-1.40],0.114,,Triglycerides to Total-Lipids in Very Small VLDL percentage
M-HDL-PL%,1.28 [1.16-1.40],0.165,,Phospholipids to Total-Lipids in Medium HDL percentage
M-LDL-TG%,1.25 [1.14-1.36],0.178,,Triglycerides to Total-Lipids in Medium LDL percentage
S-LDL-C%,0.81 [0.74-0.88],0.139,,Cholesterol to Total-Lipids in Small LDL percentage
S-VLDL-PL%,0.79 [0.72-0.86],0.060,,Phospholipids to Total-Lipids in Small VLDL percentage
XS-VLDL-CE%,0.78 [0.72-0.86],0.047,*,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
S-VLDL-FC%,0.78 [0.72-0.86],0.027,*,Free Cholesterol to Total-Lipids in Small VLDL percentage
XS-VLDL-C%,0.78 [0.71-0.86],0.035,*,Cholesterol to Total-Lipids in Very Small VLDL percentage
