Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-LDL-TG%,1.48 [1.36-1.60],1.700e-15,***,Triglycerides to Total-Lipids in Medium LDL percentage
L-LDL-TG%,1.47 [1.35-1.60],2.579e-13,***,Triglycerides to Total-Lipids in Large LDL percentage
S-HDL-PL%,1.40 [1.27-1.53],7.929e-07,***,Phospholipids to Total-Lipids in Small HDL percentage
IDL-TG%,1.38 [1.26-1.50],7.070e-08,***,Triglycerides to Total-Lipids in IDL percentage
XS-VLDL-PL%,1.37 [1.25-1.49],9.192e-07,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
S-VLDL-TG%,1.31 [1.20-1.44],0.001,**,Triglycerides to Total-Lipids in Small VLDL percentage
S-LDL-PL%,1.30 [1.19-1.42],7.815e-04,***,Phospholipids to Total-Lipids in Small LDL percentage
S-LDL-TG%,1.30 [1.19-1.41],6.343e-04,***,Triglycerides to Total-Lipids in Small LDL percentage
IDL-PL%,1.27 [1.17-1.38],0.008,**,Phospholipids to Total-Lipids in IDL percentage
S-VLDL-CE%,0.80 [0.74-0.86],0.011,*,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
Total-L,0.79 [0.72-0.86],0.022,*,Total-Lipids in Lipoprotein Particles
IDL-PL,0.79 [0.72-0.86],0.016,*,Phospholipids in IDL
M-LDL-CE%,0.79 [0.72-0.86],0.017,*,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
XL-HDL-CE%,0.78 [0.72-0.85],0.005,**,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
S-HDL-CE%,0.78 [0.72-0.85],0.001,**,Cholesteryl Esters to Total-Lipids in Small HDL percentage
S-VLDL-CE,0.78 [0.72-0.85],0.010,*,Cholesteryl Esters in Small VLDL
S-HDL-C%,0.78 [0.72-0.85],0.003,**,Cholesterol to Total-Lipids in Small HDL percentage
XL-VLDL-CE,0.78 [0.71-0.85],0.031,*,Cholesteryl Esters in Very Large VLDL
XS-VLDL-CE%,0.78 [0.72-0.84],4.408e-04,***,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
XS-VLDL-C%,0.78 [0.72-0.84],4.721e-04,***,Cholesterol to Total-Lipids in Very Small VLDL percentage
VLDL-C,0.78 [0.71-0.85],0.002,**,VLDL Cholesterol
