Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
IDL-TG%,1.16 [1.14-1.18],2.462e-47,***,Triglycerides to Total-Lipids in IDL percentage
L-LDL-TG%,1.16 [1.13-1.18],1.119e-45,***,Triglycerides to Total-Lipids in Large LDL percentage
L-HDL-PL%,1.15 [1.12-1.17],7.185e-34,***,Phospholipids to Total-Lipids in Large HDL percentage
XS-VLDL-TG%,1.14 [1.12-1.16],3.250e-37,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
M-LDL-TG%,1.13 [1.11-1.16],1.348e-37,***,Triglycerides to Total-Lipids in Medium LDL percentage
S-LDL-TG%,1.12 [1.10-1.14],6.526e-30,***,Triglycerides to Total-Lipids in Small LDL percentage
M-HDL-PL%,1.12 [1.10-1.14],1.071e-23,***,Phospholipids to Total-Lipids in Medium HDL percentage
MUFA%,1.12 [1.10-1.14],2.494e-22,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
M-VLDL-TG%,1.12 [1.10-1.14],3.839e-26,***,Triglycerides to Total-Lipids in Medium VLDL percentage
S-VLDL-TG%,1.11 [1.09-1.13],3.453e-25,***,Triglycerides to Total-Lipids in Small VLDL percentage
XL-HDL-TG%,1.10 [1.07-1.12],7.791e-15,***,Triglycerides to Total-Lipids in Very Large HDL percentage
XS-VLDL-PL%,1.09 [1.07-1.11],3.091e-15,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
L-HDL-TG%,1.09 [1.07-1.11],1.272e-12,***,Triglycerides to Total-Lipids in Large HDL percentage
S-HDL-TG%,1.09 [1.07-1.11],1.170e-12,***,Triglycerides to Total-Lipids in Small HDL percentage
S-HDL-TG,1.08 [1.06-1.10],3.282e-13,***,Triglycerides in Small HDL
XL-VLDL-TG%,1.08 [1.06-1.10],4.039e-12,***,Triglycerides to Total-Lipids in Very Large VLDL percentage
M-HDL-TG%,1.08 [1.06-1.10],2.535e-10,***,Triglycerides to Total-Lipids in Medium HDL percentage
TG/PG,1.08 [1.06-1.10],1.597e-08,***,Triglycerides to Phosphoglycerides ratio
GlycA,1.08 [1.06-1.10],2.601e-09,***,Glycoprotein Acetyls
SFA%,1.08 [1.06-1.10],4.104e-09,***,Saturated Fatty Acids to Total-Fatty Acids percentage
M-HDL-TG,1.07 [1.05-1.09],6.682e-10,***,Triglycerides in Medium HDL
XS-VLDL-TG,1.07 [1.05-1.09],5.206e-08,***,Triglycerides in Very Small VLDL
HDL-TG,1.07 [1.05-1.09],1.302e-07,***,Triglycerides in HDL
IDL-TG,1.06 [1.04-1.08],1.595e-05,***,Triglycerides in IDL
XL-VLDL-TG,1.06 [1.04-1.08],9.330e-04,***,Triglycerides in Very Large VLDL
S-HDL-PL%,1.06 [1.04-1.08],0.001,**,Phospholipids to Total-Lipids in Small HDL percentage
LDL-TG,1.06 [1.04-1.08],4.277e-04,***,Triglycerides in LDL
S-VLDL-TG,1.06 [1.04-1.08],2.859e-04,***,Triglycerides in Small VLDL
L-LDL-TG,1.06 [1.04-1.08],3.314e-04,***,Triglycerides in Large LDL
XXL-VLDL-PL,1.06 [1.04-1.08],0.002,**,Phospholipids in Chylomicrons and Extremely Large VLDL
XXL-VLDL-P,1.06 [1.04-1.08],0.003,**,Concentration of Chylomicrons and Extremely Large VLDL Particles
M-LDL-TG,1.06 [1.04-1.08],0.001,**,Triglycerides in Medium LDL
XXL-VLDL-PL%,1.06 [1.04-1.07],1.434e-04,***,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
L-VLDL-PL%,1.06 [1.04-1.07],5.326e-04,***,Phospholipids to Total-Lipids in Large VLDL percentage
Total-TG,1.06 [1.04-1.08],0.004,**,Total-Triglycerides
IDL-PL%,1.05 [1.04-1.07],0.002,**,Phospholipids to Total-Lipids in IDL percentage
S-LDL-TG,1.05 [1.03-1.07],0.012,*,Triglycerides in Small LDL
XXL-VLDL-L,1.05 [1.03-1.07],0.024,*,Total-Lipids in Chylomicrons and Extremely Large VLDL
XXL-VLDL-TG,1.05 [1.03-1.07],0.033,*,Triglycerides in Chylomicrons and Extremely Large VLDL
M-LDL-PL,0.95 [0.93-0.97],0.014,*,Phospholipids in Medium LDL
Albumin,0.95 [0.93-0.97],0.026,*,Albumin
M-LDL-L,0.95 [0.93-0.97],0.010,*,Total-Lipids in Medium LDL
S-LDL-CE,0.95 [0.93-0.97],0.006,**,Cholesteryl Esters in Small LDL
S-LDL-P,0.95 [0.93-0.97],0.002,**,Concentration of Small LDL Particles
L-LDL-P,0.95 [0.93-0.97],0.002,**,Concentration of Large LDL Particles
XS-VLDL-C,0.95 [0.93-0.97],0.002,**,Cholesterol in Very Small VLDL
LDL-P,0.95 [0.93-0.96],2.336e-04,***,Concentration of LDL Particles
M-LDL-C,0.95 [0.93-0.96],2.193e-04,***,Cholesterol in Medium LDL
SM,0.95 [0.93-0.96],0.001,**,Sphingomyelins
HDL-C,0.95 [0.93-0.96],0.009,**,HDL Cholesterol
S-LDL-L,0.94 [0.93-0.96],1.431e-04,***,Total-Lipids in Small LDL
HDL-CE,0.94 [0.93-0.96],0.004,**,Cholesteryl Esters in HDL
ApoB,0.94 [0.93-0.96],3.490e-05,***,Apolipoprotein B
Citrate,0.94 [0.93-0.96],8.224e-05,***,Citrate
M-LDL-P,0.94 [0.93-0.96],2.238e-05,***,Concentration of Medium LDL Particles
HDL-size,0.94 [0.92-0.96],0.001,**,Average Diameter for HDL Particles
S-LDL-PL,0.94 [0.93-0.96],6.644e-06,***,Phospholipids in Small LDL
LDL-CE,0.94 [0.92-0.96],9.589e-06,***,Cholesteryl Esters in LDL
Remnant-C,0.94 [0.92-0.96],3.290e-06,***,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
XS-VLDL-CE,0.94 [0.92-0.96],2.432e-06,***,Cholesteryl Esters in Very Small VLDL
S-LDL-C,0.94 [0.92-0.96],2.234e-06,***,Cholesterol in Small LDL
L-HDL-L,0.94 [0.92-0.96],2.554e-04,***,Total-Lipids in Large HDL
