Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
Creatinine,1.75 [1.63-1.87],8.221e-52,***,Creatinine
XS-VLDL-TG%,1.73 [1.61-1.87],7.306e-43,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
L-LDL-TG%,1.70 [1.59-1.83],3.086e-44,***,Triglycerides to Total-Lipids in Large LDL percentage
IDL-TG%,1.69 [1.58-1.82],1.057e-43,***,Triglycerides to Total-Lipids in IDL percentage
XL-VLDL-TG%,1.67 [1.52-1.83],1.136e-20,***,Triglycerides to Total-Lipids in Very Large VLDL percentage
M-LDL-TG%,1.63 [1.53-1.74],4.972e-41,***,Triglycerides to Total-Lipids in Medium LDL percentage
MUFA%,1.62 [1.50-1.76],5.241e-26,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
M-VLDL-TG%,1.60 [1.49-1.73],2.588e-29,***,Triglycerides to Total-Lipids in Medium VLDL percentage
S-VLDL-TG%,1.60 [1.48-1.73],4.547e-27,***,Triglycerides to Total-Lipids in Small VLDL percentage
S-LDL-TG%,1.59 [1.48-1.70],7.095e-34,***,Triglycerides to Total-Lipids in Small LDL percentage
L-HDL-PL%,1.57 [1.46-1.68],9.940e-30,***,Phospholipids to Total-Lipids in Large HDL percentage
GlycA,1.49 [1.38-1.61],1.331e-18,***,Glycoprotein Acetyls
XL-HDL-TG%,1.48 [1.37-1.59],7.672e-20,***,Triglycerides to Total-Lipids in Very Large HDL percentage
XS-VLDL-PL%,1.45 [1.35-1.56],1.191e-17,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
M-HDL-PL%,1.41 [1.31-1.52],2.001e-14,***,Phospholipids to Total-Lipids in Medium HDL percentage
TG/PG,1.41 [1.30-1.52],4.531e-13,***,Triglycerides to Phosphoglycerides ratio
L-HDL-TG%,1.40 [1.30-1.52],6.218e-12,***,Triglycerides to Total-Lipids in Large HDL percentage
S-HDL-TG%,1.40 [1.30-1.52],1.102e-12,***,Triglycerides to Total-Lipids in Small HDL percentage
S-HDL-TG,1.37 [1.28-1.47],1.549e-14,***,Triglycerides in Small HDL
VLDL-size,1.33 [1.23-1.44],5.897e-07,***,Average Diameter for VLDL Particles
M-HDL-TG%,1.32 [1.22-1.43],9.408e-07,***,Triglycerides to Total-Lipids in Medium HDL percentage
XXL-VLDL-PL,1.30 [1.22-1.39],7.797e-10,***,Phospholipids in Chylomicrons and Extremely Large VLDL
XXL-VLDL-TG,1.30 [1.22-1.39],1.976e-09,***,Triglycerides in Chylomicrons and Extremely Large VLDL
XL-VLDL-TG,1.30 [1.22-1.40],7.609e-09,***,Triglycerides in Very Large VLDL
SFA%,1.30 [1.20-1.40],6.610e-06,***,Saturated Fatty Acids to Total-Fatty Acids percentage
XXL-VLDL-P,1.30 [1.22-1.39],8.250e-10,***,Concentration of Chylomicrons and Extremely Large VLDL Particles
XXL-VLDL-L,1.30 [1.21-1.39],1.665e-08,***,Total-Lipids in Chylomicrons and Extremely Large VLDL
S-LDL-TG,1.29 [1.20-1.37],1.597e-08,***,Triglycerides in Small LDL
M-LDL-TG,1.28 [1.20-1.37],3.766e-08,***,Triglycerides in Medium LDL
XXL-VLDL-FC,1.28 [1.20-1.36],1.581e-07,***,Free Cholesterol in Chylomicrons and Extremely Large VLDL
XS-VLDL-TG,1.28 [1.20-1.36],8.779e-08,***,Triglycerides in Very Small VLDL
S-VLDL-TG,1.28 [1.19-1.37],1.004e-06,***,Triglycerides in Small VLDL
Total-TG,1.27 [1.19-1.37],1.675e-05,***,Total-Triglycerides
VLDL-TG,1.26 [1.18-1.36],6.476e-05,***,Triglycerides in VLDL
HDL-TG,1.26 [1.18-1.35],5.852e-06,***,Triglycerides in HDL
MUFA,1.26 [1.17-1.36],9.883e-04,***,Monounsaturated Fatty Acids
M-HDL-TG,1.26 [1.18-1.35],6.833e-06,***,Triglycerides in Medium HDL
XL-HDL-FC%,1.26 [1.16-1.37],0.014,*,Free Cholesterol to Total-Lipids in Very Large HDL percentage
LDL-TG,1.25 [1.17-1.34],9.262e-06,***,Triglycerides in LDL
XXL-VLDL-C,1.25 [1.16-1.33],6.453e-05,***,Cholesterol in Chylomicrons and Extremely Large VLDL
XL-VLDL-L,1.24 [1.16-1.33],5.279e-04,***,Total-Lipids in Very Large VLDL
XL-VLDL-P,1.24 [1.16-1.33],1.561e-04,***,Concentration of Very Large VLDL Particles
L-LDL-TG,1.23 [1.15-1.31],4.598e-04,***,Triglycerides in Large LDL
Phe,1.22 [1.14-1.31],0.001,**,Phenylalanine
L-VLDL-TG%,1.22 [1.14-1.31],0.017,*,Triglycerides to Total-Lipids in Large VLDL percentage
XXL-VLDL-CE,1.22 [1.13-1.30],0.008,**,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL
IDL-TG,1.21 [1.13-1.29],0.009,**,Triglycerides in IDL
XL-VLDL-PL%,0.84 [0.79-0.90],0.048,*,Phospholipids to Total-Lipids in Very Large VLDL percentage
M-VLDL-FC,0.82 [0.76-0.88],0.044,*,Free Cholesterol in Medium VLDL
L-LDL-PL%,0.82 [0.77-0.88],0.006,**,Phospholipids to Total-Lipids in Large LDL percentage
S-LDL-PL,0.82 [0.76-0.88],0.007,**,Phospholipids in Small LDL
XL-HDL-PL%,0.81 [0.76-0.87],0.002,**,Phospholipids to Total-Lipids in Very Large HDL percentage
S-HDL-FC%,0.81 [0.75-0.87],0.026,*,Free Cholesterol to Total-Lipids in Small HDL percentage
M-LDL-C,0.81 [0.75-0.87],0.003,**,Cholesterol in Medium LDL
Gly,0.81 [0.75-0.87],0.011,*,Glycine
M-LDL-P,0.81 [0.75-0.87],0.003,**,Concentration of Medium LDL Particles
LA,0.80 [0.74-0.86],0.001,**,Linoleic Acid
S-LDL-C,0.80 [0.74-0.86],3.618e-04,***,Cholesterol in Small LDL
LDL-P,0.79 [0.74-0.85],2.034e-04,***,Concentration of LDL Particles
XL-HDL-CE%,0.79 [0.74-0.85],7.205e-05,***,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
L-LDL-P,0.79 [0.73-0.85],5.611e-05,***,Concentration of Large LDL Particles
ApoB,0.79 [0.73-0.85],1.336e-05,***,Apolipoprotein B
LDL-CE,0.79 [0.73-0.85],1.892e-05,***,Cholesteryl Esters in LDL
L-HDL-PL,0.79 [0.72-0.86],0.020,*,Phospholipids in Large HDL
S-HDL-CE%,0.79 [0.73-0.84],1.799e-06,***,Cholesteryl Esters to Total-Lipids in Small HDL percentage
LDL-L,0.78 [0.73-0.84],4.299e-06,***,Total-Lipids in LDL
HDL-CE,0.78 [0.71-0.84],7.894e-04,***,Cholesteryl Esters in HDL
HDL-C,0.78 [0.71-0.84],0.001,**,HDL Cholesterol
LDL-PL,0.77 [0.72-0.83],2.858e-07,***,Phospholipids in LDL
SM,0.77 [0.71-0.83],2.959e-06,***,Sphingomyelins
M-HDL-CE%,0.77 [0.72-0.82],1.949e-08,***,Cholesteryl Esters to Total-Lipids in Medium HDL percentage
XXL-VLDL-CE%,0.77 [0.71-0.83],1.194e-06,***,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
L-LDL-CE,0.77 [0.71-0.82],1.650e-07,***,Cholesteryl Esters in Large LDL
Remnant-C,0.76 [0.71-0.82],3.094e-08,***,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
LDL-C,0.76 [0.71-0.82],2.594e-08,***,LDL Cholesterol
Non-HDL-C,0.76 [0.71-0.82],6.278e-09,***,Total-Cholesterol Minus HDL-C
L-LDL-L,0.76 [0.71-0.82],1.343e-08,***,Total-Lipids in Large LDL
XXL-VLDL-C%,0.75 [0.69-0.82],3.845e-06,***,Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
