Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
IDL-TG%,1.25 [1.20-1.30],1.751e-23,***,Triglycerides to Total-Lipids in IDL percentage
L-LDL-TG%,1.24 [1.20-1.29],1.765e-22,***,Triglycerides to Total-Lipids in Large LDL percentage
MUFA%,1.22 [1.17-1.27],3.709e-14,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
XS-VLDL-TG%,1.21 [1.17-1.26],6.016e-16,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
L-HDL-PL%,1.21 [1.16-1.26],5.799e-14,***,Phospholipids to Total-Lipids in Large HDL percentage
M-LDL-TG%,1.21 [1.17-1.26],6.994e-19,***,Triglycerides to Total-Lipids in Medium LDL percentage
S-LDL-TG%,1.19 [1.15-1.24],3.771e-14,***,Triglycerides to Total-Lipids in Small LDL percentage
M-HDL-PL%,1.18 [1.13-1.23],3.166e-10,***,Phospholipids to Total-Lipids in Medium HDL percentage
XL-HDL-TG%,1.17 [1.12-1.22],4.506e-09,***,Triglycerides to Total-Lipids in Very Large HDL percentage
L-HDL-TG%,1.16 [1.11-1.21],4.466e-07,***,Triglycerides to Total-Lipids in Large HDL percentage
M-VLDL-TG%,1.16 [1.12-1.21],2.818e-08,***,Triglycerides to Total-Lipids in Medium VLDL percentage
XS-VLDL-PL%,1.16 [1.11-1.21],5.290e-08,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
S-VLDL-TG%,1.16 [1.11-1.20],5.800e-08,***,Triglycerides to Total-Lipids in Small VLDL percentage
S-HDL-TG,1.14 [1.10-1.19],3.558e-07,***,Triglycerides in Small HDL
S-HDL-TG%,1.14 [1.10-1.19],6.775e-06,***,Triglycerides to Total-Lipids in Small HDL percentage
Creatinine,1.14 [1.08-1.19],0.014,*,Creatinine
GlycA,1.13 [1.09-1.18],2.622e-04,***,Glycoprotein Acetyls
M-HDL-TG%,1.13 [1.09-1.18],1.758e-04,***,Triglycerides to Total-Lipids in Medium HDL percentage
XS-VLDL-TG,1.13 [1.09-1.17],2.958e-05,***,Triglycerides in Very Small VLDL
TG/PG,1.13 [1.08-1.17],0.005,**,Triglycerides to Phosphoglycerides ratio
M-HDL-TG,1.12 [1.09-1.17],3.828e-05,***,Triglycerides in Medium HDL
HDL-TG,1.12 [1.08-1.16],4.420e-04,***,Triglycerides in HDL
IDL-TG,1.12 [1.08-1.16],8.215e-04,***,Triglycerides in IDL
L-VLDL-PL%,1.11 [1.07-1.15],0.038,*,Phospholipids to Total-Lipids in Large VLDL percentage
LDL-TG,1.11 [1.07-1.15],0.015,*,Triglycerides in LDL
L-LDL-TG,1.11 [1.07-1.15],0.011,*,Triglycerides in Large LDL
S-VLDL-TG,1.11 [1.07-1.15],0.029,*,Triglycerides in Small VLDL
M-LDL-TG,1.10 [1.06-1.15],0.046,*,Triglycerides in Medium LDL
Clinical LDL-C,0.90 [0.87-0.94],0.014,*,Clinical LDL Cholesterol
S-VLDL-CE%,0.90 [0.87-0.93],0.004,**,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
M-VLDL-CE,0.90 [0.87-0.93],0.007,**,Cholesteryl Esters in Medium VLDL
XL-VLDL-FC%,0.90 [0.86-0.93],0.009,**,Free Cholesterol to Total-Lipids in Very Large VLDL percentage
XL-HDL-P,0.89 [0.86-0.93],0.028,*,Concentration of Very Large HDL Particles
S-LDL-FC,0.89 [0.86-0.93],0.001,**,Free Cholesterol in Small LDL
LDL-FC,0.89 [0.86-0.93],0.002,**,Free Cholesterol in LDL
XL-HDL-L,0.89 [0.86-0.93],0.019,*,Total-Lipids in Very Large HDL
L-LDL-FC,0.89 [0.86-0.93],0.001,**,Free Cholesterol in Large LDL
IDL-CE,0.89 [0.86-0.93],0.001,**,Cholesteryl Esters in IDL
L-HDL-C,0.89 [0.85-0.93],0.034,*,Cholesterol in Large HDL
S-HDL-CE%,0.89 [0.86-0.92],2.534e-04,***,Cholesteryl Esters to Total-Lipids in Small HDL percentage
