Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
XS-VLDL-PL,1.08 [0.90-1.30],1.000,,Phospholipids in Very Small VLDL
XS-VLDL-TG,1.04 [0.86-1.26],1.000,,Triglycerides in Very Small VLDL
M-LDL-PL%,1.04 [0.86-1.25],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
XS-VLDL-L,1.03 [0.85-1.24],1.000,,Total-Lipids in Very Small VLDL
XS-VLDL-P,1.02 [0.84-1.22],1.000,,Concentration of Very Small VLDL Particles
S-HDL-PL,0.62 [0.51-0.76],0.796,,Phospholipids in Small HDL
S-HDL-L,0.62 [0.51-0.75],0.219,,Total-Lipids in Small HDL
S-HDL-C,0.59 [0.49-0.72],0.030,*,Cholesterol in Small HDL
S-HDL-CE,0.59 [0.49-0.72],0.016,*,Cholesteryl Esters in Small HDL
S-HDL-P,0.59 [0.49-0.72],0.047,*,Concentration of Small HDL Particles
