Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
L-HDL-PL%,1.12 [1.09-1.14],4.538e-16,***,Phospholipids to Total-Lipids in Large HDL percentage
L-LDL-TG%,1.11 [1.08-1.13],8.055e-16,***,Triglycerides to Total-Lipids in Large LDL percentage
IDL-TG%,1.10 [1.08-1.13],5.574e-15,***,Triglycerides to Total-Lipids in IDL percentage
M-LDL-TG%,1.09 [1.07-1.11],1.263e-11,***,Triglycerides to Total-Lipids in Medium LDL percentage
XS-VLDL-TG%,1.09 [1.07-1.11],4.976e-10,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
M-HDL-PL%,1.08 [1.05-1.10],8.352e-06,***,Phospholipids to Total-Lipids in Medium HDL percentage
S-VLDL-TG%,1.08 [1.06-1.10],1.434e-07,***,Triglycerides to Total-Lipids in Small VLDL percentage
S-LDL-TG%,1.08 [1.05-1.10],4.770e-07,***,Triglycerides to Total-Lipids in Small LDL percentage
M-VLDL-TG%,1.08 [1.05-1.10],7.864e-07,***,Triglycerides to Total-Lipids in Medium VLDL percentage
SFA%,1.08 [1.05-1.10],5.930e-06,***,Saturated Fatty Acids to Total-Fatty Acids percentage
S-HDL-PL%,1.07 [1.05-1.10],2.497e-06,***,Phospholipids to Total-Lipids in Small HDL percentage
M-HDL-TG,1.06 [1.04-1.08],3.437e-04,***,Triglycerides in Medium HDL
S-LDL-CE,0.95 [0.93-0.97],0.046,*,Cholesteryl Esters in Small LDL
XL-HDL-FC,0.95 [0.93-0.97],0.036,*,Free Cholesterol in Very Large HDL
L-LDL-P,0.95 [0.93-0.97],0.022,*,Concentration of Large LDL Particles
L-LDL-CE,0.95 [0.93-0.97],0.037,*,Cholesteryl Esters in Large LDL
IDL-PL,0.95 [0.93-0.97],0.032,*,Phospholipids in IDL
LDL-L,0.95 [0.93-0.97],0.023,*,Total-Lipids in LDL
S-LDL-P,0.95 [0.93-0.97],0.013,*,Concentration of Small LDL Particles
L-LDL-L,0.95 [0.93-0.97],0.020,*,Total-Lipids in Large LDL
M-LDL-P,0.95 [0.93-0.97],0.014,*,Concentration of Medium LDL Particles
LDL-P,0.95 [0.93-0.96],0.008,**,Concentration of LDL Particles
ApoB,0.95 [0.93-0.96],0.009,**,Apolipoprotein B
Non-HDL-C,0.95 [0.93-0.96],0.009,**,Total-Cholesterol Minus HDL-C
S-HDL-CE%,0.94 [0.93-0.96],0.005,**,Cholesteryl Esters to Total-Lipids in Small HDL percentage
IDL-L,0.94 [0.93-0.96],0.010,*,Total-Lipids in IDL
XL-VLDL-FC%,0.94 [0.93-0.96],0.005,**,Free Cholesterol to Total-Lipids in Very Large VLDL percentage
M-HDL-C%,0.94 [0.92-0.96],0.035,*,Cholesterol to Total-Lipids in Medium HDL percentage
LDL-C,0.94 [0.93-0.96],0.003,**,LDL Cholesterol
LDL-PL,0.94 [0.93-0.96],0.002,**,Phospholipids in LDL
S-LDL-L,0.94 [0.93-0.96],0.002,**,Total-Lipids in Small LDL
L-LDL-C,0.94 [0.92-0.96],0.003,**,Cholesterol in Large LDL
ApoB/ApoA1,0.94 [0.92-0.96],0.004,**,Apolipoprotein B to Apolipoprotein A1 ratio
L-LDL-PL,0.94 [0.92-0.96],0.001,**,Phospholipids in Large LDL
S-LDL-C%,0.94 [0.92-0.96],0.001,**,Cholesterol to Total-Lipids in Small LDL percentage
IDL-P,0.94 [0.92-0.96],3.147e-04,***,Concentration of IDL Particles
S-LDL-C,0.94 [0.92-0.96],5.202e-04,***,Cholesterol in Small LDL
XL-VLDL-CE%,0.94 [0.92-0.96],0.001,**,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
IDL-CE,0.94 [0.92-0.96],6.017e-04,***,Cholesteryl Esters in IDL
XL-VLDL-C%,0.94 [0.92-0.96],0.001,**,Cholesterol to Total-Lipids in Very Large VLDL percentage
S-LDL-PL,0.94 [0.92-0.96],1.131e-04,***,Phospholipids in Small LDL
M-VLDL-C,0.94 [0.92-0.96],3.228e-05,***,Cholesterol in Medium VLDL
S-VLDL-CE%,0.94 [0.92-0.96],4.159e-05,***,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
IDL-C,0.94 [0.92-0.96],1.214e-04,***,Cholesterol in IDL
IDL-CE%,0.94 [0.92-0.96],1.430e-04,***,Cholesteryl Esters to Total-Lipids in IDL percentage
M-LDL-FC,0.94 [0.92-0.96],2.489e-05,***,Free Cholesterol in Medium LDL
M-VLDL-PL%,0.94 [0.92-0.96],1.011e-04,***,Phospholipids to Total-Lipids in Medium VLDL percentage
Clinical LDL-C,0.94 [0.92-0.96],2.710e-05,***,Clinical LDL Cholesterol
S-LDL-FC%,0.94 [0.92-0.96],5.465e-05,***,Free Cholesterol to Total-Lipids in Small LDL percentage
L-LDL-FC,0.93 [0.92-0.95],8.081e-06,***,Free Cholesterol in Large LDL
Omega-6%,0.93 [0.91-0.96],5.216e-04,***,Omega-6 Fatty Acids to Total-Fatty Acids percentage
IDL-FC,0.93 [0.92-0.95],6.978e-06,***,Free Cholesterol in IDL
LDL-FC,0.93 [0.92-0.95],2.818e-06,***,Free Cholesterol in LDL
L-HDL-FC%,0.93 [0.91-0.96],0.005,**,Free Cholesterol to Total-Lipids in Large HDL percentage
