Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
L-LDL-TG%,1.21 [1.18-1.23],4.448e-72,***,Triglycerides to Total-Lipids in Large LDL percentage
IDL-TG%,1.21 [1.18-1.23],1.231e-72,***,Triglycerides to Total-Lipids in IDL percentage
L-HDL-PL%,1.19 [1.16-1.21],1.352e-51,***,Phospholipids to Total-Lipids in Large HDL percentage
XS-VLDL-TG%,1.19 [1.16-1.21],2.870e-56,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
M-LDL-TG%,1.18 [1.16-1.20],1.732e-60,***,Triglycerides to Total-Lipids in Medium LDL percentage
M-HDL-PL%,1.17 [1.14-1.19],3.363e-43,***,Phospholipids to Total-Lipids in Medium HDL percentage
S-LDL-TG%,1.17 [1.14-1.19],2.426e-49,***,Triglycerides to Total-Lipids in Small LDL percentage
MUFA%,1.17 [1.14-1.19],1.499e-38,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
GlycA,1.16 [1.14-1.19],5.185e-42,***,Glycoprotein Acetyls
M-VLDL-TG%,1.16 [1.14-1.18],4.558e-44,***,Triglycerides to Total-Lipids in Medium VLDL percentage
S-VLDL-TG%,1.16 [1.14-1.18],8.403e-43,***,Triglycerides to Total-Lipids in Small VLDL percentage
XS-VLDL-PL%,1.14 [1.12-1.16],1.025e-31,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
XL-VLDL-TG%,1.12 [1.10-1.15],5.364e-24,***,Triglycerides to Total-Lipids in Very Large VLDL percentage
XL-HDL-TG%,1.12 [1.10-1.14],2.146e-21,***,Triglycerides to Total-Lipids in Very Large HDL percentage
S-HDL-TG%,1.12 [1.09-1.14],5.014e-22,***,Triglycerides to Total-Lipids in Small HDL percentage
L-HDL-TG%,1.12 [1.09-1.14],6.345e-19,***,Triglycerides to Total-Lipids in Large HDL percentage
TG/PG,1.11 [1.09-1.13],1.533e-16,***,Triglycerides to Phosphoglycerides ratio
S-HDL-TG,1.11 [1.09-1.13],8.255e-21,***,Triglycerides in Small HDL
M-HDL-TG%,1.11 [1.09-1.13],1.090e-17,***,Triglycerides to Total-Lipids in Medium HDL percentage
M-HDL-TG,1.09 [1.07-1.11],6.150e-16,***,Triglycerides in Medium HDL
S-HDL-PL%,1.09 [1.07-1.12],1.710e-12,***,Phospholipids to Total-Lipids in Small HDL percentage
XS-VLDL-TG,1.09 [1.07-1.11],6.169e-14,***,Triglycerides in Very Small VLDL
HDL-TG,1.09 [1.07-1.11],1.109e-12,***,Triglycerides in HDL
SFA%,1.08 [1.06-1.11],6.589e-09,***,Saturated Fatty Acids to Total-Fatty Acids percentage
XL-VLDL-TG,1.08 [1.06-1.10],2.808e-09,***,Triglycerides in Very Large VLDL
XXL-VLDL-PL,1.08 [1.06-1.10],2.816e-09,***,Phospholipids in Chylomicrons and Extremely Large VLDL
S-VLDL-TG,1.08 [1.06-1.10],9.172e-10,***,Triglycerides in Small VLDL
XXL-VLDL-P,1.08 [1.06-1.10],5.672e-09,***,Concentration of Chylomicrons and Extremely Large VLDL Particles
IDL-PL%,1.08 [1.06-1.10],1.265e-09,***,Phospholipids to Total-Lipids in IDL percentage
XXL-VLDL-L,1.08 [1.05-1.10],1.797e-07,***,Total-Lipids in Chylomicrons and Extremely Large VLDL
Total-TG,1.07 [1.05-1.10],2.384e-07,***,Total-Triglycerides
XXL-VLDL-TG,1.07 [1.05-1.10],3.270e-07,***,Triglycerides in Chylomicrons and Extremely Large VLDL
IDL-TG,1.07 [1.05-1.09],1.711e-08,***,Triglycerides in IDL
L-VLDL-PL%,1.07 [1.05-1.09],6.967e-07,***,Phospholipids to Total-Lipids in Large VLDL percentage
VLDL-size,1.07 [1.05-1.10],1.490e-05,***,Average Diameter for VLDL Particles
XXL-VLDL-FC,1.07 [1.05-1.09],4.655e-07,***,Free Cholesterol in Chylomicrons and Extremely Large VLDL
S-LDL-TG,1.07 [1.05-1.09],3.502e-06,***,Triglycerides in Small LDL
VLDL-TG,1.07 [1.05-1.09],7.627e-06,***,Triglycerides in VLDL
MUFA,1.07 [1.05-1.09],6.472e-05,***,Monounsaturated Fatty Acids
LDL-TG,1.07 [1.05-1.09],5.513e-06,***,Triglycerides in LDL
XXL-VLDL-C,1.07 [1.05-1.09],1.441e-05,***,Cholesterol in Chylomicrons and Extremely Large VLDL
M-LDL-TG,1.07 [1.05-1.09],9.213e-06,***,Triglycerides in Medium LDL
L-LDL-TG,1.07 [1.05-1.09],1.228e-05,***,Triglycerides in Large LDL
XL-VLDL-P,1.06 [1.04-1.08],1.126e-04,***,Concentration of Very Large VLDL Particles
XL-VLDL-L,1.06 [1.04-1.08],2.217e-04,***,Total-Lipids in Very Large VLDL
XXL-VLDL-CE,1.06 [1.04-1.08],3.896e-04,***,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL
XXL-VLDL-PL%,1.06 [1.04-1.08],0.002,**,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Phe,1.05 [1.04-1.07],0.007,**,Phenylalanine
L-VLDL-PL,1.05 [1.03-1.07],0.022,*,Phospholipids in Large VLDL
XL-VLDL-PL,1.05 [1.03-1.07],0.041,*,Phospholipids in Very Large VLDL
L-LDL-PL%,0.95 [0.93-0.97],0.025,*,Phospholipids to Total-Lipids in Large LDL percentage
ApoB/ApoA1,0.95 [0.93-0.97],0.045,*,Apolipoprotein B to Apolipoprotein A1 ratio
Total-L,0.95 [0.93-0.96],0.009,**,Total-Lipids in Lipoprotein Particles
Total-PL,0.95 [0.93-0.96],0.021,*,Total-Phospholipids in Lipoprotein Particles
S-VLDL-FC,0.94 [0.93-0.96],8.032e-04,***,Free Cholesterol in Small VLDL
PUFA,0.94 [0.92-0.96],0.006,**,Polyunsaturated Fatty Acids
M-VLDL-FC,0.94 [0.93-0.96],3.181e-04,***,Free Cholesterol in Medium VLDL
Omega-6,0.94 [0.92-0.96],7.196e-04,***,Omega-6 Fatty Acids
L-HDL-PL,0.94 [0.92-0.96],0.002,**,Phospholipids in Large HDL
HDL-FC,0.94 [0.92-0.96],4.009e-04,***,Free Cholesterol in HDL
DHA%,0.94 [0.92-0.96],1.200e-04,***,Docosahexaenoic Acid to Total-Fatty Acids percentage
