Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
L-LDL-TG%,1.21 [1.18-1.24],1.621e-47,***,Triglycerides to Total-Lipids in Large LDL percentage
IDL-TG%,1.21 [1.18-1.24],2.294e-46,***,Triglycerides to Total-Lipids in IDL percentage
L-HDL-PL%,1.20 [1.17-1.23],6.344e-37,***,Phospholipids to Total-Lipids in Large HDL percentage
XS-VLDL-TG%,1.19 [1.16-1.22],1.231e-35,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
M-LDL-TG%,1.18 [1.15-1.21],7.594e-39,***,Triglycerides to Total-Lipids in Medium LDL percentage
S-LDL-TG%,1.17 [1.14-1.19],1.394e-30,***,Triglycerides to Total-Lipids in Small LDL percentage
M-VLDL-TG%,1.15 [1.12-1.18],7.466e-25,***,Triglycerides to Total-Lipids in Medium VLDL percentage
M-HDL-PL%,1.15 [1.12-1.18],1.026e-21,***,Phospholipids to Total-Lipids in Medium HDL percentage
S-VLDL-TG%,1.15 [1.12-1.18],6.455e-25,***,Triglycerides to Total-Lipids in Small VLDL percentage
MUFA%,1.15 [1.12-1.18],9.203e-20,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
XL-HDL-TG%,1.12 [1.09-1.15],1.164e-13,***,Triglycerides to Total-Lipids in Very Large HDL percentage
XS-VLDL-PL%,1.12 [1.09-1.15],2.405e-14,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
L-HDL-TG%,1.11 [1.09-1.14],1.402e-10,***,Triglycerides to Total-Lipids in Large HDL percentage
XL-VLDL-TG%,1.11 [1.09-1.14],2.974e-12,***,Triglycerides to Total-Lipids in Very Large VLDL percentage
S-HDL-TG,1.11 [1.09-1.14],2.158e-14,***,Triglycerides in Small HDL
SFA%,1.11 [1.08-1.14],4.497e-10,***,Saturated Fatty Acids to Total-Fatty Acids percentage
M-HDL-TG,1.11 [1.08-1.13],1.569e-13,***,Triglycerides in Medium HDL
S-HDL-TG%,1.10 [1.08-1.13],6.361e-10,***,Triglycerides to Total-Lipids in Small HDL percentage
