Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
Creatinine,2.08 [2.03-2.13],0.000e+00,***,Creatinine
IDL-TG%,1.33 [1.29-1.36],6.644e-99,***,Triglycerides to Total-Lipids in IDL percentage
L-LDL-TG%,1.32 [1.29-1.36],2.623e-95,***,Triglycerides to Total-Lipids in Large LDL percentage
XS-VLDL-TG%,1.29 [1.26-1.33],2.043e-74,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
M-LDL-TG%,1.28 [1.25-1.32],3.805e-83,***,Triglycerides to Total-Lipids in Medium LDL percentage
XS-VLDL-PL%,1.28 [1.24-1.31],1.529e-69,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
MUFA%,1.26 [1.23-1.30],8.028e-52,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
S-LDL-TG%,1.24 [1.21-1.27],3.604e-56,***,Triglycerides to Total-Lipids in Small LDL percentage
GlycA,1.23 [1.20-1.26],1.442e-45,***,Glycoprotein Acetyls
S-VLDL-TG%,1.22 [1.19-1.25],2.086e-43,***,Triglycerides to Total-Lipids in Small VLDL percentage
L-HDL-TG%,1.21 [1.18-1.25],8.448e-37,***,Triglycerides to Total-Lipids in Large HDL percentage
M-VLDL-TG%,1.21 [1.18-1.24],1.280e-41,***,Triglycerides to Total-Lipids in Medium VLDL percentage
S-HDL-TG%,1.20 [1.17-1.24],1.440e-38,***,Triglycerides to Total-Lipids in Small HDL percentage
XL-HDL-TG%,1.19 [1.15-1.22],2.689e-30,***,Triglycerides to Total-Lipids in Very Large HDL percentage
M-HDL-PL%,1.18 [1.15-1.21],8.176e-27,***,Phospholipids to Total-Lipids in Medium HDL percentage
IDL-PL%,1.18 [1.15-1.21],1.298e-32,***,Phospholipids to Total-Lipids in IDL percentage
M-HDL-TG%,1.18 [1.15-1.21],2.279e-27,***,Triglycerides to Total-Lipids in Medium HDL percentage
L-HDL-PL%,1.17 [1.14-1.20],9.467e-23,***,Phospholipids to Total-Lipids in Large HDL percentage
TG/PG,1.17 [1.14-1.20],5.678e-23,***,Triglycerides to Phosphoglycerides ratio
XL-HDL-FC%,1.15 [1.12-1.19],1.852e-14,***,Free Cholesterol to Total-Lipids in Very Large HDL percentage
L-VLDL-PL%,1.14 [1.11-1.18],1.222e-16,***,Phospholipids to Total-Lipids in Large VLDL percentage
XXL-VLDL-PL%,1.14 [1.11-1.17],3.512e-17,***,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
XL-VLDL-TG%,1.13 [1.10-1.17],1.985e-14,***,Triglycerides to Total-Lipids in Very Large VLDL percentage
Citrate,1.12 [1.10-1.15],9.828e-15,***,Citrate
S-HDL-TG,1.12 [1.09-1.15],3.463e-14,***,Triglycerides in Small HDL
XS-VLDL-TG,1.11 [1.08-1.13],1.129e-10,***,Triglycerides in Very Small VLDL
S-VLDL-TG,1.09 [1.07-1.12],3.641e-07,***,Triglycerides in Small VLDL
XXL-VLDL-PL,1.09 [1.06-1.11],3.872e-05,***,Phospholipids in Chylomicrons and Extremely Large VLDL
Phe,1.08 [1.06-1.11],2.256e-05,***,Phenylalanine
M-LDL-TG,1.08 [1.06-1.11],1.977e-04,***,Triglycerides in Medium LDL
HDL-TG,1.08 [1.06-1.11],1.260e-04,***,Triglycerides in HDL
VLDL-size,1.08 [1.05-1.11],0.008,**,Average Diameter for VLDL Particles
XXL-VLDL-P,1.08 [1.05-1.11],6.922e-04,***,Concentration of Chylomicrons and Extremely Large VLDL Particles
S-LDL-TG,1.08 [1.05-1.11],0.001,**,Triglycerides in Small LDL
XXL-VLDL-FC,1.08 [1.05-1.11],0.002,**,Free Cholesterol in Chylomicrons and Extremely Large VLDL
XL-VLDL-TG,1.08 [1.05-1.10],0.007,**,Triglycerides in Very Large VLDL
IDL-TG,1.08 [1.05-1.10],0.002,**,Triglycerides in IDL
LDL-TG,1.08 [1.05-1.10],0.004,**,Triglycerides in LDL
XXL-VLDL-L,1.07 [1.05-1.10],0.029,*,Total-Lipids in Chylomicrons and Extremely Large VLDL
M-HDL-TG,1.07 [1.05-1.10],0.012,*,Triglycerides in Medium HDL
L-LDL-TG,1.07 [1.04-1.10],0.036,*,Triglycerides in Large LDL
L-LDL-PL%,0.94 [0.91-0.96],0.033,*,Phospholipids to Total-Lipids in Large LDL percentage
