Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
MUFA%,1.28 [1.20-1.36],1.943e-10,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
L-LDL-TG%,1.25 [1.19-1.33],2.307e-10,***,Triglycerides to Total-Lipids in Large LDL percentage
IDL-TG%,1.25 [1.18-1.32],1.312e-09,***,Triglycerides to Total-Lipids in IDL percentage
M-HDL-PL%,1.23 [1.16-1.30],8.536e-07,***,Phospholipids to Total-Lipids in Medium HDL percentage
M-LDL-TG%,1.22 [1.15-1.28],1.157e-07,***,Triglycerides to Total-Lipids in Medium LDL percentage
GlycA,1.21 [1.14-1.28],2.362e-05,***,Glycoprotein Acetyls
XS-VLDL-PL%,1.21 [1.14-1.27],1.167e-05,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
XS-VLDL-TG%,1.20 [1.14-1.27],3.224e-05,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
L-HDL-PL%,1.19 [1.12-1.26],0.002,**,Phospholipids to Total-Lipids in Large HDL percentage
S-LDL-TG%,1.18 [1.12-1.25],5.488e-04,***,Triglycerides to Total-Lipids in Small LDL percentage
S-VLDL-TG%,1.17 [1.11-1.23],0.009,**,Triglycerides to Total-Lipids in Small VLDL percentage
M-VLDL-TG%,1.16 [1.10-1.23],0.024,*,Triglycerides to Total-Lipids in Medium VLDL percentage
LDL-C,0.86 [0.82-0.91],0.027,*,LDL Cholesterol
S-HDL-C%,0.86 [0.82-0.91],0.024,*,Cholesterol to Total-Lipids in Small HDL percentage
L-LDL-CE,0.86 [0.82-0.91],0.029,*,Cholesteryl Esters in Large LDL
M-LDL-FC,0.86 [0.82-0.91],0.020,*,Free Cholesterol in Medium LDL
L-LDL-L,0.86 [0.82-0.91],0.019,*,Total-Lipids in Large LDL
L-LDL-PL,0.86 [0.82-0.91],0.012,*,Phospholipids in Large LDL
Total-FC,0.86 [0.82-0.91],0.019,*,Total-Free Cholesterol
Clinical LDL-C,0.86 [0.81-0.90],0.003,**,Clinical LDL Cholesterol
PUFA,0.86 [0.81-0.91],0.026,*,Polyunsaturated Fatty Acids
IDL-L,0.86 [0.81-0.90],0.005,**,Total-Lipids in IDL
L-LDL-C,0.86 [0.81-0.90],0.004,**,Cholesterol in Large LDL
M-LDL-FC%,0.86 [0.81-0.90],0.011,*,Free Cholesterol to Total-Lipids in Medium LDL percentage
LA,0.85 [0.81-0.90],0.004,**,Linoleic Acid
M-VLDL-C%,0.85 [0.81-0.90],0.002,**,Cholesterol to Total-Lipids in Medium VLDL percentage
M-HDL-C%,0.85 [0.81-0.90],0.004,**,Cholesterol to Total-Lipids in Medium HDL percentage
M-VLDL-CE%,0.85 [0.81-0.90],0.002,**,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
LDL-FC,0.85 [0.80-0.90],4.938e-04,***,Free Cholesterol in LDL
M-LDL-C%,0.85 [0.81-0.89],3.321e-05,***,Cholesterol to Total-Lipids in Medium LDL percentage
L-HDL-CE%,0.85 [0.80-0.90],0.007,**,Cholesteryl Esters to Total-Lipids in Large HDL percentage
DHA%,0.85 [0.80-0.90],0.005,**,Docosahexaenoic Acid to Total-Fatty Acids percentage
IDL-FC,0.85 [0.80-0.89],2.819e-04,***,Free Cholesterol in IDL
HDL-CE,0.85 [0.80-0.90],0.008,**,Cholesteryl Esters in HDL
HDL-C,0.85 [0.80-0.90],0.010,**,HDL Cholesterol
DHA,0.84 [0.80-0.89],0.002,**,Docosahexaenoic Acid
IDL-CE,0.84 [0.80-0.89],1.710e-04,***,Cholesteryl Esters in IDL
L-HDL-C%,0.84 [0.79-0.89],0.003,**,Cholesterol to Total-Lipids in Large HDL percentage
IDL-C,0.84 [0.80-0.89],1.133e-04,***,Cholesterol in IDL
L-LDL-FC,0.84 [0.80-0.89],1.093e-04,***,Free Cholesterol in Large LDL
Total-C,0.84 [0.80-0.89],1.746e-04,***,Total-Cholesterol
Omega-6%,0.84 [0.79-0.89],8.462e-04,***,Omega-6 Fatty Acids to Total-Fatty Acids percentage
Total-CE,0.84 [0.79-0.88],4.190e-05,***,Total-Esterified Cholesterol
S-VLDL-PL%,0.84 [0.79-0.88],2.492e-05,***,Phospholipids to Total-Lipids in Small VLDL percentage
S-VLDL-FC%,0.83 [0.79-0.88],1.151e-05,***,Free Cholesterol to Total-Lipids in Small VLDL percentage
L-LDL-FC%,0.83 [0.79-0.88],5.035e-06,***,Free Cholesterol to Total-Lipids in Large LDL percentage
Albumin,0.83 [0.79-0.88],1.147e-06,***,Albumin
IDL-CE%,0.83 [0.79-0.87],1.160e-06,***,Cholesteryl Esters to Total-Lipids in IDL percentage
S-LDL-C%,0.82 [0.78-0.87],2.794e-08,***,Cholesterol to Total-Lipids in Small LDL percentage
XS-VLDL-C%,0.82 [0.78-0.87],1.300e-06,***,Cholesterol to Total-Lipids in Very Small VLDL percentage
XS-VLDL-CE%,0.82 [0.78-0.87],3.080e-07,***,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
IDL-C%,0.82 [0.77-0.86],4.990e-09,***,Cholesterol to Total-Lipids in IDL percentage
Unsaturation,0.81 [0.77-0.86],1.610e-07,***,Degree of Unsaturation
M-HDL-FC%,0.81 [0.76-0.86],6.478e-06,***,Free Cholesterol to Total-Lipids in Medium HDL percentage
PUFA%,0.80 [0.76-0.85],1.390e-08,***,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
L-LDL-C%,0.80 [0.76-0.85],6.655e-10,***,Cholesterol to Total-Lipids in Large LDL percentage
LA%,0.79 [0.75-0.84],1.581e-10,***,Linoleic Acid to Total-Fatty Acids percentage
PUFA/MUFA,0.78 [0.74-0.83],1.200e-10,***,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
