Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
XS-VLDL-PL%,1.21 [1.17-1.26],2.557e-19,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
IDL-PL%,1.21 [1.17-1.26],1.066e-18,***,Phospholipids to Total-Lipids in IDL percentage
L-LDL-TG%,1.17 [1.13-1.21],7.048e-13,***,Triglycerides to Total-Lipids in Large LDL percentage
M-LDL-TG%,1.17 [1.13-1.21],3.548e-12,***,Triglycerides to Total-Lipids in Medium LDL percentage
IDL-TG%,1.17 [1.12-1.21],9.426e-12,***,Triglycerides to Total-Lipids in IDL percentage
GlycA,1.15 [1.10-1.19],2.639e-07,***,Glycoprotein Acetyls
S-LDL-PL%,1.13 [1.09-1.18],2.594e-05,***,Phospholipids to Total-Lipids in Small LDL percentage
S-VLDL-TG%,1.12 [1.07-1.16],0.007,**,Triglycerides to Total-Lipids in Small VLDL percentage
MUFA%,1.12 [1.07-1.16],0.003,**,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
XS-VLDL-TG%,1.11 [1.07-1.16],0.003,**,Triglycerides to Total-Lipids in Very Small VLDL percentage
M-HDL-PL%,1.10 [1.06-1.15],0.046,*,Phospholipids to Total-Lipids in Medium HDL percentage
XL-HDL-CE%,0.91 [0.88-0.94],0.006,**,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
VLDL-C,0.90 [0.87-0.94],0.026,*,VLDL Cholesterol
M-VLDL-L,0.90 [0.87-0.94],0.015,*,Total-Lipids in Medium VLDL
Unsaturation,0.90 [0.87-0.94],0.011,*,Degree of Unsaturation
L-LDL-FC%,0.90 [0.87-0.93],6.008e-04,***,Free Cholesterol to Total-Lipids in Large LDL percentage
M-VLDL-P,0.90 [0.86-0.93],0.010,*,Concentration of Medium VLDL Particles
VLDL-CE,0.90 [0.86-0.93],0.004,**,Cholesteryl Esters in VLDL
M-VLDL-PL,0.90 [0.86-0.93],0.003,**,Phospholipids in Medium VLDL
ApoA1,0.89 [0.86-0.93],0.030,*,Apolipoprotein A1
S-VLDL-FC,0.89 [0.86-0.93],0.002,**,Free Cholesterol in Small VLDL
L-LDL-CE%,0.89 [0.86-0.92],8.363e-05,***,Cholesteryl Esters to Total-Lipids in Large LDL percentage
M-VLDL-FC,0.89 [0.86-0.93],7.965e-04,***,Free Cholesterol in Medium VLDL
XS-VLDL-CE,0.89 [0.85-0.93],0.002,**,Cholesteryl Esters in Very Small VLDL
S-HDL-PL,0.89 [0.86-0.92],2.515e-04,***,Phospholipids in Small HDL
Omega-3,0.89 [0.85-0.92],0.001,**,Omega-3 Fatty Acids
S-VLDL-FC%,0.89 [0.86-0.92],1.510e-05,***,Free Cholesterol to Total-Lipids in Small VLDL percentage
L-LDL-P,0.89 [0.85-0.92],2.118e-04,***,Concentration of Large LDL Particles
XS-VLDL-C%,0.89 [0.86-0.92],1.475e-06,***,Cholesterol to Total-Lipids in Very Small VLDL percentage
M-HDL-FC%,0.89 [0.85-0.92],6.122e-05,***,Free Cholesterol to Total-Lipids in Medium HDL percentage
S-LDL-CE%,0.89 [0.85-0.92],1.713e-05,***,Cholesteryl Esters to Total-Lipids in Small LDL percentage
S-LDL-P,0.88 [0.85-0.92],5.915e-05,***,Concentration of Small LDL Particles
S-LDL-PL,0.88 [0.85-0.92],2.722e-05,***,Phospholipids in Small LDL
S-VLDL-PL%,0.88 [0.85-0.92],1.866e-05,***,Phospholipids to Total-Lipids in Small VLDL percentage
SM,0.88 [0.85-0.92],1.517e-04,***,Sphingomyelins
Phosphoglyc,0.88 [0.85-0.92],2.671e-05,***,Phosphoglycerides
LA,0.88 [0.85-0.91],1.971e-06,***,Linoleic Acid
Albumin,0.88 [0.85-0.91],1.491e-06,***,Albumin
LDL-P,0.88 [0.85-0.91],1.432e-05,***,Concentration of LDL Particles
XS-VLDL-CE%,0.88 [0.85-0.91],5.514e-08,***,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
Omega-6,0.88 [0.85-0.91],1.408e-06,***,Omega-6 Fatty Acids
M-VLDL-C,0.88 [0.85-0.91],7.038e-06,***,Cholesterol in Medium VLDL
S-HDL-L,0.88 [0.84-0.91],1.196e-06,***,Total-Lipids in Small HDL
M-VLDL-CE,0.88 [0.84-0.91],3.218e-06,***,Cholesteryl Esters in Medium VLDL
ApoB,0.88 [0.84-0.91],5.816e-07,***,Apolipoprotein B
Cholines,0.87 [0.84-0.91],1.020e-06,***,Total-Cholines
S-HDL-FC,0.87 [0.84-0.91],1.087e-06,***,Free Cholesterol in Small HDL
M-LDL-P,0.87 [0.84-0.91],8.599e-07,***,Concentration of Medium LDL Particles
DHA,0.87 [0.84-0.91],1.469e-05,***,Docosahexaenoic Acid
PC,0.87 [0.84-0.91],1.056e-06,***,Phosphatidylcholines
Total-L,0.87 [0.84-0.90],6.423e-09,***,Total-Lipids in Lipoprotein Particles
S-LDL-L,0.87 [0.84-0.90],1.004e-07,***,Total-Lipids in Small LDL
Total-PL,0.87 [0.84-0.90],6.566e-08,***,Total-Phospholipids in Lipoprotein Particles
PUFA,0.87 [0.84-0.90],2.339e-08,***,Polyunsaturated Fatty Acids
IDL-PL,0.87 [0.84-0.90],3.967e-07,***,Phospholipids in IDL
S-LDL-CE,0.87 [0.84-0.90],3.187e-08,***,Cholesteryl Esters in Small LDL
HDL-P,0.87 [0.83-0.90],3.265e-06,***,Concentration of HDL Particles
Remnant-C,0.87 [0.84-0.90],3.771e-09,***,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
S-LDL-C,0.86 [0.83-0.89],1.527e-09,***,Cholesterol in Small LDL
M-LDL-CE,0.86 [0.83-0.89],9.077e-10,***,Cholesteryl Esters in Medium LDL
M-LDL-C%,0.86 [0.83-0.89],8.240e-13,***,Cholesterol to Total-Lipids in Medium LDL percentage
S-LDL-FC,0.86 [0.83-0.89],6.320e-10,***,Free Cholesterol in Small LDL
M-LDL-L,0.86 [0.83-0.89],9.880e-11,***,Total-Lipids in Medium LDL
Total-FC,0.86 [0.83-0.89],5.238e-11,***,Total-Free Cholesterol
IDL-P,0.86 [0.82-0.89],3.739e-09,***,Concentration of IDL Particles
Total-P,0.86 [0.82-0.89],1.659e-08,***,Total-Concentration of Lipoprotein Particles
M-LDL-PL,0.86 [0.82-0.89],1.671e-10,***,Phospholipids in Medium LDL
Non-HDL-C,0.86 [0.83-0.89],2.485e-12,***,Total-Cholesterol Minus HDL-C
IDL-FC,0.86 [0.82-0.89],6.164e-10,***,Free Cholesterol in IDL
L-LDL-C%,0.85 [0.83-0.88],1.552e-14,***,Cholesterol to Total-Lipids in Large LDL percentage
M-LDL-C,0.85 [0.82-0.89],2.149e-11,***,Cholesterol in Medium LDL
S-HDL-C,0.85 [0.82-0.89],6.286e-11,***,Cholesterol in Small HDL
S-HDL-P,0.85 [0.82-0.89],1.053e-10,***,Concentration of Small HDL Particles
LDL-L,0.85 [0.82-0.88],1.032e-12,***,Total-Lipids in LDL
IDL-L,0.85 [0.82-0.89],1.503e-11,***,Total-Lipids in IDL
S-HDL-CE,0.85 [0.82-0.89],4.388e-11,***,Cholesteryl Esters in Small HDL
LDL-CE,0.85 [0.82-0.88],1.501e-12,***,Cholesteryl Esters in LDL
LDL-PL,0.85 [0.82-0.88],3.185e-12,***,Phospholipids in LDL
L-LDL-L,0.85 [0.82-0.88],5.752e-13,***,Total-Lipids in Large LDL
L-LDL-CE,0.85 [0.82-0.88],1.092e-12,***,Cholesteryl Esters in Large LDL
LDL-C,0.85 [0.82-0.88],1.321e-13,***,LDL Cholesterol
IDL-C%,0.85 [0.82-0.88],1.859e-17,***,Cholesterol to Total-Lipids in IDL percentage
Total-C,0.85 [0.82-0.88],6.644e-14,***,Total-Cholesterol
L-LDL-C,0.85 [0.82-0.88],1.362e-13,***,Cholesterol in Large LDL
Clinical LDL-C,0.85 [0.82-0.88],1.276e-14,***,Clinical LDL Cholesterol
M-LDL-FC,0.85 [0.81-0.88],7.157e-13,***,Free Cholesterol in Medium LDL
Total-CE,0.85 [0.81-0.88],1.610e-14,***,Total-Esterified Cholesterol
L-LDL-PL,0.84 [0.81-0.88],3.232e-13,***,Phospholipids in Large LDL
LDL-FC,0.84 [0.81-0.88],9.047e-14,***,Free Cholesterol in LDL
IDL-C,0.84 [0.81-0.87],4.497e-14,***,Cholesterol in IDL
L-LDL-FC,0.84 [0.81-0.87],8.507e-14,***,Free Cholesterol in Large LDL
S-LDL-C%,0.84 [0.81-0.87],2.655e-18,***,Cholesterol to Total-Lipids in Small LDL percentage
IDL-CE,0.84 [0.81-0.87],6.169e-15,***,Cholesteryl Esters in IDL
IDL-CE%,0.83 [0.80-0.86],2.063e-22,***,Cholesteryl Esters to Total-Lipids in IDL percentage
